t,px,py,pz,qx,qy,qz,qw,qnorm,gx,gy,gz,lvx,lvy,lvz,avx,avy,avz,lpx,lpy,lpz,lqw
0.00,75.5341,65.3252,123.8222,0.00000,0.00000,0.00000,0.00000,0.00000,90.9800,50.6200,108.6400,0.0000,0.0000,0.0000,0.00003,0.00000,0.00000,75.5341,65.3252,123.8222,0.00000
0.70,75.5341,65.3252,123.8222,0.00000,0.00000,0.00000,0.00000,0.00000,90.9800,50.6200,108.6400,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,75.5341,65.3252,123.8222,0.00000
1.40,75.5341,65.3252,123.8222,0.00000,0.00000,0.00000,0.00000,0.00000,90.9800,50.6200,108.6400,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,75.5341,65.3252,123.8222,0.00000
2.10,75.5341,65.3252,123.8222,0.00000,0.00000,0.00000,0.00000,0.00000,90.9800,50.6200,108.6400,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,75.5341,65.3252,123.8222,0.00000
2.80,75.9755,69.8250,123.6512,0.00000,0.00000,0.00000,0.00000,0.00000,91.9000,48.8900,108.5000,1.5390,5.0427,0.3680,0.01104,0.00282,0.01129,75.9755,69.8250,123.6512,0.00000
3.50,77.4093,72.3571,124.2066,0.00000,0.00000,0.00000,0.00000,0.00000,92.3300,49.2300,108.5300,-3.9314,-8.2184,-3.6378,0.00936,0.00241,0.00951,77.4093,72.3571,124.2066,0.00000
4.20,77.9193,68.1440,125.1087,0.00000,0.00000,0.00000,0.00000,0.00000,94.8300,49.5700,110.5800,-0.0095,0.3305,8.2990,0.00055,-0.00286,0.00668,77.9193,68.1440,125.1087,0.00000
4.90,80.5666,68.7612,130.6285,0.00000,0.00000,0.00000,0.00000,0.00000,97.4300,49.0700,112.1500,-4.1403,-1.4755,-2.8537,0.00266,0.01429,0.00561,80.5666,68.7612,130.6285,0.00000
5.60,79.3829,68.4997,124.6291,0.00000,0.00000,0.00000,0.00000,0.00000,95.7000,56.3400,108.9200,8.0518,0.0899,-7.3073,0.00334,-0.01330,0.00119,79.3829,68.4997,124.6291,0.00000
6.30,79.4524,68.6807,124.5373,0.00000,0.00000,0.00000,0.00000,0.00000,94.7400,53.0800,109.2900,0.3601,-0.6505,-0.0951,1.12939,-0.50188,0.45195,79.4524,68.6807,124.5373,0.00000
7.00,80.1194,67.8292,124.7754,0.00000,0.00000,0.00000,0.00000,0.00000,94.6900,53.6000,109.1900,-1.3449,1.4537,-1.1214,-2.25699,0.10949,-0.38777,80.1194,67.8292,124.7754,0.00000
7.70,80.4452,68.7161,124.3632,0.00000,0.00000,0.00000,0.00000,0.00000,96.6000,54.1200,110.0100,2.8401,-0.2203,1.1667,0.39368,-2.26123,-0.34101,80.4452,68.7161,124.3632,0.00000
8.40,80.6514,68.6791,124.4316,0.00000,0.00000,0.00000,0.00000,0.00000,95.6300,53.8200,109.5400,-3.5892,0.0159,-0.4576,0.00885,1.32391,0.03599,80.6514,68.6791,124.4316,0.00000
