t,px,py,pz,gp,gr,qx,qy,qz,qw,qnorm,gx,gy,gz,lvx,lvy,lvz,avx,avy,avz,lpx,lpy,lpz,lqw,nav4,nav5,nav6,nav7,nav8,nav9
0.00,73.8866,65.8712,100.8465,0.00,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,-0.00548,0.01170,-0.00524,73.8866,65.8712,100.8465,0.00000,190.22,180.00,180.00,0.00,0.00,180.00
0.70,73.8866,65.8712,100.8465,-0.00,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0000,0.0000,0.0000,0.00980,-0.00116,0.00500,73.8866,65.8712,100.8465,0.00000,190.22,180.00,180.00,0.00,0.00,180.00
1.40,73.3221,68.6473,100.9830,-0.05,0.02,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.5429,2.1170,-0.3857,0.00000,0.00000,0.00000,73.3221,68.6473,100.9830,0.00000,190.22,179.94,179.94,0.01,0.06,179.99
2.10,73.9884,69.2652,101.2958,15.57,-8.86,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.4230,1.1374,2.0984,0.50013,-1.20316,0.53876,73.9884,69.2652,101.2958,0.00000,180.92,263.97,263.97,351.39,276.03,188.61
2.80,73.3850,72.9140,107.3933,59.68,21.57,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-1.7619,4.3402,7.1436,0.32617,-1.21612,-0.72293,73.3850,72.9140,107.3933,0.00000,101.27,301.51,301.51,276.97,238.49,263.03
3.50,73.3269,75.1955,110.2504,84.42,85.47,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-7.5032,2.2487,2.2391,3.66459,-1.52991,1.16107,73.3269,75.1955,110.2504,0.00000,122.79,295.29,295.29,286.93,244.71,253.07
4.20,72.2407,75.6618,110.8922,119.83,96.81,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-0.3740,-0.1614,0.2144,0.39627,1.00202,0.24662,72.2407,75.6618,110.8922,0.00000,255.24,255.79,255.79,273.82,284.21,266.18
4.90,71.9535,75.7090,110.9134,98.79,105.18,0.00000,0.00000,0.00000,0.00000,0.00000,,,,2.0103,-0.0424,0.6932,-0.49253,1.69839,-1.29506,71.9535,75.7090,110.9134,0.00000,313.53,251.37,251.37,252.24,288.63,287.76
5.60,72.1626,75.3227,111.0136,83.70,-82.31,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-0.9450,-0.0259,-0.2927,-0.47466,1.68770,0.31065,72.1626,75.3227,111.0136,0.00000,63.05,280.70,280.70,264.51,259.30,275.49
6.30,72.1124,75.4447,111.0101,-88.21,-88.77,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.1207,-0.2629,0.0217,0.05390,1.88727,-0.16736,72.1124,75.4447,111.0101,0.00000,127.62,283.94,283.94,280.83,256.06,259.17
7.00,71.8515,75.4791,110.9119,-89.20,88.49,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0562,0.5157,0.0154,-0.26343,2.61152,-0.19022,71.8515,75.4791,110.9119,0.00000,209.44,256.93,256.93,292.37,283.07,247.63
7.70,71.8568,75.5083,110.9142,-93.18,92.48,0.00000,0.00000,0.00000,0.00000,0.00000,,,,0.0670,-0.3975,0.0298,0.14099,-1.95502,0.19370,71.8568,75.5083,110.9142,0.00000,228.01,250.35,250.35,287.81,289.65,252.19
8.40,72.0028,75.3428,110.9689,-82.91,-83.67,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-0.1555,-0.0314,-0.0615,-0.46324,0.05608,-0.23106,72.0028,75.3428,110.9689,0.00000,144.67,282.04,282.04,286.75,257.96,253.25
9.10,71.7646,74.7078,110.8679,-89.04,-88.41,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-0.3432,6.2416,5.2213,-0.01999,0.00761,0.02146,71.7646,74.7078,110.8679,0.00000,150.62,282.64,282.64,291.72,257.36,248.28
9.80,71.8314,75.9532,112.4868,-89.10,-88.49,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-0.9950,-4.0399,-6.0927,0.00388,0.00006,-0.01126,71.8314,75.9532,112.4868,0.00000,150.83,282.52,282.52,291.69,257.48,248.31
10.50,71.3564,74.9241,110.5321,-77.58,-81.02,0.00000,0.00000,0.00000,0.00000,0.00000,,,,2.6256,-1.2236,1.7819,1.90290,-0.60573,0.17899,71.3564,74.9241,110.5321,0.00000,132.99,306.34,306.34,304.44,233.66,235.56
11.20,72.3269,74.8062,110.9776,42.22,-75.36,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-0.8122,-1.0872,-0.4510,-0.37011,2.59894,-0.55104,72.3269,74.8062,110.9776,0.00000,136.77,281.35,281.35,282.06,258.65,257.94
11.90,72.3342,74.6259,110.9210,-55.03,-62.44,0.00000,0.00000,0.00000,0.00000,0.00000,,,,2.1916,1.2982,0.3487,1.19147,-1.64869,1.19267,72.3342,74.6259,110.9210,0.00000,185.20,267.45,267.45,296.05,272.55,243.95
12.60,72.8595,76.1643,110.6992,131.84,-127.08,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-1.4709,0.9149,-0.5554,0.11276,-0.60111,0.58034,72.8595,76.1643,110.6992,0.00000,284.66,235.65,235.65,259.86,304.35,280.14
13.30,71.5087,76.2546,110.2029,143.65,-135.33,0.00000,0.00000,0.00000,0.00000,0.00000,,,,-1.6949,0.0507,-4.5576,-2.34262,2.24675,1.47810,71.5087,76.2546,110.2029,0.00000,16.00,290.25,290.25,217.86,249.75,322.14
14.00,71.7161,76.5025,110.0545,158.51,-144.42,0.00000,0.00000,0.00000,0.00000,0.00000,,,,3.0122,0.1019,2.0773,2.53867,-2.69602,-1.05226,71.7161,76.5025,110.0545,0.00000,37.32,331.43,331.43,202.55,208.57,337.45
