t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat
0.00,find,68.50,0.00,0.300,0,0.0,0.0,0.0,0.0,0.00,0.00,240,240,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0
0.10,find,68.50,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,0.00,240,240,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0
0.20,find,68.50,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,0.00,240,240,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98,-1,0
0.30,find,68.50,0.00,0.300,0,-68.1,76.9,0.0,0.0,-0.01,0.00,240,240,-1,0.0,0.0,-0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.01,0.00,98,-1,0
0.40,find,68.50,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,0.00,240,240,-1,0.0,0.0,-0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,98,-1,0
0.50,find,68.50,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,0.00,240,240,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,98,-1,0
0.60,find,68.50,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,0.00,240,240,-1,0.0,0.0,-0.0,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,-0.00,98,-1,0
0.70,find,68.52,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,-0.05,240,240,-1,0.0,0.0,-0.1,0.2,0.02,-0.01,0.00,0.00,0.00,0.00,0.00,-0.00,98,-1,0
0.80,find,68.54,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,-0.05,240,240,-1,0.0,0.0,-0.2,0.3,0.02,-0.01,0.00,0.00,0.00,0.00,-0.03,0.05,98,-1,0
0.90,find,68.58,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,-0.05,240,240,-1,0.0,0.0,-0.3,0.4,0.02,-0.01,0.00,0.00,0.00,0.00,-0.03,0.05,98,-1,0
1.00,find,68.62,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,-0.06,240,240,-1,0.0,0.0,-0.3,0.5,0.02,-0.02,0.00,0.00,0.00,0.00,-0.03,0.05,98,-1,0
1.10,find,68.67,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,-0.06,240,240,-1,0.0,0.0,-0.4,0.6,0.02,-0.02,0.00,0.00,0.00,0.00,-0.03,0.05,98,-1,0
1.20,find,68.73,0.00,0.300,0,-68.1,76.9,0.0,0.0,0.00,-0.07,240,240,-1,0.0,0.0,-0.5,0.7,0.02,-0.02,0.00,0.00,0.00,0.00,-0.04,0.06,98,-1,0
1.30,find,68.80,0.00,0.300,0,-68.1,76.9,0.0,0.0,-0.01,-0.09,240,240,-1,0.0,0.0,-0.6,0.7,0.02,-0.02,0.00,0.00,0.00,0.00,-0.04,0.06,98,-1,0
1.40,find,68.87,0.00,0.300,0,-68.1,76.9,0.0,0.0,-0.01,-0.09,240,240,-1,0.0,0.0,-0.7,0.8,0.02,-0.02,0.00,0.00,0.00,0.00,-0.04,0.08,98,-1,0
1.50,find,68.96,0.00,0.300,0,-68.1,76.9,0.0,0.0,-0.01,-0.11,240,240,-1,0.0,0.0,-0.7,0.9,0.02,-0.02,0.00,0.00,0.00,0.00,-0.05,0.10,98,-1,0
1.60,find,69.05,0.00,0.300,0,-68.1,76.8,0.0,0.0,-0.01,-0.14,240,240,-1,0.0,0.0,-0.8,1.0,0.02,-0.02,0.00,0.00,0.00,0.00,-0.05,0.10,98,-1,0
1.70,find,69.16,0.00,0.300,0,-68.1,76.8,0.0,0.0,-0.01,-0.14,240,240,-1,0.0,0.0,-0.9,1.1,0.02,-0.02,0.00,0.00,0.00,0.00,-0.06,0.13,98,-1,0
1.80,find,69.27,0.00,0.300,0,-68.1,76.8,0.0,0.0,-0.02,-0.17,240,240,-1,0.0,0.0,-0.9,1.1,0.02,-0.02,0.00,0.00,0.00,0.00,-0.07,0.15,98,-1,0
1.90,find,69.38,0.00,0.300,0,-68.1,76.8,0.0,0.0,-0.02,-0.20,240,240,-1,0.0,0.0,-1.0,1.2,0.02,-0.02,0.00,0.00,0.00,0.00,-0.07,0.15,98,-1,0
2.00,find,69.51,0.00,0.300,0,-68.1,76.8,0.0,0.0,-0.02,-0.20,240,240,-1,0.0,0.0,-1.0,1.2,0.02,-0.02,0.00,0.00,0.00,0.00,-0.08,0.18,98,-1,0
2.10,find,69.68,0.00,0.300,0,-68.1,76.8,0.0,0.0,-0.03,-0.23,240,240,-1,0.0,0.0,-1.1,1.3,0.02,-0.02,0.00,0.00,0.00,0.00,-0.09,0.21,98,-1,0
2.20,find,69.79,0.00,0.300,0,-68.1,76.7,0.0,0.0,-0.04,-0.26,240,240,-1,0.0,0.0,-1.1,1.3,0.02,-0.02,0.00,0.00,0.00,0.00,-0.09,0.21,98,-1,0
2.30,find,69.94,0.00,0.300,0,-68.1,76.7,0.0,0.0,-0.04,-0.26,240,240,-1,0.0,0.0,-1.1,1.3,0.02,-0.02,0.00,0.00,0.00,0.00,-0.10,0.25,98,-1,0
2.40,find,70.18,0.00,0.300,0,-68.1,76.7,0.0,0.0,-0.04,-0.29,240,240,-1,0.0,0.0,-1.2,1.3,0.02,-0.02,0.00,0.00,0.00,0.00,-0.11,0.28,98,-1,0
2.50,find,70.26,0.00,0.300,0,-68.1,76.6,0.0,0.0,-0.05,-0.33,240,240,-1,0.0,0.0,-1.2,1.3,0.01,-0.02,0.00,0.00,0.00,0.00,-0.11,0.28,98,-1,0
2.60,find,70.43,0.00,0.300,0,-68.1,76.6,0.0,0.0,-0.05,-0.33,240,240,-1,0.0,0.0,-1.2,1.3,0.01,-0.01,0.00,0.00,0.00,0.00,-0.11,0.31,98,-1,0
2.70,find,70.61,0.00,0.300,0,-68.1,76.6,0.0,0.0,-0.06,-0.36,240,240,-1,0.0,0.0,-1.2,1.3,0.01,-0.01,0.00,0.00,0.00,0.00,-0.13,0.34,98,-1,0
2.80,find,70.84,0.00,0.300,0,-68.1,76.5,0.0,0.0,-0.07,-0.39,240,240,-1,0.0,0.0,-1.2,1.2,0.01,-0.01,0.00,0.00,0.00,0.00,-0.13,0.34,98,-1,0
2.90,find,70.99,0.00,0.300,0,-68.1,76.5,0.0,0.0,-0.07,-0.39,240,240,-1,0.0,0.0,-1.1,1.2,0.01,-0.01,0.00,0.00,0.00,0.00,-0.13,0.37,98,-1,0
3.00,find,71.19,0.00,0.300,0,-68.1,76.5,0.0,0.0,-0.08,-0.41,240,240,-1,0.0,0.0,-1.1,1.1,0.00,-0.01,0.00,0.00,0.00,0.00,-0.14,0.40,98,-1,0
3.10,find,71.40,0.00,0.300,0,-68.1,76.4,0.0,0.0,-0.08,-0.43,240,240,-1,0.0,0.0,-1.0,1.0,0.00,-0.01,0.00,0.00,0.00,0.00,-0.14,0.40,98,-1,0
3.20,find,71.61,0.00,0.300,0,-68.1,76.4,0.0,0.0,-0.08,-0.43,240,240,-1,0.0,0.0,-1.0,1.0,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.14,0.42,98,-1,0
3.30,find,71.89,0.00,0.300,0,-68.2,76.4,0.0,0.0,-0.09,-0.45,240,240,-1,0.0,0.0,-0.9,0.9,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.14,0.43,98,-1,0
3.40,find,72.06,0.00,0.300,0,-68.2,76.3,0.0,0.0,-0.10,-0.46,240,240,-1,0.0,0.0,-0.8,0.8,-0.01,0.00,0.00,0.00,0.00,0.00,-0.14,0.43,98,-1,0
3.50,find,72.29,0.00,0.300,0,-68.2,76.3,0.0,0.0,-0.10,-0.46,240,240,-1,0.0,0.0,-0.7,0.6,-0.01,0.00,0.00,0.00,0.00,0.00,-0.14,0.44,98,-1,0
3.60,find,72.60,0.00,0.300,0,-68.2,76.2,0.0,0.0,-0.10,-0.46,240,240,-1,0.0,0.0,-0.6,0.5,-0.01,0.01,0.00,0.00,0.00,0.00,-0.14,0.45,98,-1,0
3.70,find,72.78,0.00,0.300,0,-68.2,76.1,0.0,0.0,-0.10,-0.46,240,240,-1,0.0,0.0,-0.5,0.4,-0.01,0.01,0.00,0.00,0.00,0.00,-0.14,0.45,98,-1,0
3.80,find,73.03,0.00,0.300,0,-68.2,76.1,0.0,0.0,-0.10,-0.46,240,240,-1,0.0,0.0,-0.4,0.2,-0.02,0.01,0.00,0.00,0.00,0.00,-0.14,0.45,98,-1,0
3.90,find,73.29,0.00,0.300,0,-68.2,76.1,0.0,0.0,-0.10,-0.44,240,240,-1,0.0,0.0,-0.3,0.1,-0.02,0.01,0.00,0.00,0.00,0.00,-0.13,0.44,98,-1,0
