t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat
0.00,find,68.50,0.00,0.300,0,54.1,104.8,0.0,0.0,-0.00,-0.00,81,81,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
0.45,find,68.50,0.00,0.300,0,54.1,104.8,0.0,0.0,-0.03,-0.00,81,81,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,99,-1,0
0.70,find,68.51,0.00,0.300,0,54.1,104.8,0.0,0.0,-0.02,-0.03,81,81,-1,0.0,0.0,-0.1,-0.1,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.01,99,-1,0
0.95,find,68.55,0.00,0.300,0,54.1,104.8,0.0,0.0,0.03,-0.05,81,81,-1,0.0,0.0,-0.6,-0.5,0.02,0.01,0.00,0.00,0.00,0.00,-0.01,-0.03,99,-1,0
1.20,find,68.68,0.00,0.300,0,54.1,104.8,0.0,0.0,0.07,-0.08,81,81,-1,0.0,0.0,-1.2,-1.0,0.02,0.02,0.00,0.00,0.00,0.00,0.04,-0.05,99,-1,0
1.45,find,68.91,0.00,0.300,0,54.1,104.7,0.0,0.0,0.18,-0.16,81,81,-1,0.0,0.0,-1.8,-1.6,0.02,0.02,0.00,0.00,0.00,0.00,0.08,-0.07,99,-1,0
1.70,find,69.24,0.00,0.300,0,54.2,104.7,0.0,0.0,0.33,-0.28,81,81,-1,0.0,0.0,-2.3,-2.3,0.03,0.03,0.00,0.00,0.00,0.00,0.21,-0.13,99,-1,0
1.95,find,69.65,0.00,0.300,0,54.2,104.6,0.0,0.0,0.41,-0.35,81,81,-1,0.0,0.0,-2.7,-3.0,0.03,0.04,0.00,0.00,0.00,0.00,0.36,-0.23,99,-1,0
2.20,find,70.16,0.00,0.300,0,54.4,104.5,0.0,0.0,0.58,-0.53,82,81,-1,0.0,0.0,-3.0,-3.7,0.03,0.04,0.00,0.00,0.00,0.00,0.45,-0.29,99,-1,0
2.45,find,70.74,0.00,0.300,0,54.6,104.3,0.0,0.0,0.75,-0.76,82,81,-1,0.0,0.0,-3.2,-4.5,0.03,0.05,0.00,0.00,0.00,0.00,0.65,-0.44,99,-1,0
2.70,find,71.41,0.00,0.300,0,54.7,104.2,0.0,0.0,0.84,-0.89,82,81,-1,0.0,0.0,-3.3,-5.4,0.03,0.06,0.00,0.00,0.00,0.00,0.86,-0.64,99,-1,0
2.95,find,72.15,0.00,0.300,0,55.0,103.9,0.0,0.0,1.01,-1.19,82,81,-1,0.0,0.0,-3.3,-6.3,0.03,0.07,0.00,0.00,0.00,0.00,0.96,-0.76,99,-1,0
3.20,find,72.97,0.00,0.300,0,55.3,103.5,0.0,0.0,1.16,-1.56,82,81,-1,0.0,0.0,-3.2,-7.4,0.03,0.08,0.00,0.00,0.00,0.00,1.17,-1.03,99,-1,0
