t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat
0.00,find,68.50,0.00,0.300,0,11.2,103.6,0.0,0.0,-0.00,0.00,195,195,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
0.45,find,68.50,0.00,0.300,0,11.2,103.6,0.0,0.0,0.01,0.05,195,195,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,99,-1,0
0.70,find,68.51,0.00,0.300,0,11.2,103.6,0.0,0.0,-0.00,-0.00,195,195,-1,0.0,0.0,-0.2,-0.0,0.02,0.00,0.00,0.00,0.00,0.00,0.05,-0.02,99,-1,0
0.95,find,68.62,0.00,0.300,0,11.2,103.6,0.0,0.0,-0.04,-0.07,195,195,-1,0.0,0.0,-0.8,-0.2,0.06,0.02,0.00,0.00,0.00,0.00,-0.00,0.00,99,-1,0
1.20,find,68.92,0.00,0.300,0,11.2,103.6,0.0,0.0,-0.07,-0.12,195,195,-1,0.0,0.0,-1.7,-0.4,0.08,0.02,0.00,0.00,0.00,0.00,-0.06,0.05,99,-1,0
1.45,find,69.41,0.00,0.300,0,11.1,103.5,0.0,0.0,-0.14,-0.28,195,195,-1,0.0,0.0,-2.5,-0.5,0.09,0.01,0.00,0.00,0.00,0.00,-0.10,0.10,99,-1,0
1.70,find,70.10,0.00,0.300,0,11.1,103.4,0.0,0.0,-0.22,-0.51,195,195,-1,0.0,0.0,-3.4,-0.4,0.11,-0.00,0.00,0.00,0.00,0.00,-0.23,0.21,99,-1,0
1.95,find,71.07,0.00,0.300,0,11.1,103.3,0.0,0.0,-0.27,-0.64,195,195,-1,0.0,0.0,-4.3,-0.2,0.12,-0.01,0.00,0.00,0.00,0.00,-0.43,0.35,99,-1,0
2.20,find,72.02,0.00,0.300,0,11.0,103.1,0.0,0.0,-0.34,-0.98,195,195,-1,0.0,0.0,-5.3,0.0,0.14,-0.02,0.00,0.00,0.00,0.00,-0.55,0.42,99,-1,0
2.45,find,73.23,0.00,0.300,0,10.9,102.8,0.0,0.0,-0.43,-1.35,195,195,-1,0.0,0.0,-6.2,0.2,0.14,-0.02,0.00,0.00,0.00,0.00,-0.86,0.58,99,-1,0
2.70,find,74.58,0.00,0.300,0,10.8,102.6,0.0,0.0,-0.51,-1.52,195,195,-1,0.0,0.0,-6.0,-0.8,0.05,0.09,0.00,0.00,0.00,0.00,-1.20,0.76,99,-1,0
2.95,find,76.08,0.00,0.300,0,10.6,102.1,0.0,0.0,-0.77,-1.68,195,195,-1,0.0,0.0,-4.5,-3.0,-0.06,0.20,0.00,0.00,0.00,0.00,-1.33,0.88,99,-1,0
3.20,find,77.74,0.00,0.300,0,10.3,101.6,0.0,0.0,-1.01,-1.61,195,195,-1,0.0,0.0,-2.2,-3.8,-0.15,0.11,0.00,0.00,0.00,0.00,-1.42,1.18,99,-1,0
3.45,find,79.58,0.00,0.300,0,10.2,101.3,0.0,0.0,-1.03,-1.54,195,195,-1,0.0,0.0,-0.2,-1.6,-0.15,-0.15,0.00,0.00,0.00,0.00,-1.30,1.40,99,-1,0
3.70,find,81.60,0.00,0.300,0,9.9,100.9,0.0,0.0,-0.79,-1.44,195,195,-1,0.0,0.0,0.4,2.2,-0.04,-0.33,0.00,0.00,0.00,0.00,-1.22,1.40,99,-1,0
3.95,find,83.79,0.00,0.300,0,9.7,100.5,0.0,0.0,-0.37,-1.49,195,195,-1,0.0,0.0,-0.6,4.9,0.09,-0.26,0.00,0.00,0.00,0.00,-1.18,1.14,99,-1,0
4.20,find,86.13,0.00,0.300,0,9.7,100.2,0.0,0.0,-0.20,-1.57,195,196,-1,0.0,0.0,-2.1,4.5,0.15,-0.01,0.00,0.00,0.00,0.00,-1.34,0.75,99,-1,0
4.45,find,88.60,0.00,0.300,0,9.6,99.7,0.0,0.0,-0.17,-1.74,195,196,-1,0.0,0.0,-3.7,1.2,0.17,0.26,0.00,0.00,0.00,0.00,-1.46,0.61,99,-1,0
4.70,find,91.14,0.00,0.300,0,9.5,99.2,0.0,0.0,-0.44,-1.76,195,196,-1,0.0,0.0,-3.3,-2.6,0.02,0.32,0.00,0.00,0.00,0.00,-1.63,0.62,99,-1,0
4.95,find,94.07,0.00,0.300,0,9.5,99.0,0.0,0.0,-0.56,-1.67,196,196,-1,0.0,0.0,-0.5,-3.3,-0.20,0.09,0.00,0.00,0.00,0.00,-1.58,0.89,99,-1,0
5.20,find,96.91,0.00,0.300,0,9.3,98.5,0.0,0.0,-0.51,-1.36,196,196,-1,0.0,0.0,2.4,-0.5,-0.25,-0.22,0.00,0.00,0.00,0.00,-1.46,0.99,99,-1,0
5.45,find,99.60,0.00,0.300,0,9.2,98.1,0.0,0.0,-0.05,-1.08,196,196,-1,0.0,0.0,3.8,4.0,-0.14,-0.40,0.00,0.00,0.00,0.00,-1.17,0.86,99,-1,0
5.70,find,103.09,0.00,0.300,0,9.2,98.0,0.0,0.0,0.22,-1.02,196,196,-1,0.0,0.0,2.4,6.1,0.10,-0.23,0.00,0.00,0.00,0.00,-1.03,0.34,99,-1,0
5.95,find,106.07,0.00,0.300,0,9.3,97.7,0.0,0.0,0.48,-1.10,196,196,-1,0.0,0.0,-1.0,3.8,0.29,0.15,0.00,0.00,0.00,0.00,-1.05,0.07,99,-1,0
6.20,find,109.43,0.00,0.300,0,9.4,97.3,0.0,0.0,0.26,-1.25,196,197,-1,0.0,0.0,-3.5,-0.7,0.25,0.36,0.00,0.00,0.00,0.00,-1.19,-0.16,99,-1,0
6.45,find,112.81,0.00,0.300,0,9.5,97.1,0.0,0.0,0.06,-1.25,196,197,-1,0.0,0.0,-2.5,-3.9,-0.05,0.29,0.00,0.00,0.00,0.00,-1.27,0.09,99,-1,0
6.70,find,116.29,0.00,0.300,0,9.4,96.8,0.0,0.0,-0.20,-0.96,196,197,-1,0.0,0.0,1.6,-3.6,-0.33,0.01,0.00,0.00,0.00,0.00,-1.22,0.29,99,-1,0
6.95,find,117.43,0.00,0.300,0,11.5,96.8,0.0,0.0,5.62,-1.03,196,197,-1,0.0,0.0,3.4,-2.5,-0.17,-0.06,0.00,0.00,0.00,0.00,-0.87,0.46,99,-1,0
7.20,find,116.56,0.00,0.300,0,12.7,96.5,0.0,0.0,32.46,-7.94,196,197,-1,0.0,0.0,3.0,-2.7,0.01,0.04,0.00,0.00,0.00,0.00,-2.57,-5.11,99,-1,0
7.45,find,109.41,0.00,0.300,0,24.9,94.8,0.0,0.0,-39.12,4.70,196,197,-1,0.0,0.0,3.0,-2.5,-0.02,0.01,0.00,0.00,0.00,0.00,-16.75,-28.92,99,-1,0
7.70,find,102.31,0.00,0.300,0,20.8,95.8,0.0,0.0,5.64,2.80,196,197,-1,0.0,0.0,3.0,-2.9,-0.02,0.06,0.00,0.00,0.00,0.00,15.53,36.21,99,-1,0
7.95,find,98.66,0.00,0.300,0,18.2,96.0,0.0,0.0,-29.65,1.75,196,197,-1,0.0,0.0,3.1,-2.6,-0.03,0.00,0.00,0.00,0.00,0.00,1.10,-6.20,99,-1,0
8.20,find,96.05,0.00,0.300,0,14.6,95.7,0.0,0.0,-35.17,1.21,196,197,-1,0.0,0.0,3.0,-2.8,-0.02,0.05,0.00,0.00,0.00,0.00,10.06,27.95,99,-1,0
8.45,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,196,197,-1,0.0,0.0,2.9,-2.9,-0.02,0.04,0.00,0.00,0.00,0.00,11.11,33.39,99,-1,0
8.70,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,196,197,-1,0.0,0.0,2.9,-2.9,-0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
8.95,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,196,197,-1,0.0,0.0,2.9,-2.9,-0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
9.20,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,196,197,-1,0.0,0.0,2.9,-2.9,-0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
9.45,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,196,197,-1,0.0,0.0,2.9,-2.9,-0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
9.70,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,196,197,-1,0.0,0.0,2.9,-2.9,-0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
9.95,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,196,197,-1,0.0,0.0,2.9,-2.9,-0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
10.20,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,196,197,-1,0.0,0.0,2.9,-2.9,-0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
10.45,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,196,197,-1,0.0,0.0,2.9,-2.9,-0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
10.70,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,197,197,-1,0.0,0.0,2.9,-2.9,-0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
10.95,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,197,197,-1,0.0,0.0,2.9,-2.9,-0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
11.20,find,91.49,0.00,0.300,0,12.0,95.8,0.0,0.0,0.00,0.00,197,197,-1,0.0,0.0,2.9,-2.9,-0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
