t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat
0.00,find,68.50,0.00,0.300,0,-55.5,36.9,0.0,0.0,0.00,-0.00,10,10,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
0.45,find,68.50,0.00,0.300,0,-55.5,36.9,0.0,0.0,-0.00,-0.03,10,10,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99,-1,0
0.70,find,68.50,0.00,0.300,0,-55.5,36.9,0.0,0.0,-0.01,-0.05,10,10,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.03,-0.01,99,-1,0
0.95,find,68.54,0.00,0.300,0,-55.5,36.8,0.0,0.0,0.01,-0.03,10,10,-1,0.0,0.0,-0.3,-0.2,-0.01,-0.02,0.00,0.00,0.00,0.00,0.05,-0.02,99,-1,0
1.20,find,68.69,0.00,0.300,0,-55.5,36.8,0.0,0.0,0.02,-0.01,10,10,-1,0.0,0.0,-0.7,-0.4,-0.01,-0.04,0.00,0.00,0.00,0.00,0.03,0.00,99,-1,0
1.45,find,68.95,0.00,0.300,0,-55.5,36.9,0.0,0.0,0.07,0.11,10,10,-1,0.0,0.0,-1.2,-0.4,-0.01,-0.04,0.00,0.00,0.00,0.00,0.01,0.02,99,-1,0
1.70,find,69.31,0.00,0.300,0,-55.5,36.9,0.0,0.0,0.13,0.31,10,10,-1,0.0,0.0,-1.5,-0.4,-0.00,-0.03,0.00,0.00,0.00,0.00,-0.10,0.09,99,-1,0
1.95,find,69.77,0.00,0.300,0,-55.4,37.0,0.0,0.0,0.16,0.41,10,10,-1,0.0,0.0,-1.3,-0.3,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.18,99,-1,0
2.20,find,70.32,0.00,0.300,0,-55.4,37.1,0.0,0.0,0.18,0.51,10,10,-1,0.0,0.0,-0.4,-0.1,0.01,0.05,0.00,0.00,0.00,0.00,-0.38,0.22,99,-1,0
2.45,find,70.97,0.00,0.300,0,-55.3,37.2,0.0,0.0,0.13,0.39,10,10,-1,0.0,0.0,0.8,0.2,0.02,0.08,0.00,0.00,0.00,0.00,-0.47,0.26,99,-1,0
2.70,find,71.71,0.00,0.300,0,-55.3,37.3,0.0,0.0,0.09,0.27,10,10,-1,0.0,0.0,1.7,0.6,0.03,0.07,0.00,0.00,0.00,0.00,-0.36,0.20,99,-1,0
2.95,find,72.56,0.00,0.300,0,-55.3,37.3,0.0,0.0,-0.03,0.02,10,10,-1,0.0,0.0,2.0,1.0,0.04,0.03,0.00,0.00,0.00,0.00,-0.26,0.14,99,-1,0
3.20,find,73.52,0.00,0.300,0,-55.3,37.3,0.0,0.0,-0.23,-0.17,10,10,-1,0.0,0.0,1.4,1.6,0.05,-0.02,0.00,0.00,0.00,0.00,-0.02,-0.02,99,-1,0
3.45,find,74.69,0.00,0.300,0,-55.4,37.3,0.0,0.0,-0.35,-0.19,10,10,-1,0.0,0.0,-0.0,1.9,0.04,-0.08,0.00,0.00,0.00,0.00,0.13,-0.26,99,-1,0
3.70,find,75.85,0.00,0.300,0,-55.5,37.3,0.0,0.0,-0.55,-0.01,10,10,-1,0.0,0.0,-1.9,1.7,0.00,-0.14,0.00,0.00,0.00,0.00,0.13,-0.38,99,-1,0
3.95,find,76.97,0.00,0.300,0,-55.7,37.3,0.0,0.0,-0.56,0.44,10,10,-1,0.0,0.0,-3.7,0.8,-0.04,-0.15,0.00,0.00,0.00,0.00,-0.09,-0.54,99,-1,0
4.20,find,78.27,0.00,0.300,0,-55.8,37.4,0.0,0.0,-0.47,0.70,10,10,-1,0.0,0.0,-4.7,-0.4,-0.07,-0.11,0.00,0.00,0.00,0.00,-0.53,-0.47,99,-1,0
