t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat
0.00,find,68.37,0.00,0.500,0,69.2,100.9,0.0,0.0,0.03,0.01,267,267,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,-1,0
0.45,find,68.38,0.00,0.500,0,69.2,101.0,0.0,0.0,0.01,0.01,267,267,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.03,-0.01,100,-1,0
0.70,find,68.47,0.00,0.500,0,69.2,101.0,0.0,0.0,-0.04,0.01,267,267,-1,0.0,0.0,-1.2,-0.0,0.07,0.00,0.00,0.00,0.00,0.00,-0.00,-0.01,100,-1,0
0.95,find,69.04,0.00,0.500,0,69.1,101.0,0.0,0.0,-0.49,0.04,267,267,-1,0.0,0.0,-4.6,-0.5,0.22,0.03,0.00,0.00,0.00,0.00,0.04,-0.01,100,-1,0
1.20,find,70.25,0.00,0.500,0,68.9,101.0,0.0,0.0,-1.37,0.14,267,267,-1,0.0,0.0,-7.9,-1.3,0.25,0.05,0.00,0.00,0.00,0.00,0.49,-0.01,100,-1,0
1.45,find,72.06,0.00,0.500,0,68.6,101.0,0.0,0.0,-1.86,0.24,267,266,-1,0.0,0.0,-9.0,-2.2,0.17,0.07,0.00,0.00,0.00,0.00,1.37,-0.07,100,-1,0
1.70,find,74.50,0.00,0.500,0,68.0,101.1,0.0,0.0,-2.69,0.50,267,266,-1,0.0,0.0,-7.6,-2.9,0.05,0.07,0.00,0.00,0.00,0.00,1.87,-0.14,100,-1,0
1.95,find,77.56,0.00,0.500,0,67.1,101.3,0.0,0.0,-3.01,0.74,267,266,-1,0.0,0.0,-4.6,-2.5,-0.06,0.02,0.00,0.00,0.00,0.00,2.71,-0.35,100,-1,0
2.20,find,81.63,0.00,0.500,0,66.7,101.4,0.0,0.0,-2.94,0.82,267,266,-1,0.0,0.0,-0.8,-1.6,-0.13,-0.01,0.00,0.00,0.00,0.00,3.05,-0.57,100,-1,0
2.45,find,85.50,0.00,0.500,0,66.0,101.6,0.0,0.0,-2.43,0.92,267,266,-1,0.0,0.0,3.6,-0.8,-0.21,-0.02,0.00,0.00,0.00,0.00,2.98,-0.65,100,-1,0
2.70,find,90.37,0.00,0.500,0,65.4,101.9,0.0,0.0,-1.22,1.04,267,266,-1,0.0,0.0,7.9,-0.7,-0.26,0.02,0.00,0.00,0.00,0.00,2.48,-0.77,100,-1,0
