t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,fly,68.50,431.50,1.000,1,298.0,522.5,0.0,0.0,0.00,0.00,334,334,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,0,0.0,0.00
0.10,fly,68.50,431.50,1.000,1,298.0,522.5,0.0,0.0,0.00,0.00,334,334,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,0,0.0,0.00
0.20,fly,68.50,431.50,1.000,1,298.0,522.5,0.0,0.0,0.00,0.00,334,334,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,93,-1,1,0,-0.0,0.00
0.30,fly,68.51,431.49,1.000,1,298.0,522.5,0.0,0.0,0.00,0.00,334,334,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,93,-1,1,0,-0.0,0.00
0.40,fly,68.58,431.42,1.000,1,298.0,522.5,0.0,0.0,0.00,0.00,334,334,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,93,-1,1,-0,0.0,-0.00
0.50,fly,68.79,431.21,1.000,1,298.0,522.5,0.0,0.0,0.00,0.00,334,334,-1,0.0,0.0,-0.2,-0.0,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,93,-1,1,-0,0.0,-0.00
0.60,fly,69.39,430.61,1.000,1,298.0,522.5,0.0,0.0,0.00,0.00,334,334,-1,0.0,0.0,-0.3,-0.0,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,93,-1,1,-0,0.0,-0.00
0.70,fly,69.99,430.01,1.000,1,298.0,522.5,0.0,0.0,-0.02,-0.04,334,334,-1,0.0,0.0,-0.4,0.0,0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,93,-1,1,-0,0.0,-0.00
0.80,fly,71.06,428.94,0.441,1,298.0,522.5,0.0,0.0,-0.02,-0.04,334,334,-1,0.0,0.0,-0.5,0.1,0.01,-0.02,0.00,0.00,0.00,0.00,0.05,-0.00,93,-1,0,-0,0.0,-0.00
0.90,fly,72.47,427.53,0.441,1,298.0,522.5,0.0,0.0,-0.04,-0.11,334,334,-1,0.0,0.0,-0.6,0.1,0.00,-0.02,0.00,0.00,0.00,0.00,0.05,-0.00,93,-1,0,0,0.0,-0.00
