t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,fly,68.50,431.50,0.295,1,295.9,518.3,0.0,0.0,0.00,0.00,25,25,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,fly,68.50,431.50,0.345,1,295.9,518.3,0.0,0.0,0.00,0.00,25,25,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.20,fly,68.50,431.50,0.395,1,295.9,518.3,0.0,0.0,0.00,0.00,25,25,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92,-1,0,-0,0.0,-0.00
0.30,fly,68.50,431.50,0.445,1,295.9,518.3,0.0,0.0,0.00,0.00,25,25,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92,-1,0,0,0.0,0.00
0.40,fly,68.50,431.50,0.494,1,295.9,518.3,0.0,0.0,0.00,-0.00,25,25,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,92,-1,0,0,0.0,0.00
0.50,fly,68.51,431.49,0.543,1,295.9,518.3,0.0,0.0,-0.02,0.00,25,25,-1,-0.0,0.0,-0.0,-0.0,-0.01,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.02,92,-1,0,0,0.0,-0.00
0.60,fly,68.57,431.43,0.575,1,295.9,518.3,0.0,0.0,-0.02,0.00,25,25,-1,-0.0,0.0,-0.1,-0.1,-0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.02,92,-1,0,0,0.0,-0.00
0.70,fly,68.75,431.25,0.572,1,295.9,518.3,0.0,0.0,0.00,-0.02,25,25,-1,-0.0,0.0,-0.2,-0.0,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.02,92,-1,0,0,0.0,-0.00
0.80,fly,69.18,430.82,0.552,1,295.9,518.3,0.0,0.0,0.00,-0.04,25,25,-1,0.0,0.0,-0.3,-0.0,0.00,-0.02,0.00,0.00,0.00,0.00,0.02,-0.01,92,-1,0,-0,0.0,-0.00
0.90,fly,69.54,430.46,0.532,1,295.9,518.3,0.0,0.0,0.00,-0.04,25,25,-1,0.0,0.0,-0.4,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,0.04,-0.02,92,-1,0,-0,0.0,-0.00
1.00,fly,70.14,429.86,0.514,1,295.9,518.3,0.0,0.0,0.00,-0.04,25,25,-1,0.0,0.0,-0.5,0.1,0.01,-0.02,0.00,0.00,0.00,0.00,0.04,-0.02,92,-1,0,-0,0.0,-0.00
1.10,fly,71.06,428.94,0.499,1,295.9,518.3,0.0,0.0,0.02,-0.09,25,25,-1,0.0,0.0,-0.5,0.2,0.02,-0.01,0.00,0.00,0.00,0.00,0.04,-0.01,92,-1,0,-0,-0.0,-0.00
1.20,fly,71.91,428.09,0.493,1,295.9,518.3,0.0,0.0,0.02,-0.09,25,25,-1,0.1,0.0,-0.4,0.3,0.02,-0.00,0.00,0.00,0.00,0.00,0.09,-0.02,92,-1,0,-0,-0.0,0.00
1.30,fly,72.87,427.13,0.492,1,295.9,518.2,0.0,0.0,0.07,-0.09,25,25,-1,0.1,0.0,-0.4,0.4,0.02,-0.00,0.00,0.00,0.00,0.00,0.10,0.00,92,-1,0,-0,0.0,-0.00
1.40,fly,74.20,425.80,0.492,1,296.0,518.2,-0.0,0.0,0.09,-0.09,25,25,-1,0.1,-0.0,-0.4,0.6,0.03,-0.01,0.00,0.00,0.00,0.00,0.11,0.02,92,-1,0,-0,-0.0,-0.00
1.50,fly,75.38,424.62,0.493,1,296.0,518.2,-0.0,0.0,0.12,-0.09,25,25,-1,0.1,-0.0,-0.5,0.7,0.03,-0.01,0.00,0.00,0.00,0.00,0.12,0.04,92,-1,0,-0,-0.0,0.00
1.60,fly,76.66,423.34,0.494,1,296.0,518.2,-0.0,0.1,0.15,-0.09,25,25,-1,0.1,-0.1,-0.5,0.9,0.04,-0.01,0.00,0.00,0.00,0.00,0.13,0.07,92,-1,0,-0,-0.0,0.00
1.70,fly,77.33,422.67,0.496,1,296.0,518.2,-0.0,0.1,0.15,-0.09,25,25,-1,0.2,-0.1,-0.5,1.1,0.04,-0.01,0.00,0.00,0.00,0.00,0.14,0.10,92,-1,0,-0,-0.0,0.00
1.80,fly,78.75,421.25,0.498,1,296.0,518.2,-0.1,0.1,0.21,-0.09,25,25,-1,0.2,-0.2,-0.6,1.3,0.04,-0.02,0.00,0.00,0.00,0.00,0.17,0.15,92,-1,0,-0,-0.0,0.00
1.90,fly,80.26,419.74,0.501,1,296.0,518.2,-0.1,0.1,0.30,-0.07,25,25,-1,0.2,-0.3,-0.7,1.4,0.03,-0.02,0.00,0.00,0.00,0.00,0.19,0.24,92,-1,0,-0,-0.0,0.00
2.00,fly,81.87,418.13,0.505,1,296.1,518.2,-0.1,0.1,0.38,-0.04,25,25,-1,0.2,-0.3,-0.8,1.3,0.01,-0.02,0.00,0.00,0.00,0.00,0.20,0.33,92,-1,0,-0,-0.0,0.00
2.10,fly,83.56,416.44,0.509,1,296.2,518.2,-0.2,0.1,0.58,0.00,25,25,-1,0.2,-0.5,-0.8,1.2,-0.00,-0.03,0.00,0.00,0.00,0.00,0.21,0.45,92,-1,0,-0,-0.0,0.00
2.20,fly,85.81,414.19,0.514,1,296.2,518.2,-0.2,0.1,0.64,0.00,25,25,-1,0.3,-0.6,-0.9,1.0,-0.01,-0.03,0.00,0.00,0.00,0.00,0.25,0.53,92,-1,0,-0,-0.0,0.00
2.30,fly,87.23,412.77,0.519,1,296.2,518.2,-0.3,0.1,0.64,0.00,25,25,-1,0.3,-0.6,-1.1,0.7,-0.02,-0.03,0.00,0.00,0.00,0.00,0.27,0.58,92,-1,0,-0,-0.0,0.00
2.40,fly,89.19,410.81,0.524,1,296.3,518.2,-0.4,0.1,0.68,-0.04,25,25,-1,0.4,-0.7,-1.2,0.5,-0.03,-0.04,0.00,0.00,0.00,0.00,0.33,0.60,92,-1,0,-0,-0.0,0.00
2.50,fly,91.25,408.75,0.530,1,296.4,518.2,-0.4,0.1,0.71,-0.04,25,25,-1,0.4,-0.7,-1.3,0.2,-0.03,-0.04,0.00,0.00,0.00,0.00,0.34,0.63,92,-1,0,-0,-0.0,0.00
2.60,fly,93.94,406.06,0.535,1,296.5,518.2,-0.5,0.1,0.75,-0.20,25,25,-1,0.5,-0.7,-1.4,-0.1,-0.03,-0.03,0.00,0.00,0.00,0.00,0.41,0.61,92,-1,0,-0,0.0,-0.00
2.70,fly,95.62,404.38,0.539,1,296.5,518.2,-0.6,0.1,0.75,-0.20,25,25,-1,0.6,-0.7,-1.3,-0.3,-0.02,-0.01,0.00,0.00,0.00,0.00,0.49,0.59,92,-1,0,-0,0.0,-0.00
2.80,fly,99.16,400.84,0.540,1,296.7,518.1,-0.6,0.1,0.70,-0.40,25,25,-1,0.7,-0.7,-1.0,-0.3,-0.00,0.02,0.00,0.00,0.00,0.00,0.59,0.53,92,-1,0,-0,0.1,-0.00
2.90,fly,100.39,399.61,0.536,1,296.7,518.1,-0.7,0.2,0.70,-0.40,25,25,-1,0.8,-0.6,-0.6,-0.2,0.01,0.05,0.00,0.00,0.00,0.00,0.66,0.47,92,-1,0,-0,0.1,-0.00
3.00,fly,102.94,397.06,0.531,1,296.7,518.0,-0.8,0.2,0.68,-0.44,25,25,-1,0.8,-0.6,-0.1,-0.1,0.02,0.06,0.00,0.00,0.00,0.00,0.69,0.43,92,-1,0,0,0.1,-0.00
3.10,fly,106.27,393.73,0.528,1,296.8,518.0,-0.9,0.3,0.58,-0.42,25,25,-1,0.9,-0.5,0.3,-0.1,0.02,0.05,0.00,0.00,0.00,0.00,0.71,0.37,92,-1,0,0,0.1,-0.00
3.20,fly,109.05,390.95,0.530,1,296.9,517.9,-0.9,0.3,0.53,-0.35,25,25,-1,0.8,-0.5,0.4,0.0,0.02,0.01,0.00,0.00,0.00,0.00,0.62,0.35,92,-1,0,-0,0.0,-0.00
3.30,fly,111.19,388.81,0.533,1,296.9,517.9,-1.0,0.4,0.53,-0.35,25,25,-1,0.7,-0.5,0.3,0.1,0.02,-0.03,0.00,0.00,0.00,0.00,0.54,0.33,92,-1,0,-0,0.0,-0.00
3.40,fly,114.14,385.86,0.537,1,297.0,517.9,-1.0,0.4,0.47,-0.26,25,25,-1,0.6,-0.5,-0.1,0.1,0.01,-0.06,0.00,0.00,0.00,0.00,0.44,0.32,92,-1,0,-0,0.1,-0.00
3.50,fly,117.94,382.06,0.544,1,297.0,517.8,-1.1,0.4,0.42,-0.18,25,25,-1,0.6,-0.5,-0.4,0.1,0.01,-0.06,0.00,0.00,0.00,0.00,0.38,0.31,92,-1,0,-0,0.1,-0.00
3.60,fly,120.29,379.71,0.548,1,297.0,517.8,-1.1,0.4,0.42,-0.18,25,25,-1,0.6,-0.5,-0.6,0.1,0.01,-0.04,0.00,0.00,0.00,0.00,0.34,0.30,92,-1,0,-0,0.1,-0.00
3.70,fly,123.49,376.51,0.552,1,297.1,517.8,-1.1,0.4,0.44,-0.29,25,25,-1,0.6,-0.5,-0.5,0.1,0.01,-0.00,0.00,0.00,0.00,0.00,0.38,0.30,92,-1,0,-0,0.0,-0.00
3.80,fly,126.80,373.20,0.554,1,297.1,517.8,-1.2,0.5,0.44,-0.29,25,25,-1,0.7,-0.5,-0.2,0.0,0.01,0.03,0.00,0.00,0.00,0.00,0.44,0.28,92,-1,0,-0,0.0,-0.00
3.90,fly,131.07,368.93,0.552,1,297.2,517.7,-1.2,0.5,0.46,-0.35,25,25,-1,0.8,-0.5,0.2,0.0,0.01,0.05,0.00,0.00,0.00,0.00,0.51,0.27,92,-1,0,-0,0.0,-0.00
4.00,fly,133.71,366.29,0.550,1,297.2,517.7,-1.3,0.5,0.46,-0.35,25,25,-1,0.8,-0.5,0.7,0.0,0.01,0.07,0.00,0.00,0.00,0.00,0.51,0.27,92,-1,0,-0,0.0,-0.00
4.10,fly,139.16,360.84,0.549,1,297.3,517.7,-1.3,0.6,0.38,-0.24,25,25,-1,0.8,-0.5,1.2,0.0,0.01,0.08,0.00,0.00,0.00,0.00,0.48,0.26,92,-1,0,-0,0.0,-0.00
