t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,fly,68.50,431.50,0.836,1,73.2,363.0,0.0,0.0,0.00,0.00,358,358,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,fly,68.50,431.50,0.920,1,73.2,363.0,0.0,0.0,0.00,0.00,358,358,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.20,fly,68.50,431.50,0.920,1,73.2,363.0,0.0,0.0,0.00,0.00,358,358,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,94,-1,0,0,0.0,-0.00
0.30,fly,68.50,431.50,0.917,1,73.2,363.0,0.0,0.0,0.00,0.00,358,358,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,94,-1,0,0,0.0,-0.00
0.40,fly,68.55,431.45,0.872,1,73.2,363.0,0.0,0.0,0.00,0.00,358,358,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,94,-1,0,-0,0.0,-0.00
0.50,fly,68.72,431.28,0.747,1,73.2,363.0,0.0,0.0,0.00,0.00,358,358,-1,0.0,0.0,-0.1,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,94,-1,0,-0,0.0,-0.00
0.60,fly,69.24,430.76,0.408,1,73.2,363.0,0.0,0.0,0.00,0.00,358,358,-1,0.0,0.0,-0.1,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,94,-1,0,-0,0.0,-0.00
0.70,fly,69.72,430.28,0.435,1,73.2,363.0,0.0,0.0,0.01,-0.02,358,358,-1,0.0,0.0,-0.2,0.2,0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,94,-1,0,-0,0.0,-0.00
0.80,fly,70.47,429.53,0.171,1,73.2,363.0,-0.0,0.0,0.01,-0.02,358,358,-1,0.0,-0.0,-0.3,0.3,0.02,-0.02,0.00,0.00,0.00,0.00,0.02,0.01,94,-1,0,-0,-0.0,-0.00
0.90,fly,71.29,428.71,0.101,1,73.2,363.0,-0.0,0.0,0.03,-0.02,358,358,-1,0.0,-0.0,-0.4,0.4,0.02,-0.02,0.00,0.00,0.00,0.00,0.02,0.01,94,-1,0,-0,-0.0,-0.00
1.00,fly,72.48,427.52,0.000,1,73.2,363.0,-0.0,0.0,0.03,-0.02,358,358,-1,0.0,-0.0,-0.5,0.6,0.02,-0.02,0.00,0.00,0.00,0.00,0.02,0.03,94,-1,1,-0,-0.0,0.00
1.10,fly,72.99,427.01,0.404,1,73.2,363.0,-0.0,0.0,0.04,-0.04,358,358,-1,0.0,-0.0,-0.6,0.7,0.03,-0.02,0.00,0.00,0.00,0.00,0.02,0.03,94,-1,0,-0,-0.0,0.00
1.20,fly,73.76,426.24,0.148,1,73.2,363.0,-0.0,0.0,0.04,-0.04,358,358,-1,0.0,-0.0,-0.7,0.8,0.03,-0.02,0.00,0.00,0.00,0.00,0.04,0.04,94,-1,0,-0,-0.0,0.00
1.30,fly,74.25,425.75,0.439,1,73.2,363.0,-0.0,0.0,0.06,-0.07,358,358,-1,0.0,-0.0,-0.8,0.9,0.02,-0.02,0.00,0.00,0.00,0.00,0.04,0.04,94,-1,0,-0,-0.0,0.00
1.40,fly,74.70,425.30,0.462,1,73.2,363.0,-0.0,0.0,0.06,-0.07,358,358,-1,0.1,-0.1,-0.8,0.9,0.02,-0.01,0.00,0.00,0.00,0.00,0.06,0.07,94,-1,0,-0,-0.0,0.00
1.50,fly,75.35,424.65,0.277,1,73.2,362.9,-0.0,0.0,0.10,-0.09,358,358,-1,0.1,-0.1,-0.9,1.0,0.02,-0.02,0.00,0.00,0.00,0.00,0.06,0.07,94,-1,0,-0,-0.0,0.00
1.60,fly,76.07,423.93,0.201,1,73.2,362.9,-0.0,0.0,0.10,-0.09,358,358,-1,0.1,-0.1,-0.9,1.0,0.01,-0.01,0.00,0.00,0.00,0.00,0.08,0.10,94,-1,0,-0,-0.0,0.00
