t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat
0.00,fly,68.50,11.50,0.621,1,188.8,74.0,0.0,0.0,0.00,0.00,194,194,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0
0.10,fly,68.50,11.50,0.632,1,188.8,74.0,0.0,0.0,0.00,0.00,194,194,-1,0.0,0.0,-0.0,-0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0
0.20,fly,68.50,11.50,0.644,1,188.8,74.0,0.0,0.0,0.00,0.00,194,194,-1,0.0,0.0,-0.0,-0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98,-1,0
0.30,fly,68.50,11.50,0.654,1,188.8,74.0,0.0,0.0,0.00,-0.00,194,194,-1,-0.0,-0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,98,-1,0
0.40,fly,68.51,11.49,0.660,1,188.8,74.0,0.0,0.0,0.01,0.02,194,194,-1,-0.0,-0.0,0.0,0.0,0.00,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,98,-1,0
0.50,fly,68.56,11.44,0.625,1,188.8,74.0,-0.0,-0.0,0.01,0.02,194,194,-1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,-0.02,98,-1,0
0.60,fly,68.71,11.29,0.534,1,188.8,74.0,-0.0,-0.0,0.01,0.02,194,194,-1,0.0,0.0,0.1,0.1,0.01,0.00,0.00,0.00,0.00,0.00,0.02,-0.02,98,-1,0
0.70,fly,69.00,11.00,0.391,1,188.8,74.0,-0.0,-0.0,0.01,0.02,194,194,-1,0.0,0.0,0.1,0.1,0.01,-0.00,0.00,0.00,0.00,0.00,0.02,-0.02,98,-1,0
0.80,fly,69.42,10.58,0.262,1,188.8,74.0,-0.0,-0.0,0.01,0.02,194,194,-1,0.0,0.0,0.0,0.1,-0.00,-0.01,0.00,0.00,0.00,0.00,0.02,-0.02,98,-1,0
0.90,fly,69.91,10.09,0.196,1,188.8,74.0,-0.0,-0.0,0.02,0.02,194,194,-1,0.0,0.0,-0.0,0.0,-0.01,-0.01,0.00,0.00,0.00,0.00,0.02,-0.02,98,-1,0
1.00,fly,70.39,9.61,0.195,1,188.8,74.0,-0.0,-0.0,0.02,0.02,194,194,-1,0.0,0.0,-0.1,-0.0,-0.01,-0.01,0.00,0.00,0.00,0.00,0.02,-0.02,98,-1,0
1.10,fly,70.82,9.18,0.231,1,188.8,74.0,-0.0,-0.0,0.02,0.02,194,194,-1,0.0,0.0,-0.1,-0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.02,-0.03,98,-1,0
1.20,fly,71.30,8.70,0.189,1,188.8,74.0,-0.0,-0.0,0.01,0.02,194,194,-1,0.0,0.0,-0.1,0.0,0.01,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,98,-1,0
