t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat
0.00,fly,68.50,11.50,0.621,1,80.8,-25.9,0.0,0.0,0.00,0.00,246,246,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0
0.10,fly,68.50,11.50,0.632,1,80.8,-25.9,0.0,0.0,0.00,0.00,246,246,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0
0.20,fly,68.50,11.50,0.643,1,80.8,-25.9,0.0,0.0,0.00,0.00,246,246,-1,-0.0,-0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97,-1,0
0.30,fly,68.50,11.50,0.654,1,80.8,-25.9,0.0,0.0,0.01,-0.01,246,246,-1,-0.0,-0.0,-0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.01,97,-1,0
0.40,fly,68.51,11.49,0.654,1,80.8,-25.9,0.0,0.0,0.00,-0.01,246,246,-1,-0.0,-0.0,-0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.01,0.01,97,-1,0
0.50,fly,68.58,11.42,0.610,1,80.8,-25.9,-0.0,0.0,0.00,-0.01,246,246,-1,-0.0,-0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,97,-1,0
0.60,fly,68.75,11.25,0.507,1,80.8,-25.9,-0.0,0.0,0.00,-0.00,246,246,-1,-0.0,-0.0,-0.1,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,-0.00,0.00,97,-1,0
0.70,fly,69.09,10.91,0.348,1,80.8,-25.9,-0.0,0.0,0.01,0.00,246,246,-1,-0.0,-0.0,-0.1,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,-0.00,0.00,97,-1,0
0.80,fly,69.55,10.45,0.214,1,80.8,-25.9,-0.0,0.0,0.01,0.00,246,246,-1,-0.0,0.0,-0.2,0.2,0.01,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.00,97,-1,0
0.90,fly,70.22,9.78,0.002,1,80.8,-25.9,-0.0,0.0,0.01,0.01,246,246,-1,-0.0,0.0,-0.3,0.3,0.02,-0.01,0.00,0.00,0.00,0.00,-0.00,-0.01,97,-1,1
1.00,fly,70.60,9.40,0.286,1,80.8,-25.9,-0.0,0.0,0.01,0.02,246,246,-1,-0.0,0.0,-0.3,0.4,0.02,-0.02,0.00,0.00,0.00,0.00,-0.00,-0.01,97,-1,0
1.10,fly,71.07,8.93,0.198,1,80.8,-25.9,-0.0,0.0,0.01,0.02,246,246,-1,-0.0,0.0,-0.4,0.4,0.02,-0.02,0.00,0.00,0.00,0.00,-0.00,-0.02,97,-1,0
1.20,fly,71.52,8.48,0.202,1,80.8,-25.9,-0.0,-0.0,0.01,0.02,246,246,-1,-0.0,0.0,-0.5,0.5,0.02,-0.02,0.00,0.00,0.00,0.00,0.00,-0.03,97,-1,0
1.30,fly,71.95,8.05,0.223,1,80.8,-25.9,-0.0,-0.0,0.02,0.04,246,246,-1,-0.0,0.0,-0.5,0.6,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,-0.03,97,-1,0
1.40,fly,72.34,7.66,0.254,1,80.8,-25.9,-0.0,-0.0,0.02,0.04,246,246,-1,0.0,0.0,-0.5,0.5,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,97,-1,0
