t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,131.50,1.000,1,1029.0,-8.9,-1029.0,1008.9,0.00,0.00,79,79,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,0,-0.0,0.00
0.10,climb,68.50,131.50,1.000,1,1029.0,-8.9,-1029.0,1008.9,0.00,0.00,79,79,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-0,0.0,-0.00
0.20,climb,68.50,131.50,1.000,1,1029.0,-8.9,-1029.0,1008.9,0.00,0.00,79,79,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,91,-1,1,0,0.0,0.00
0.30,climb,68.51,131.49,1.000,1,1029.0,-8.9,-1029.0,1008.9,0.00,0.00,79,79,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,91,-1,1,-0,0.0,-0.00
0.40,climb,68.58,131.42,1.000,1,1029.0,-8.9,-1029.0,1008.9,0.00,0.00,79,79,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,91,-1,1,-0,0.0,-0.00
0.50,climb,68.79,131.21,1.000,1,1029.0,-8.9,-1029.0,1008.9,0.00,-0.00,79,79,-1,0.0,0.0,-0.2,-0.0,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,-0.00,91,-1,1,-0,0.0,-0.00
0.60,climb,69.39,130.61,1.000,1,1029.0,-8.9,-1029.0,1008.9,0.00,-0.00,79,79,-1,0.0,0.0,-0.3,-0.0,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,-0.00,91,-1,1,-0,0.0,-0.00
0.70,climb,70.48,129.52,1.000,1,1029.0,-8.9,-1029.0,1008.9,0.09,-0.01,79,79,-1,0.0,0.0,-0.4,0.0,0.01,-0.03,0.00,0.00,0.00,0.00,0.00,-0.01,91,-1,1,-0,0.0,-0.00
0.80,climb,71.06,128.94,1.000,1,1029.0,-8.9,-1029.0,1008.9,0.09,-0.01,79,79,-1,0.0,0.0,-0.5,0.1,0.01,-0.02,0.00,0.00,0.00,0.00,0.09,0.01,91,-1,1,-0,0.0,-0.00
0.90,climb,72.47,127.53,1.000,1,1029.1,-8.9,-1029.1,1008.9,0.09,-0.01,79,79,-1,0.0,0.0,-0.6,0.1,0.00,-0.02,0.00,0.00,0.00,0.00,0.09,0.00,91,-1,1,-0,-0.0,0.00
1.00,climb,74.67,125.33,1.000,1,1029.1,-8.9,-1029.1,1008.9,0.13,-0.01,79,79,-1,0.0,0.0,-0.6,0.0,-0.01,-0.01,0.00,0.00,0.00,0.00,0.13,0.01,91,-1,1,-0,-0.0,0.00
