t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,431.50,0.398,1,681.7,-131.5,318.3,1131.5,0.00,0.00,143,143,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,431.50,0.663,1,681.7,-131.5,318.3,1131.5,0.00,0.00,143,143,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,0.00
0.20,climb,68.50,431.50,0.938,1,681.7,-131.5,318.3,1131.5,0.00,0.00,143,143,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,90,-1,0,-0,0.0,0.00
0.30,climb,68.50,431.50,1.000,1,681.7,-131.5,318.3,1131.5,0.00,0.00,143,143,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,90,-1,1,0,0.0,0.00
0.40,climb,68.55,431.45,1.000,1,681.7,-131.5,318.3,1131.5,0.00,0.00,143,143,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,90,-1,1,0,0.0,0.00
0.50,climb,68.75,431.25,1.000,1,681.7,-131.5,318.3,1131.5,0.00,0.00,143,143,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,90,-1,1,0,-0.0,0.00
0.60,climb,69.51,430.49,1.000,1,681.7,-131.5,318.3,1131.5,0.00,0.00,143,143,-1,0.0,0.0,0.0,-0.0,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,90,-1,1,0,-0.0,0.00
0.70,climb,70.42,429.58,1.000,1,681.7,-131.5,318.3,1131.5,0.00,-0.01,143,143,-1,0.0,0.0,0.1,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,90,-1,1,0,-0.0,0.00
0.80,climb,71.00,429.00,1.000,1,681.7,-131.5,318.3,1131.5,0.00,-0.01,143,143,-1,0.0,0.0,0.2,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,-0.00,-0.00,90,-1,1,0,-0.0,0.00
0.90,climb,73.20,426.80,1.000,1,681.7,-131.5,318.3,1131.5,0.00,-0.04,143,143,-1,0.0,0.0,0.2,-0.1,-0.00,0.01,0.00,0.00,0.00,0.00,-0.01,-0.01,90,-1,1,0,0.0,0.00
1.00,climb,75.06,424.94,1.000,1,681.7,-131.6,318.3,1131.5,0.00,-0.05,143,143,-1,0.0,0.0,0.2,-0.1,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.02,90,-1,1,0,0.0,0.00
1.10,climb,76.11,423.89,1.000,1,681.7,-131.6,318.3,1131.6,0.00,-0.05,143,143,-1,0.0,0.0,0.1,-0.0,0.01,-0.01,0.00,0.00,0.00,0.00,-0.04,-0.03,90,-1,1,0,0.0,-0.00
1.20,climb,78.44,421.56,1.000,1,681.7,-131.6,318.3,1131.6,0.00,-0.07,143,143,-1,0.0,0.0,0.0,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,-0.05,-0.04,90,-1,1,0,0.0,-0.00
1.30,climb,82.51,417.49,1.000,1,681.7,-131.6,318.3,1131.6,0.00,-0.05,143,143,-1,0.0,0.0,-0.2,0.1,0.01,-0.03,0.00,0.00,0.00,0.00,-0.05,-0.04,90,-1,1,0,0.0,-0.00
1.40,climb,85.59,414.41,1.000,1,681.7,-131.6,318.3,1131.6,0.00,-0.02,143,143,-1,0.0,0.0,-0.4,0.2,0.02,-0.04,0.00,0.00,0.00,0.00,-0.04,-0.03,90,-1,1,0,0.0,-0.00
1.50,climb,87.25,412.75,1.000,1,681.7,-131.6,318.3,1131.6,0.00,-0.02,143,143,-1,0.0,0.0,-0.7,0.3,0.03,-0.05,0.00,0.00,0.00,0.00,-0.01,-0.01,90,-1,1,0,0.0,-0.00
1.60,climb,90.77,409.23,1.000,1,681.7,-131.6,318.3,1131.6,0.02,0.05,143,143,-1,0.0,0.0,-0.9,0.5,0.03,-0.05,0.00,0.00,0.00,0.00,0.06,0.02,90,-1,1,0,0.0,-0.00
1.70,climb,96.60,403.40,1.000,1,681.8,-131.5,318.3,1131.6,0.13,0.40,143,143,-1,0.0,0.0,-1.0,0.8,0.04,-0.03,0.00,0.00,0.00,0.00,0.20,0.07,90,-1,1,0,0.0,-0.00
1.80,climb,98.68,401.32,1.000,1,681.8,-131.5,318.2,1131.5,0.13,0.40,143,143,-1,0.0,0.0,-0.9,1.0,0.05,0.01,0.00,0.00,0.00,0.00,0.40,0.14,90,-1,1,0,0.0,-0.00
1.90,climb,105.35,394.65,1.000,1,681.8,-131.4,318.2,1131.5,0.02,0.87,143,143,-1,0.0,0.0,-0.6,1.1,0.03,0.04,0.00,0.00,0.00,0.00,0.58,0.31,90,-1,1,0,-0.0,-0.00
2.00,climb,110.15,389.85,1.000,1,681.8,-131.3,318.2,1131.4,-0.11,1.03,143,143,-1,0.0,0.0,-0.2,1.0,-0.01,0.05,0.00,0.00,0.00,0.00,0.71,0.51,90,-1,1,-0,-0.1,0.00
2.10,climb,115.23,384.77,1.000,1,681.8,-131.3,318.2,1131.3,-0.11,1.03,143,143,-1,0.0,0.0,0.1,0.5,-0.06,0.05,0.00,0.00,0.00,0.00,0.75,0.71,90,-1,1,-0,-0.1,0.00
2.20,climb,117.88,382.12,1.000,1,681.7,-131.2,318.3,1131.2,-0.24,1.05,143,143,-1,0.0,0.0,0.2,-0.0,-0.08,0.02,0.00,0.00,0.00,0.00,0.69,0.83,90,-1,1,-0,-0.2,0.00
2.30,climb,123.39,376.61,1.000,1,681.7,-131.0,318.3,1131.1,-0.35,0.78,143,143,-1,0.0,0.0,0.0,-0.5,-0.08,-0.03,0.00,0.00,0.00,0.00,0.54,0.86,90,-1,1,-0,-0.2,0.01
2.40,climb,132.18,367.82,1.000,1,681.7,-130.9,318.3,1131.0,-0.20,0.62,143,143,-1,0.0,0.0,-0.5,-0.8,-0.05,-0.08,0.00,0.00,0.00,0.00,0.41,0.75,90,-1,1,0,-0.2,0.01
2.50,climb,135.25,364.75,1.000,1,681.6,-130.9,318.3,1130.9,0.00,0.52,143,143,-1,0.0,0.0,-1.1,-0.8,-0.01,-0.11,0.00,0.00,0.00,0.00,0.37,0.53,90,-1,1,0,-0.2,0.01
2.60,climb,141.58,358.42,1.000,1,681.6,-130.9,318.4,1130.9,0.00,0.52,143,143,-1,0.0,0.0,-1.7,-0.5,0.04,-0.11,0.00,0.00,0.00,0.00,0.41,0.32,90,-1,1,0,-0.2,0.01
2.70,climb,151.57,348.43,0.818,1,681.7,-130.7,318.3,1130.8,0.57,0.79,143,143,-1,0.0,0.0,-2.2,0.1,0.10,-0.09,0.00,0.00,0.00,0.00,0.62,0.11,90,-1,0,0,-0.2,0.01
2.80,climb,155.03,344.97,0.682,1,681.7,-130.7,318.3,1130.7,0.57,0.79,143,143,-1,0.0,0.0,-2.2,0.8,0.11,-0.02,0.00,0.00,0.00,0.00,0.98,0.03,90,-1,0,0,-0.2,0.01
2.90,climb,163.87,336.13,0.527,1,681.9,-130.5,318.2,1130.6,0.77,1.46,143,143,-1,0.0,0.0,-1.7,1.4,0.10,0.05,0.00,0.00,0.00,0.00,1.35,0.12,90,-1,0,0,-0.3,0.01
3.00,climb,169.26,330.74,0.422,1,681.9,-130.3,318.1,1130.5,0.66,1.69,143,143,-1,0.0,0.0,-1.0,1.7,0.07,0.09,0.00,0.00,0.00,0.00,1.63,0.28,90,-1,0,0,-0.3,0.01
3.10,climb,180.15,319.85,0.317,1,682.0,-130.2,318.1,1130.3,0.51,1.79,143,143,-1,0.0,0.0,-0.3,1.7,0.02,0.11,0.00,0.00,0.00,0.00,1.74,0.50,90,-1,0,0,-0.0,0.01
3.20,climb,183.78,316.22,0.281,1,682.0,-130.0,318.0,1130.2,0.33,1.80,143,143,-1,0.0,0.0,0.5,1.5,-0.01,0.12,0.00,0.00,0.00,0.00,1.72,0.68,90,-1,0,0,0.0,0.00
3.30,climb,192.81,307.19,0.237,1,682.0,-130.0,318.0,1130.0,0.33,1.80,143,143,-1,0.0,0.0,1.1,1.2,-0.03,0.10,0.00,0.00,0.00,0.00,1.63,0.83,90,-1,0,0,0.0,-0.00
3.40,climb,198.18,301.82,0.231,1,682.0,-129.8,318.0,1129.8,0.15,1.72,143,143,-1,0.0,0.0,1.6,1.0,-0.03,0.08,0.00,0.00,0.00,0.00,1.46,0.93,90,-1,0,0,-0.0,0.00
3.50,climb,208.77,291.23,0.204,1,682.0,-129.5,317.9,1129.6,-0.09,1.47,143,143,-1,0.0,0.0,1.9,0.7,-0.03,0.07,0.00,0.00,0.00,0.00,1.29,0.96,90,-1,0,0,-0.2,0.00
3.60,climb,215.72,284.28,0.201,1,682.0,-129.4,318.0,1129.5,-0.20,1.32,143,142,-1,0.0,0.0,2.3,0.5,-0.02,0.08,0.00,0.00,0.00,0.00,1.11,0.96,90,-1,0,0,-0.2,0.01
3.70,climb,219.16,280.84,0.224,1,682.0,-129.2,318.0,1129.4,-0.29,1.19,143,142,-1,0.0,0.0,2.7,0.3,-0.03,0.08,0.00,0.00,0.00,0.00,0.93,0.96,90,-1,0,0,-0.2,0.01
3.80,climb,225.95,274.05,0.232,1,682.0,-129.2,318.0,1129.2,-0.29,1.19,143,142,-1,0.0,0.0,3.0,0.1,-0.03,0.07,0.00,0.00,0.00,0.00,0.77,0.95,90,-1,0,0,-0.2,0.01
3.90,climb,234.30,265.70,0.228,1,681.9,-129.0,318.0,1129.1,-0.46,0.87,142,142,-1,0.0,0.0,3.2,-0.2,-0.03,0.07,0.00,0.00,0.00,0.00,0.59,0.93,90,-1,0,0,-0.3,0.01
4.00,climb,242.52,257.48,0.219,1,681.9,-129.0,318.1,1129.0,-0.53,0.69,142,142,-1,0.0,0.0,3.6,-0.4,-0.04,0.09,0.00,0.00,0.00,0.00,0.41,0.89,90,-1,0,0,-0.2,0.01
4.10,climb,248.99,251.01,0.217,1,681.9,-129.0,318.1,1129.0,-0.53,0.69,142,142,-1,0.0,0.0,4.0,-0.6,-0.04,0.11,0.00,0.00,0.00,0.00,0.23,0.84,90,-1,0,0,-0.2,0.01
4.20,climb,252.19,247.81,0.238,1,681.8,-128.9,318.2,1128.9,-0.59,0.51,142,142,-1,0.0,0.0,4.5,-0.8,-0.04,0.12,0.00,0.00,0.00,0.00,0.04,0.78,90,-1,0,0,0.1,-0.00
4.30,climb,261.65,238.35,0.219,1,681.7,-128.9,318.2,1128.9,-0.73,0.09,142,142,-1,0.0,0.0,5.1,-1.0,-0.03,0.13,0.00,0.00,0.00,0.00,-0.15,0.71,90,-1,0,0,0.3,-0.01
4.40,climb,264.76,235.24,0.240,1,681.6,-128.9,318.3,1128.9,-0.81,-0.14,142,142,-1,0.0,0.0,5.6,-1.0,-0.01,0.13,0.00,0.00,0.00,0.00,-0.37,0.63,90,-1,0,0,0.3,-0.01
4.50,climb,272.44,227.56,0.231,1,681.6,-128.9,318.4,1128.9,-0.81,-0.14,142,142,-1,0.0,0.0,6.0,-1.0,-0.00,0.12,0.00,0.00,0.00,0.00,-0.61,0.56,90,-1,0,0,0.3,-0.01
4.60,climb,278.51,221.49,0.230,1,681.5,-128.9,318.5,1128.9,-0.90,-0.37,142,142,-1,0.0,0.0,6.2,-1.0,-0.01,0.11,0.00,0.00,0.00,0.00,-0.85,0.48,90,-1,0,0,0.3,-0.01
4.70,climb,285.97,214.03,0.213,1,681.3,-129.0,318.6,1129.0,-1.10,-0.86,142,142,-1,0.0,0.0,6.4,-0.9,-0.00,0.10,0.00,0.00,0.00,0.00,-1.12,0.41,90,-1,0,0,0.1,-0.00
4.80,climb,291.85,208.15,0.211,1,681.2,-129.1,318.7,1129.0,-1.21,-1.07,142,142,-1,0.0,0.0,6.7,-0.8,0.00,0.10,0.00,0.00,0.00,0.00,-1.35,0.34,90,-1,0,0,-0.0,-0.00
4.90,climb,294.76,205.24,0.231,1,681.2,-129.1,318.8,1129.1,-1.21,-1.07,142,142,-1,0.0,0.0,6.8,-0.8,-0.00,0.10,0.00,0.00,0.00,0.00,-1.59,0.30,90,-1,0,0,-0.0,0.00
5.00,climb,303.34,196.66,0.213,1,680.9,-129.4,318.9,1129.3,-1.41,-1.44,142,142,-1,0.0,0.0,6.8,-0.8,-0.01,0.08,0.00,0.00,0.00,0.00,-1.79,0.25,90,-1,0,0,-0.3,0.00
5.10,climb,308.97,191.03,0.212,1,680.8,-129.6,319.1,1129.4,-1.49,-1.61,142,142,-1,0.0,0.0,6.7,-0.9,-0.01,0.06,0.00,0.00,0.00,0.00,-2.00,0.23,90,-1,0,0,-0.3,0.01
5.20,climb,314.52,185.48,0.208,1,680.6,-129.7,319.2,1129.6,-1.56,-1.74,142,142,-1,0.0,0.0,6.5,-0.9,-0.01,0.04,0.00,0.00,0.00,0.00,-2.19,0.19,90,-1,0,0,-0.3,0.01
5.30,climb,318.63,181.37,0.218,1,680.6,-129.7,319.4,1129.7,-1.56,-1.74,142,142,-1,0.0,0.0,6.1,-0.9,-0.02,0.00,0.00,0.00,0.00,0.00,-2.33,0.17,90,-1,0,0,-0.3,0.01
5.40,climb,322.70,177.30,0.225,1,680.5,-129.9,319.5,1129.9,-1.63,-1.85,142,142,-1,0.0,0.0,5.5,-0.9,-0.01,-0.03,0.00,0.00,0.00,0.00,-2.46,0.15,90,-1,0,0,-0.4,0.01
5.50,climb,330.73,169.27,0.195,1,680.1,-130.3,319.7,1130.1,-1.69,-2.01,142,142,-1,0.0,0.0,4.7,-0.9,0.00,-0.06,0.00,0.00,0.00,0.00,-2.55,0.13,90,-1,0,0,-0.4,0.02
5.60,climb,336.00,164.00,0.183,1,680.0,-130.5,319.9,1130.3,-1.71,-2.06,142,142,-1,0.0,0.0,3.9,-0.8,0.00,-0.07,0.00,0.00,0.00,0.00,-2.63,0.10,90,-1,0,0,-0.3,0.01
5.70,climb,338.61,161.39,0.194,1,680.0,-130.5,320.0,1130.5,-1.71,-2.06,142,142,-1,0.0,0.0,3.2,-0.7,0.00,-0.07,0.00,0.00,0.00,0.00,-2.68,0.09,90,-1,0,0,-0.3,0.01
5.80,climb,346.30,153.70,0.167,1,679.8,-130.7,320.2,1130.7,-1.71,-2.08,142,142,-1,0.0,0.0,2.6,-0.6,0.01,-0.04,0.00,0.00,0.00,0.00,-2.69,0.08,90,-1,0,0,-0.2,0.01
5.90,climb,351.33,148.67,0.161,1,679.4,-131.1,320.4,1130.9,-1.67,-2.08,142,142,-1,0.0,0.0,2.3,-0.5,0.01,-0.01,0.00,0.00,0.00,0.00,-2.70,0.08,90,-1,0,0,-0.1,0.01
6.00,climb,355.04,144.96,0.167,1,679.4,-131.1,320.6,1131.1,-1.67,-2.08,142,142,-1,0.0,0.0,2.1,-0.4,0.01,0.00,0.00,0.00,0.00,0.00,-2.66,0.05,90,-1,0,0,-0.1,0.01
6.10,climb,358.70,141.30,0.179,1,679.3,-131.3,320.7,1131.3,-1.67,-2.07,142,142,-1,0.0,0.0,2.0,-0.3,0.01,0.01,0.00,0.00,0.00,0.00,-2.66,0.05,90,-1,0,0,-0.1,0.01
6.20,climb,363.50,136.50,0.181,1,679.1,-131.5,320.9,1131.5,-1.67,-2.06,142,142,-1,0.0,0.0,1.8,-0.2,0.01,0.01,0.00,0.00,0.00,0.00,-2.65,0.06,90,-1,0,0,-0.1,0.01
6.30,climb,370.53,129.47,0.161,1,678.8,-131.9,321.1,1131.7,-1.63,-2.04,142,142,-1,0.0,0.0,1.7,-0.1,0.02,0.01,0.00,0.00,0.00,0.00,-2.65,0.06,90,-1,0,0,-0.1,0.01
6.40,climb,375.10,124.90,0.162,1,678.6,-132.2,321.2,1131.9,-1.63,-2.04,142,142,-1,0.0,0.0,1.6,-0.0,0.02,0.01,0.00,0.00,0.00,0.00,-2.61,0.03,90,-1,0,0,-0.1,0.01
6.50,climb,377.36,122.64,0.183,1,678.6,-132.2,321.4,1132.2,-1.63,-2.04,142,142,-1,0.0,0.0,1.4,0.1,0.02,0.01,0.00,0.00,0.00,0.00,-2.61,0.03,90,-1,0,0,-0.1,0.01
6.60,climb,381.81,118.19,0.184,1,678.5,-132.4,321.5,1132.4,-1.63,-2.03,142,142,-1,0.0,0.0,1.3,0.2,0.02,0.01,0.00,0.00,0.00,0.00,-2.60,0.04,90,-1,0,0,-0.1,0.01
6.70,climb,388.31,111.69,0.163,1,678.1,-132.8,321.7,1132.6,-1.63,-2.01,142,142,-1,0.0,0.0,1.2,0.4,0.02,0.01,0.00,0.00,0.00,0.00,-2.59,0.05,90,-1,0,0,-0.1,0.01
6.80,climb,392.54,107.46,0.163,1,678.0,-133.0,321.9,1132.8,-1.63,-2.00,142,142,-1,0.0,0.0,1.1,0.5,0.03,0.00,0.00,0.00,0.00,0.00,-2.59,0.05,90,-1,0,0,-0.1,0.01
6.90,climb,396.69,103.31,0.162,1,678.0,-133.0,322.0,1133.0,-1.63,-2.00,142,142,-1,0.0,0.0,0.9,0.6,0.03,0.00,0.00,0.00,0.00,0.00,-2.58,0.06,90,-1,0,0,-0.1,0.01
7.00,climb,400.75,99.25,0.161,1,677.6,-133.4,322.2,1133.2,-1.63,-1.97,142,142,-1,0.0,0.0,0.8,0.8,0.03,0.00,0.00,0.00,0.00,0.00,-2.57,0.07,90,-1,0,0,-0.1,0.01
7.10,climb,403.75,96.25,0.170,1,677.6,-133.4,322.4,1133.4,-1.63,-1.97,142,142,-1,0.0,0.0,0.7,0.9,0.03,-0.00,0.00,0.00,0.00,0.00,-2.55,0.08,90,-1,0,0,-0.1,0.01
7.20,climb,407.66,92.34,0.169,1,677.5,-133.6,322.5,1133.6,-1.63,-1.96,142,142,-1,0.0,0.0,0.5,1.1,0.03,-0.00,0.00,0.00,0.00,0.00,-2.54,0.09,90,-1,0,0,-0.1,0.01
7.30,climb,412.45,87.55,0.157,1,677.2,-133.9,322.7,1133.7,-1.63,-1.91,142,142,-1,0.0,0.0,0.4,1.3,0.04,-0.01,0.00,0.00,0.00,0.00,-2.52,0.10,90,-1,0,0,0.0,0.00
7.40,climb,416.18,83.82,0.154,1,677.2,-133.9,322.8,1133.9,-1.63,-1.91,142,142,-1,0.0,0.0,0.3,1.4,0.04,-0.01,0.00,0.00,0.00,0.00,-2.51,0.11,90,-1,0,0,0.0,0.00
7.50,climb,419.84,80.16,0.152,1,676.8,-134.3,323.0,1134.1,-1.63,-1.85,142,142,-1,0.0,0.0,0.1,1.5,0.03,-0.01,0.00,0.00,0.00,0.00,-2.49,0.13,90,-1,0,0,0.3,-0.00
7.60,climb,423.42,76.58,0.149,1,676.7,-134.5,323.2,1134.3,-1.63,-1.81,142,142,-1,0.0,0.0,-0.1,1.6,0.03,-0.01,0.00,0.00,0.00,0.00,-2.46,0.15,90,-1,0,0,0.4,-0.01
7.70,climb,426.05,73.95,0.155,1,676.7,-134.5,323.3,1134.5,-1.63,-1.81,142,142,-1,0.0,0.0,-0.2,1.7,0.03,-0.01,0.00,0.00,0.00,0.00,-2.43,0.17,90,-1,0,0,0.4,-0.01
7.80,climb,428.64,71.36,0.162,1,676.5,-134.7,323.5,1134.7,-1.67,-1.77,142,142,-1,0.0,0.0,-0.4,1.7,0.02,-0.02,0.00,0.00,0.00,0.00,-2.43,0.23,90,-1,0,0,0.3,-0.01
7.90,climb,433.68,66.32,0.138,1,676.2,-135.0,323.7,1134.8,-1.67,-1.71,142,142,-1,0.0,0.0,-0.6,1.7,0.02,-0.02,0.00,0.00,0.00,0.00,-2.40,0.25,90,-1,0,0,0.2,-0.00
8.00,climb,435.32,64.68,0.154,1,676.2,-135.0,323.8,1135.0,-1.67,-1.71,142,142,-1,0.0,0.0,-0.7,1.7,0.02,-0.02,0.00,0.00,0.00,0.00,-2.37,0.27,90,-1,0,0,0.2,-0.00
8.10,climb,440.13,59.87,0.077,1,675.8,-135.4,324.0,1135.2,-1.67,-1.64,142,142,-1,0.0,0.0,-0.8,1.7,0.01,-0.01,0.00,0.00,0.00,0.00,-2.34,0.30,90,-1,0,0,0.2,-0.00
8.20,climb,441.69,58.31,0.073,1,675.8,-135.4,324.2,1135.4,-1.67,-1.64,142,142,-1,0.0,0.0,-0.9,1.6,0.00,-0.01,0.00,0.00,0.00,0.00,-2.32,0.32,90,-1,0,0,0.2,-0.00
