t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,95.5,-2.9,1014.5,112.9,0.00,0.00,290,290,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.10,climb,68.50,231.50,0.662,1,95.5,-2.9,1014.5,112.9,0.00,0.00,290,290,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,0.00
0.20,climb,68.50,231.50,0.938,1,95.5,-2.9,1014.5,112.9,0.00,0.00,290,290,-1,0.0,0.0,0.0,-0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,0,0,0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,95.5,-2.9,1014.5,112.9,0.00,-0.00,290,290,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,1,0,0.0,0.00
0.40,climb,68.55,231.45,1.000,1,95.5,-2.9,1014.5,112.9,0.00,-0.00,290,290,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,1,0,-0.0,-0.00
0.50,climb,68.75,231.25,1.000,1,95.5,-2.9,1014.5,112.9,0.00,-0.00,290,290,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,1,0,0.0,0.00
0.60,climb,69.18,230.82,1.000,1,95.5,-2.9,1014.5,112.9,0.00,-0.00,290,290,-1,0.0,0.0,0.0,-0.0,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,1,0,0.0,0.00
0.70,climb,70.17,229.83,1.000,1,95.5,-2.9,1014.5,112.9,0.00,0.00,290,290,-1,0.0,0.0,0.1,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,1,0,0.0,0.00
0.80,climb,71.00,229.00,1.000,1,95.5,-2.9,1014.5,112.9,0.00,0.00,290,290,-1,0.0,0.0,0.2,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,-0.00,-0.00,87,-1,1,0,0.0,0.00
0.90,climb,73.20,226.80,1.000,1,95.5,-2.9,1014.5,112.9,0.02,0.03,290,290,-1,0.0,0.0,0.2,-0.1,-0.00,0.01,0.00,0.00,0.00,0.00,-0.02,-0.01,87,-1,1,0,0.0,0.00
1.00,climb,75.06,224.94,1.000,1,95.5,-2.9,1014.5,112.9,0.03,0.04,290,290,-1,0.0,0.0,0.2,-0.1,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.02,87,-1,1,0,0.0,0.00
1.10,climb,76.66,223.34,1.000,1,95.5,-2.9,1014.5,112.9,0.03,0.04,290,290,-1,0.0,0.0,0.1,-0.0,0.01,-0.01,0.00,0.00,0.00,0.00,-0.04,-0.03,87,-1,1,0,0.0,-0.00
1.20,climb,78.44,221.56,1.000,1,95.5,-2.9,1014.5,112.9,0.04,0.05,290,290,-1,0.0,0.0,0.0,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,-0.05,-0.04,87,-1,1,0,0.0,-0.00
1.30,climb,82.51,217.49,1.000,1,95.5,-2.9,1014.5,112.9,0.03,0.04,290,290,-1,0.0,0.0,-0.2,0.1,0.01,-0.03,0.00,0.00,0.00,0.00,-0.06,-0.03,87,-1,1,0,0.0,-0.00
1.40,climb,85.59,214.41,1.000,1,95.5,-2.9,1014.5,112.9,0.01,0.01,290,290,-1,0.0,0.0,-0.4,0.2,0.02,-0.04,0.00,0.00,0.00,0.00,-0.04,-0.03,87,-1,1,0,0.0,-0.00
1.50,climb,88.10,211.90,1.000,1,95.5,-2.9,1014.5,112.9,0.01,0.01,290,290,-1,0.0,0.0,-0.7,0.3,0.03,-0.05,0.00,0.00,0.00,0.00,-0.01,-0.01,87,-1,1,0,0.0,-0.00
1.60,climb,90.77,209.23,1.000,1,95.5,-2.9,1014.5,112.9,-0.16,-0.13,290,290,-1,0.0,0.0,-0.9,0.5,0.03,-0.05,0.00,0.00,0.00,0.00,0.06,0.02,87,-1,1,0,0.0,-0.00
1.70,climb,95.58,204.42,1.000,1,95.5,-2.9,1014.5,112.9,-0.32,-0.27,290,290,-1,0.0,0.0,-1.0,0.8,0.04,-0.03,0.00,0.00,0.00,0.00,0.20,0.07,87,-1,1,0,0.0,-0.00
1.80,climb,98.68,201.32,1.000,1,95.5,-2.9,1014.5,112.9,-0.32,-0.27,290,290,-1,0.0,0.0,-0.9,1.0,0.05,0.01,0.00,0.00,0.00,0.00,0.39,0.15,87,-1,1,0,0.0,-0.00
1.90,climb,105.35,194.65,0.984,1,95.4,-3.0,1014.6,112.9,-0.49,-0.72,290,290,-1,0.0,0.0,-0.6,1.1,0.03,0.04,0.00,0.00,0.00,0.00,0.59,0.30,87,-1,1,0,-0.0,-0.00
2.00,climb,110.14,189.86,0.826,1,95.3,-3.1,1014.6,113.0,-0.45,-0.93,290,290,-1,0.0,0.0,-0.2,1.0,-0.01,0.05,0.00,0.00,0.00,0.00,0.71,0.51,87,-1,0,0,-0.1,0.00
2.10,climb,115.22,184.78,0.658,1,95.3,-3.2,1014.7,113.1,-0.35,-1.01,290,290,-1,0.0,0.0,0.1,0.5,-0.06,0.05,0.00,0.00,0.00,0.00,0.75,0.71,87,-1,0,0,-0.1,0.00
2.20,climb,117.83,182.17,0.516,1,95.3,-3.2,1014.7,113.2,-0.35,-1.01,290,290,-1,0.0,0.0,0.3,-0.0,-0.09,0.03,0.00,0.00,0.00,0.00,0.68,0.83,87,-1,0,-0,-0.1,0.00
