t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,22.3,3852.7,-22.3,-3852.7,0.00,0.00,335,335,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.663,1,22.3,3852.7,-22.3,-3852.7,0.00,0.00,335,335,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-1,-1,0,0,0.0,0.00
0.20,climb,68.50,231.50,0.937,1,22.3,3852.7,-22.3,-3852.7,0.00,0.00,335,335,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,88,-1,0,0,-0.0,0.00
0.30,climb,68.50,231.50,1.000,1,22.3,3852.7,-22.3,-3852.7,0.01,0.00,335,335,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,88,-1,1,-0,0.0,0.00
0.40,climb,68.55,231.45,1.000,1,22.3,3852.7,-22.3,-3852.7,0.01,0.00,335,335,-1,0.0,0.0,0.1,0.0,0.00,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,88,-1,1,0,0.0,-0.00
0.50,climb,68.83,231.17,1.000,1,22.3,3852.7,-22.3,-3852.7,0.01,0.00,335,335,-1,0.0,0.0,0.1,0.0,0.00,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,88,-1,1,0,0.0,-0.00
0.60,climb,69.52,230.48,1.000,1,22.3,3852.7,-22.3,-3852.7,0.02,0.00,335,335,-1,0.0,0.0,0.1,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.01,88,-1,1,0,0.0,0.00
0.70,climb,70.18,229.82,1.000,1,22.3,3852.7,-22.3,-3852.7,0.02,0.00,335,335,-1,0.0,0.0,0.0,-0.0,-0.01,-0.02,0.00,0.00,0.00,0.00,-0.01,0.01,88,-1,1,0,0.0,-0.00
0.80,climb,71.34,228.66,1.000,1,22.3,3852.7,-22.3,-3852.7,0.02,0.00,335,335,-1,0.0,0.0,-0.2,-0.0,0.00,-0.04,0.00,0.00,0.00,0.00,-0.01,0.02,88,-1,1,-0,0.0,-0.00
0.90,climb,73.25,226.75,1.000,1,22.3,3852.7,-22.3,-3852.7,-0.01,0.00,335,335,-1,0.0,0.0,-0.5,0.0,0.01,-0.05,0.00,0.00,0.00,0.00,-0.00,0.01,88,-1,1,-0,0.0,-0.00
1.00,climb,75.13,224.87,1.000,1,22.3,3852.7,-22.3,-3852.7,-0.05,-0.18,335,335,-1,0.0,0.0,-0.7,0.1,0.01,-0.03,0.00,0.00,0.00,0.00,0.00,-0.01,88,-1,1,-0,-0.0,-0.00
1.10,climb,76.74,223.26,1.000,1,22.3,3852.7,-22.3,-3852.7,-0.05,-0.18,335,335,-1,0.0,0.0,-0.6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.03,88,-1,1,-0,-0.0,0.00
1.20,climb,78.53,221.47,1.000,1,22.3,3852.7,-22.3,-3852.7,-0.10,-0.35,335,335,-1,0.0,0.0,-0.3,0.1,-0.00,0.05,0.00,0.00,0.00,0.00,0.36,0.06,88,-1,1,-0,-0.0,0.00
1.30,climb,82.63,217.37,1.000,1,22.3,3852.6,-22.3,-3852.7,-0.13,-0.35,335,335,-1,0.0,0.0,0.1,0.0,-0.01,0.06,0.00,0.00,0.00,0.00,0.37,0.04,88,-1,1,0,-0.1,0.00
1.40,climb,85.75,214.25,1.000,1,22.3,3852.6,-22.3,-3852.6,-0.13,-0.35,335,335,-1,0.0,0.0,0.5,0.0,-0.00,0.05,0.00,0.00,0.00,0.00,0.37,0.03,88,-1,1,0,-0.1,0.00
1.50,climb,89.17,210.83,1.000,1,22.3,3852.6,-22.3,-3852.6,-0.02,-0.18,335,335,-1,0.0,0.0,0.5,0.1,0.02,0.02,0.00,0.00,0.00,0.00,0.36,0.07,88,-1,1,0,-0.1,0.00
1.60,climb,91.00,209.00,1.000,1,22.3,3852.6,-22.3,-3852.6,-0.02,-0.18,335,335,-1,0.0,0.0,0.3,0.4,0.04,-0.03,0.00,0.00,0.00,0.00,0.17,0.06,88,-1,1,0,-0.1,0.00
1.70,climb,95.88,204.12,1.000,1,22.3,3852.6,-22.3,-3852.6,0.07,0.00,335,335,-1,0.0,0.0,-0.2,0.7,0.05,-0.08,0.00,0.00,0.00,0.00,-0.03,0.06,88,-1,1,0,-0.2,0.00
1.80,climb,99.04,200.96,1.000,1,22.3,3852.6,-22.3,-3852.6,0.26,-0.09,335,335,-1,0.0,0.0,-0.8,0.9,0.04,-0.10,0.00,0.00,0.00,0.00,-0.06,0.14,88,-1,1,0,0.7,-0.00
1.90,climb,105.82,194.18,0.948,1,22.3,3852.6,-22.3,-3852.6,0.26,-0.09,335,335,-1,0.0,0.0,-1.3,0.9,0.01,-0.09,0.00,0.00,0.00,0.00,-0.03,0.27,88,-1,0,0,0.7,-0.01
2.00,climb,108.22,191.78,0.806,1,22.3,3852.5,-22.3,-3852.5,0.36,-0.35,335,335,-1,0.0,0.0,-1.6,0.6,-0.04,-0.06,0.00,0.00,0.00,0.00,0.16,0.48,88,-1,0,-0,1.1,-0.02
2.10,climb,115.79,184.21,0.626,1,22.4,3852.4,-22.4,-3852.5,0.36,-0.88,335,335,-1,0.0,0.0,-1.6,-0.0,-0.09,-0.01,0.00,0.00,0.00,0.00,0.38,0.64,88,-1,0,-0,1.4,-0.03
2.20,climb,121.08,178.92,0.472,1,22.4,3852.3,-22.4,-3852.4,0.22,-1.05,335,335,-1,0.0,0.0,-1.3,-0.6,-0.10,0.04,0.00,0.00,0.00,0.00,0.64,0.70,88,-1,0,-0,1.3,-0.03
2.30,climb,126.47,173.53,0.347,1,22.4,3852.3,-22.4,-3852.3,0.22,-1.05,335,335,-1,0.0,0.0,-0.8,-1.2,-0.10,0.07,0.00,0.00,0.00,0.00,0.86,0.65,88,-1,0,-0,1.3,-0.03
2.40,climb,129.18,170.82,0.281,1,22.4,3852.2,-22.4,-3852.2,0.06,-1.05,335,335,-1,0.0,0.0,-0.2,-1.6,-0.08,0.08,0.00,0.00,0.00,0.00,0.93,0.50,88,-1,0,-0,1.1,-0.02
