t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat
0.00,climb,68.50,31.50,1.000,1,59.8,-23.0,40.2,123.0,0.00,0.00,329,329,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1
0.10,climb,68.50,31.50,1.000,1,59.8,-23.0,40.2,123.0,0.00,0.00,329,329,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1
0.20,climb,68.50,31.50,1.000,1,59.8,-23.0,40.2,123.0,0.00,0.00,329,329,-1,0.0,0.0,0.0,-0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,96,-1,1
0.30,climb,68.51,31.49,1.000,1,59.8,-23.0,40.2,123.0,0.00,0.00,329,329,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,96,-1,1
0.40,climb,68.58,31.42,1.000,1,59.8,-23.0,40.2,123.0,0.00,-0.00,329,329,-1,0.0,0.0,-0.1,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,96,-1,1
0.50,climb,68.79,31.21,1.000,1,59.8,-23.0,40.2,123.0,0.00,-0.00,329,329,-1,0.0,0.0,-0.2,0.2,0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,96,-1,1
0.60,climb,69.24,30.76,1.000,1,59.8,-23.0,40.2,123.0,0.00,-0.01,329,329,-1,0.0,0.0,-0.3,0.3,0.02,-0.02,0.00,0.00,0.00,0.00,0.01,0.01,96,-1,1
0.70,climb,69.99,30.01,1.000,1,59.8,-23.0,40.2,123.0,0.02,-0.05,329,329,-1,0.0,0.0,-0.4,0.5,0.03,-0.03,0.00,0.00,0.00,0.00,0.01,0.01,96,-1,1
0.80,climb,71.06,28.94,0.827,1,59.8,-23.0,40.2,123.0,0.02,-0.05,329,329,-1,0.0,0.0,-0.6,0.6,0.03,-0.03,0.00,0.00,0.00,0.00,0.04,0.04,96,-1,0
0.90,climb,72.45,27.55,0.508,1,59.9,-23.0,40.1,123.0,0.04,-0.13,329,329,-1,0.0,0.0,-0.8,0.8,0.04,-0.04,0.00,0.00,0.00,0.00,0.09,0.10,96,-1,0
