t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat
0.00,climb,68.50,131.50,1.000,1,1004.6,1027.6,-1004.6,-1027.6,0.00,0.00,23,23,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1
0.10,climb,68.50,131.50,1.000,1,1004.6,1027.6,-1004.6,-1027.6,0.00,0.00,23,23,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1
0.15,climb,68.50,131.50,1.000,1,1004.6,1027.6,-1004.6,-1027.6,0.00,0.00,23,23,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1
0.20,climb,68.50,131.50,1.000,1,1004.6,1027.6,-1004.6,-1027.6,0.00,0.00,23,23,-1,0.0,0.0,0.0,-0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,95,-1,1
0.30,climb,68.51,131.49,1.000,1,1004.6,1027.6,-1004.6,-1027.6,0.00,0.00,23,23,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,95,-1,1
0.40,climb,68.58,131.42,1.000,1,1004.6,1027.6,-1004.6,-1027.6,0.00,0.00,23,23,-1,0.0,0.0,-0.1,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,95,-1,1
0.50,climb,68.79,131.21,1.000,1,1004.6,1027.6,-1004.6,-1027.6,0.00,0.00,23,23,-1,0.0,0.0,-0.2,0.2,0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,95,-1,1
0.60,climb,69.39,130.61,1.000,1,1004.6,1027.6,-1004.6,-1027.6,0.00,0.00,23,23,-1,0.0,0.0,-0.3,0.3,0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,95,-1,1
0.70,climb,69.99,130.01,1.000,1,1004.6,1027.6,-1004.6,-1027.6,0.04,0.00,23,23,-1,0.0,0.0,-0.4,0.4,0.03,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,95,-1,1
0.80,climb,71.38,128.62,0.509,1,1004.6,1027.6,-1004.6,-1027.6,0.04,0.00,23,23,-1,0.0,0.0,-0.6,0.6,0.03,-0.03,0.00,0.00,0.00,0.00,0.02,0.04,95,-1,0
0.90,climb,72.83,127.17,0.443,1,1004.6,1027.6,-1004.6,-1027.6,0.13,-0.04,23,23,-1,0.0,0.0,-0.8,0.8,0.04,-0.04,0.00,0.00,0.00,0.00,0.09,0.10,95,-1,0
1.00,climb,74.42,125.58,0.311,1,1004.6,1027.6,-1004.6,-1027.6,0.22,-0.09,23,23,-1,0.0,0.0,-1.0,1.0,0.04,-0.04,0.00,0.00,0.00,0.00,0.09,0.10,95,-1,0
1.10,climb,75.66,124.34,0.664,1,1004.6,1027.6,-1004.6,-1027.6,0.22,-0.09,23,23,-1,0.0,0.0,-1.2,1.1,0.03,-0.04,0.00,0.00,0.00,0.00,0.17,0.17,95,-1,0
1.20,climb,77.74,122.26,0.000,1,1004.7,1027.6,-1004.7,-1027.6,0.35,-0.09,23,23,-1,0.0,0.0,-1.3,1.2,0.02,-0.03,0.00,0.00,0.00,0.00,0.22,0.29,95,-1,1
1.30,climb,79.02,120.98,0.620,1,1004.7,1027.6,-1004.7,-1027.6,0.48,-0.18,23,23,-1,0.0,0.0,-1.3,1.1,0.00,-0.01,0.00,0.00,0.00,0.00,0.22,0.29,95,-1,0
1.40,climb,80.79,119.21,0.129,1,1004.7,1027.6,-1004.7,-1027.6,0.48,-0.18,23,23,-1,0.0,0.0,-1.0,1.0,-0.01,0.03,0.00,0.00,0.00,0.00,0.35,0.38,95,-1,0
1.50,climb,83.66,116.34,0.000,1,1004.8,1027.5,-1004.8,-1027.5,0.66,-0.26,23,23,-1,0.0,0.0,-0.5,0.9,-0.01,0.07,0.00,0.00,0.00,0.00,0.50,0.51,95,-1,1
1.60,climb,84.59,115.41,0.967,1,1004.9,1027.5,-1004.8,-1027.5,0.70,-0.31,23,23,-1,0.0,0.0,-0.0,0.7,-0.02,0.07,0.00,0.00,0.00,0.00,0.50,0.51,95,-1,0
1.70,climb,86.39,113.61,0.103,1,1004.9,1027.5,-1004.9,-1027.5,0.70,-0.31,23,23,-1,0.0,0.0,0.3,0.5,-0.02,0.06,0.00,0.00,0.00,0.00,0.55,0.53,95,-1,0
1.80,climb,88.33,111.67,0.000,1,1005.0,1027.4,-1005.0,-1027.4,0.66,-0.26,23,23,-1,0.0,0.0,0.6,0.3,-0.03,0.04,0.00,0.00,0.00,0.00,0.50,0.51,95,-1,1
1.90,climb,90.32,109.68,0.000,1,1005.1,1027.4,-1005.0,-1027.4,0.62,-0.18,23,23,-1,0.0,0.0,0.7,0.1,-0.03,0.03,0.00,0.00,0.00,0.00,0.50,0.51,95,-1,1
2.00,climb,92.64,107.36,0.000,1,1005.1,1027.4,-1005.1,-1027.4,0.62,-0.18,23,23,-1,0.0,0.0,0.9,-0.2,-0.04,0.04,0.00,0.00,0.00,0.00,0.40,0.50,95,-1,1
2.10,climb,93.96,106.04,0.585,1,1005.2,1027.4,-1005.2,-1027.4,0.57,-0.09,23,23,-1,0.0,0.0,1.1,-0.4,-0.04,0.04,0.00,0.00,0.00,0.00,0.30,0.49,95,-1,0
2.20,climb,96.01,103.99,0.000,1,1005.3,1027.4,-1005.2,-1027.4,0.53,-0.09,23,23,-1,0.0,0.0,1.4,-0.7,-0.05,0.05,0.00,0.00,0.00,0.00,0.30,0.49,95,-1,1
2.30,climb,97.20,102.80,0.714,1,1005.3,1027.4,-1005.3,-1027.4,0.53,-0.09,23,23,-1,0.0,0.0,1.6,-1.0,-0.05,0.05,0.00,0.00,0.00,0.00,0.28,0.45,95,-1,0
2.40,climb,99.55,100.45,0.000,1,1005.4,1027.4,-1005.4,-1027.4,0.40,0.00,23,23,-1,0.0,0.0,1.7,-1.2,-0.04,0.04,0.00,0.00,0.00,0.00,0.15,0.37,95,-1,1
2.50,climb,100.32,99.68,1.000,1,1005.4,1027.4,-1005.4,-1027.4,0.22,0.09,23,23,-1,0.0,0.0,1.8,-1.3,-0.03,0.02,0.00,0.00,0.00,0.00,0.15,0.37,95,-1,1
2.60,climb,102.28,97.72,0.000,1,1005.4,1027.4,-1005.4,-1027.4,0.22,0.09,23,23,-1,0.0,0.0,1.7,-1.3,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.24,95,-1,1
2.70,climb,103.87,96.13,0.309,1,1005.4,1027.4,-1005.4,-1027.4,-0.02,0.18,23,23,-1,0.0,0.0,1.5,-1.2,0.01,-0.02,0.00,0.00,0.00,0.00,-0.17,0.05,95,-1,0
2.80,climb,105.11,94.89,0.659,1,1005.4,1027.4,-1005.4,-1027.4,-0.15,0.22,23,23,-1,0.0,0.0,1.1,-1.0,0.02,-0.04,0.00,0.00,0.00,0.00,-0.17,0.05,95,-1,0
2.90,climb,106.75,93.25,0.260,1,1005.4,1027.4,-1005.4,-1027.4,-0.15,0.22,23,23,-1,0.0,0.0,0.8,-0.7,0.03,-0.05,0.00,0.00,0.00,0.00,-0.26,-0.06,95,-1,0
3.00,climb,109.27,90.73,0.000,1,1005.4,1027.4,-1005.4,-1027.4,-0.22,0.26,23,23,-1,0.0,0.0,0.5,-0.5,0.03,-0.04,0.00,0.00,0.00,0.00,-0.33,-0.10,95,-1,1
3.10,climb,110.49,89.51,0.676,1,1005.4,1027.5,-1005.4,-1027.4,-0.26,0.26,23,23,-1,0.0,0.0,0.2,-0.3,0.02,-0.03,0.00,0.00,0.00,0.00,-0.33,-0.10,95,-1,0
3.20,climb,112.10,87.90,0.294,1,1005.4,1027.5,-1005.4,-1027.5,-0.26,0.26,23,23,-1,0.0,0.0,0.1,-0.2,0.02,-0.02,0.00,0.00,0.00,0.00,-0.34,-0.14,95,-1,0
3.30,climb,113.82,86.18,0.183,1,1005.3,1027.5,-1005.3,-1027.5,-0.22,0.18,23,23,-1,0.0,0.0,0.1,-0.1,0.01,0.01,0.00,0.00,0.00,0.00,-0.25,-0.14,95,-1,0
3.40,climb,115.13,84.87,0.589,1,1005.3,1027.5,-1005.3,-1027.5,-0.22,0.09,23,23,-1,0.0,0.0,0.2,-0.0,0.01,0.02,0.00,0.00,0.00,0.00,-0.25,-0.14,95,-1,0
3.50,climb,117.26,82.74,0.000,1,1005.3,1027.5,-1005.3,-1027.5,-0.22,0.09,23,23,-1,0.0,0.0,0.3,0.0,0.01,0.02,0.00,0.00,0.00,0.00,-0.17,-0.17,95,-1,1
3.60,climb,119.40,80.60,0.000,1,1005.3,1027.6,-1005.3,-1027.6,-0.22,0.09,23,23,-1,0.0,0.0,0.4,0.2,0.02,0.02,0.00,0.00,0.00,0.00,-0.17,-0.17,95,-1,1
3.70,climb,120.74,79.26,0.561,1,1005.2,1027.6,-1005.3,-1027.6,-0.18,0.09,23,23,-1,0.0,0.0,0.5,0.3,0.02,0.02,0.00,0.00,0.00,0.00,-0.17,-0.17,95,-1,0
3.80,climb,122.58,77.42,0.059,1,1005.2,1027.6,-1005.2,-1027.6,-0.18,0.09,23,23,-1,0.0,0.0,0.5,0.4,0.03,0.02,0.00,0.00,0.00,0.00,-0.15,-0.13,95,-1,0
3.90,climb,124.43,75.57,0.052,1,1005.2,1027.6,-1005.2,-1027.6,-0.18,0.18,23,23,-1,0.0,0.0,0.5,0.5,0.02,-0.00,0.00,0.00,0.00,0.00,-0.23,-0.09,95,-1,0
4.00,climb,125.81,74.19,0.519,1,1005.2,1027.6,-1005.2,-1027.6,-0.13,0.18,23,23,-1,0.0,0.0,0.6,0.7,0.04,0.02,0.00,0.00,0.00,0.00,-0.23,-0.09,95,-1,0
4.10,climb,128.09,71.91,0.000,1,1005.2,1027.6,-1005.2,-1027.6,-0.13,0.18,23,23,-1,0.0,0.0,1.0,1.4,0.11,0.07,0.00,0.00,0.00,0.00,-0.21,-0.05,95,-1,1
4.20,climb,129.90,70.10,0.096,1,1005.2,1027.6,-1005.2,-1027.6,-0.11,0.18,23,23,-1,0.0,0.0,1.2,1.8,0.08,0.05,0.00,0.00,0.00,0.00,-0.20,-0.03,95,-1,0
4.30,climb,131.66,68.34,0.138,1,1005.1,1027.7,-1005.2,-1027.6,-0.04,0.26,23,22,-1,0.0,0.0,1.3,2.1,0.07,0.03,0.00,0.00,0.00,0.00,-0.20,-0.03,95,-1,0
4.40,climb,132.93,67.07,0.634,1,1005.1,1027.7,-1005.1,-1027.7,-0.04,0.26,23,22,-1,0.0,0.0,1.6,2.6,0.10,0.06,0.00,0.00,0.00,0.00,-0.26,0.06,95,-1,0
4.50,climb,134.94,65.06,0.000,1,1005.1,1027.7,-1005.1,-1027.7,0.00,0.35,23,22,-1,0.0,0.0,1.8,2.9,0.09,0.05,0.00,0.00,0.00,0.00,-0.32,0.13,95,-1,1
4.60,climb,136.16,63.84,0.679,1,1005.1,1027.8,-1005.1,-1027.7,0.13,0.44,23,22,-1,0.0,0.0,1.5,2.8,0.00,-0.02,0.00,0.00,0.00,0.00,-0.32,0.13,95,-1,0
4.70,climb,138.66,61.34,0.000,1,1005.1,1027.8,-1005.1,-1027.8,0.13,0.44,23,22,-1,0.0,0.0,1.1,2.4,-0.03,-0.05,0.00,0.00,0.00,0.00,-0.36,0.29,95,-1,1
4.80,climb,140.37,59.63,0.192,1,1005.2,1027.8,-1005.2,-1027.8,0.31,0.70,23,22,-1,0.0,0.0,0.5,1.8,-0.06,-0.09,0.00,0.00,0.00,0.00,-0.53,0.55,95,-1,0
4.90,climb,141.72,58.28,0.552,1,1005.2,1027.9,-1005.2,-1027.8,0.42,0.79,23,22,-1,0.0,0.0,-0.5,1.0,-0.11,-0.14,0.00,0.00,0.00,0.00,-0.53,0.55,95,-1,0
5.00,climb,143.04,56.96,0.581,1,1005.2,1027.9,-1005.2,-1027.9,0.42,0.79,23,22,-1,0.0,0.0,-1.5,-0.0,-0.15,-0.17,0.00,0.00,0.00,0.00,-0.57,0.69,95,-1,0
5.10,climb,145.31,54.69,0.000,1,1005.3,1028.1,-1005.3,-1028.1,0.44,0.66,22,22,-1,0.0,0.0,-2.4,-0.9,-0.14,-0.17,0.00,0.00,0.00,0.00,-0.44,0.66,95,-1,1
5.20,climb,146.74,53.26,0.470,1,1005.4,1028.1,-1005.3,-1028.1,0.40,0.26,22,22,-1,0.0,0.0,-3.0,-1.4,-0.08,-0.11,0.00,0.00,0.00,0.00,-0.44,0.66,95,-1,0
5.30,climb,149.11,50.89,0.000,1,1005.4,1028.1,-1005.4,-1028.1,0.40,0.26,22,22,-1,0.0,0.0,-3.3,-1.7,-0.07,-0.09,0.00,0.00,0.00,0.00,-0.09,0.47,95,-1,1
5.40,climb,150.99,49.01,0.020,1,1005.4,1028.2,-1005.4,-1028.2,0.31,-0.04,22,22,-1,0.0,0.0,-3.4,-1.9,-0.05,-0.05,0.00,0.00,0.00,0.00,0.16,0.27,95,-1,1
5.50,climb,152.86,47.14,0.023,1,1005.4,1028.1,-1005.4,-1028.2,0.24,-0.40,22,22,-1,0.0,0.0,-3.4,-2.2,-0.05,-0.03,0.00,0.00,0.00,0.00,0.16,0.27,95,-1,0
5.60,climb,154.27,45.73,0.496,1,1005.4,1028.1,-1005.4,-1028.1,0.24,-0.40,22,22,-1,0.0,0.0,-3.6,-2.7,-0.11,-0.06,0.00,0.00,0.00,0.00,0.46,0.07,95,-1,0
5.70,climb,157.02,42.98,0.000,1,1005.5,1028.1,-1005.5,-1028.1,0.18,-0.62,22,22,-1,0.0,0.0,-3.9,-3.4,-0.14,-0.08,0.00,0.00,0.00,0.00,0.64,-0.07,95,-1,1
