t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,wx,wyr,wz
0.00,climb,68.50,131.50,0.398,1,322.4,464.3,-322.4,-464.3,0.00,0.00,255,255,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,0.00,0.000,0.000,0.000
0.10,climb,68.50,131.50,0.663,1,322.4,464.3,-322.4,-464.3,0.00,0.00,255,255,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.0,-0.00,0.000,0.000,0.000
0.20,climb,68.50,131.50,0.937,1,322.4,464.3,-322.4,-464.3,0.00,0.00,255,255,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,0,-0,0.0,-0.00,0.015,-0.003,0.007
0.30,climb,68.50,131.50,1.000,1,322.4,464.3,-322.4,-464.3,0.00,0.00,255,255,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,78,-1,1,0,0.2,-0.00,0.015,-0.003,0.007
0.40,climb,68.54,131.46,1.000,1,322.4,464.3,-322.4,-464.3,0.00,0.00,255,255,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,-0.0,0.00,0.006,0.000,0.010
0.50,climb,68.71,131.29,1.000,1,322.4,464.3,-322.4,-464.3,0.00,0.02,255,255,-1,0.0,0.0,0.0,-0.1,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,0.0,0.00,0.000,0.000,0.000
0.60,climb,69.38,130.62,1.000,1,322.4,464.3,-322.4,-464.3,0.02,0.02,255,255,-1,0.0,0.0,0.0,-0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.01,-0.02,78,-1,1,0,0.0,0.00,-0.010,0.000,-0.009
0.70,climb,69.97,130.03,1.000,1,322.4,464.3,-322.4,-464.3,0.02,0.02,255,255,-1,0.0,0.0,-0.0,0.0,0.01,-0.01,0.00,0.00,0.00,0.00,-0.02,-0.03,78,-1,1,0,-0.0,0.00,-0.010,0.000,-0.009
0.80,climb,71.00,129.00,1.000,1,322.4,464.3,-322.4,-464.3,0.00,0.02,255,255,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.01,-0.02,78,-1,1,0,0.0,0.00,0.017,0.000,0.015
0.90,climb,72.34,127.66,1.000,1,322.4,464.3,-322.4,-464.3,0.01,0.02,255,255,-1,0.0,0.0,0.1,-0.1,-0.02,0.02,0.00,0.00,0.00,0.00,0.01,-0.02,78,-1,1,0,-0.0,0.00,0.035,0.000,0.034
