t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,331.50,0.398,1,49.6,5843.6,-49.6,-5843.6,0.00,0.00,203,203,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.1,-0.00
0.10,climb,68.50,331.50,0.662,1,49.6,5843.6,-49.6,-5843.6,0.00,0.00,203,203,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.20,climb,68.50,331.50,0.937,1,49.6,5843.6,-49.6,-5843.6,0.00,0.00,203,203,-1,0.0,0.0,0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,89,-1,0,0,-0.2,-0.00
0.30,climb,68.50,331.50,1.000,1,49.6,5843.6,-49.6,-5843.6,0.00,0.00,203,203,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,89,-1,1,0,-0.2,0.01
0.40,climb,68.55,331.45,1.000,1,49.6,5843.6,-49.6,-5843.6,0.00,0.00,203,203,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,89,-1,1,0,0.0,-0.00
0.50,climb,68.75,331.25,1.000,1,49.6,5843.6,-49.6,-5843.6,-0.00,0.00,203,203,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,89,-1,1,0,-0.0,0.00
0.60,climb,69.18,330.82,1.000,1,49.6,5843.6,-49.6,-5843.6,-0.00,0.00,203,203,-1,0.0,0.0,0.0,-0.0,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,89,-1,1,0,-0.0,0.00
0.70,climb,69.93,330.07,1.000,1,49.6,5843.6,-49.6,-5843.6,-0.00,0.00,203,203,-1,0.0,0.0,0.1,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,89,-1,1,0,-0.0,0.00
0.80,climb,71.66,328.34,1.000,1,49.6,5843.6,-49.6,-5843.6,0.02,0.00,203,203,-1,0.0,0.0,0.2,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,-0.00,-0.00,89,-1,1,0,-0.0,0.00
0.90,climb,73.20,326.80,1.000,1,49.6,5843.6,-49.6,-5843.6,0.03,0.00,203,203,-1,0.0,0.0,0.2,-0.1,-0.00,0.01,0.00,0.00,0.00,0.00,-0.01,-0.01,89,-1,1,0,0.0,0.00
