t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,wx,wyr,wz
0.00,climb,68.50,431.50,0.398,1,359.7,275.5,640.3,1724.5,0.00,0.00,310,310,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.000,0.000,0.000
0.10,climb,68.50,431.50,0.662,1,359.7,275.5,640.3,1724.5,0.00,0.00,310,310,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.000,-0.000,-0.000
0.20,climb,68.50,431.50,0.937,1,359.7,275.5,640.3,1724.5,0.00,0.00,310,310,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,0,0,0.0,-0.00,0.000,0.000,0.000
0.30,climb,68.50,431.50,1.000,1,359.7,275.5,640.3,1724.5,0.00,0.00,310,310,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,-0,0.0,-0.00,0.003,-0.000,-0.004
0.40,climb,68.54,431.46,1.000,1,359.7,275.5,640.3,1724.5,0.00,0.00,310,310,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,-0.0,0.00,0.003,-0.000,-0.004
0.50,climb,68.70,431.30,1.000,1,359.7,275.5,640.3,1724.5,0.00,0.00,310,310,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,-0.0,0.00,-0.011,0.000,0.010
0.60,climb,69.22,430.78,1.000,1,359.7,275.5,640.3,1724.5,0.00,0.00,310,310,-1,0.0,0.0,-0.1,-0.1,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,-0.0,0.00,-0.014,0.000,0.011
0.70,climb,69.74,430.26,1.000,1,359.7,275.5,640.3,1724.5,0.00,0.00,310,310,-1,0.0,0.0,-0.2,-0.1,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,-0.0,0.00,-0.014,0.000,0.011
0.80,climb,70.69,429.31,1.000,1,359.6,275.5,640.3,1724.5,-0.02,0.00,310,310,-1,0.0,0.0,-0.1,-0.1,0.01,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,78,-1,1,0,0.0,0.00,0.010,-0.000,-0.014
0.90,climb,71.94,428.06,1.000,1,359.6,275.5,640.4,1724.5,-0.02,0.00,310,310,-1,0.0,0.0,-0.0,0.0,0.02,0.01,0.00,0.00,0.00,0.00,0.02,-0.01,78,-1,1,0,0.0,-0.00,0.010,-0.000,-0.014
1.00,climb,73.48,426.52,1.000,1,359.6,275.5,640.4,1724.5,-0.02,0.00,310,310,-1,0.0,0.0,0.0,0.2,0.02,0.01,0.00,0.00,0.00,0.00,0.02,-0.01,78,-1,1,0,0.0,-0.00,0.015,-0.000,-0.022
1.10,climb,75.31,424.69,1.000,1,359.6,275.5,640.4,1724.5,0.00,-0.02,310,310,-1,0.0,0.0,0.0,0.2,0.01,-0.00,0.00,0.00,0.00,0.00,0.03,0.00,78,-1,1,0,0.0,-0.00,-0.007,0.000,0.002
1.20,climb,78.59,421.41,1.000,1,359.6,275.5,640.4,1724.5,0.00,-0.04,310,310,-1,0.0,0.0,-0.1,0.2,-0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.02,78,-1,1,0,0.0,0.00,-0.015,0.000,0.015
