t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,wx,wyr,wz
0.00,climb,68.50,431.50,0.398,1,567.9,340.1,432.1,1659.9,0.00,0.00,213,213,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,-0.000,0.000,0.000
0.10,climb,68.50,431.50,0.663,1,567.9,340.1,432.1,1659.9,0.00,0.00,213,213,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,0.00,0.000,0.000,0.000
0.20,climb,68.50,431.50,0.937,1,567.9,340.1,432.1,1659.9,0.00,0.00,213,213,-1,0.0,0.0,0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,0,0,-0.0,0.00,0.000,0.000,0.000
0.30,climb,68.50,431.50,1.000,1,567.9,340.1,432.1,1659.9,0.00,0.00,213,213,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,0.0,0.00,0.000,0.000,0.000
0.40,climb,68.55,431.45,1.000,1,567.9,340.1,432.1,1659.9,0.00,0.00,213,213,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,0.0,0.00,0.001,-0.000,0.000
0.50,climb,68.75,431.25,1.000,1,567.9,340.1,432.1,1659.9,0.00,0.00,213,213,-1,0.0,0.0,-0.0,0.0,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,0.0,0.00,-0.003,-0.000,-0.004
0.60,climb,69.50,430.50,1.000,1,567.9,340.1,432.1,1659.9,0.00,0.00,213,213,-1,0.0,0.0,-0.1,0.1,0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,0.0,-0.00,-0.020,-0.000,-0.022
0.70,climb,69.91,430.09,1.000,1,567.9,340.1,432.1,1659.9,0.00,0.00,213,213,-1,0.0,0.0,-0.2,0.3,0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,78,-1,1,0,0.0,-0.00,-0.020,-0.000,-0.022
0.80,climb,71.62,428.38,1.000,1,567.9,340.1,432.1,1659.9,-0.09,0.00,213,213,-1,0.0,0.0,-0.3,0.4,0.03,-0.02,0.00,0.00,0.00,0.00,0.02,0.04,78,-1,1,0,-0.0,0.00,-0.021,0.000,-0.025
0.90,climb,72.35,427.65,1.000,1,567.9,340.1,432.1,1659.9,-0.09,0.00,213,213,-1,0.0,0.0,-0.4,0.5,0.03,-0.02,0.00,0.00,0.00,0.00,0.05,0.07,78,-1,1,0,-0.0,0.00,-0.021,0.000,-0.025
1.00,climb,75.00,425.00,1.000,1,567.8,340.1,432.2,1659.9,-0.18,0.02,213,213,-1,0.0,0.0,-0.5,0.6,0.03,-0.01,0.00,0.00,0.00,0.00,0.09,0.10,78,-1,1,0,-0.0,0.00,-0.014,0.000,-0.020
1.10,climb,76.04,423.96,1.000,1,567.8,340.1,432.2,1659.9,-0.26,0.02,213,213,-1,0.0,0.0,-0.6,0.7,0.03,-0.01,0.00,0.00,0.00,0.00,0.11,0.14,78,-1,1,0,-0.0,0.00,-0.010,0.000,-0.015
1.20,climb,79.61,420.39,1.000,1,567.8,340.1,432.2,1659.9,-0.26,0.02,213,213,-1,0.0,0.0,-0.7,0.8,0.03,-0.01,0.00,0.00,0.00,0.00,0.16,0.21,78,-1,1,0,-0.0,0.00,-0.010,0.000,-0.015
1.30,climb,82.37,417.63,1.000,1,567.7,340.1,432.2,1659.9,-0.42,0.04,213,213,-1,0.0,0.0,-0.7,0.9,0.03,-0.01,0.00,0.00,0.00,0.00,0.22,0.25,78,-1,1,0,-0.0,0.00,-0.009,0.000,-0.017
1.40,climb,84.64,415.36,1.000,1,567.7,340.1,432.3,1659.9,-0.42,0.04,213,213,-1,0.0,0.0,-0.8,1.0,0.03,-0.01,0.00,0.00,0.00,0.00,0.26,0.33,78,-1,1,0,-0.0,0.00,-0.009,0.000,-0.017
1.50,climb,87.93,412.07,1.000,1,567.7,340.1,432.3,1659.9,-0.51,0.04,213,213,-1,0.0,0.0,-0.8,1.1,0.03,-0.01,0.00,0.00,0.00,0.00,0.31,0.40,78,-1,1,0,-0.0,0.00,-0.006,0.000,-0.014
1.60,climb,91.51,408.49,1.000,1,567.6,340.1,432.4,1659.9,-0.62,0.04,213,213,-1,0.0,0.0,-0.8,1.2,0.03,-0.01,0.00,0.00,0.00,0.00,0.37,0.49,78,-1,1,0,-0.0,0.00,-0.005,0.000,-0.015
1.70,climb,96.40,403.60,1.000,1,567.5,340.1,432.4,1659.9,-0.81,0.04,213,213,-1,0.0,0.0,-0.8,1.2,0.03,-0.00,0.00,0.00,0.00,0.00,0.43,0.58,78,-1,1,0,-0.0,0.00,-0.001,0.000,-0.010
1.80,climb,98.48,401.52,1.000,1,567.5,340.1,432.5,1659.9,-0.81,0.04,213,213,-1,0.0,0.0,-0.8,1.3,0.03,-0.00,0.00,0.00,0.00,0.00,0.48,0.66,78,-1,1,0,-0.0,0.00,-0.001,0.000,-0.010
1.90,climb,103.99,396.01,1.000,1,567.4,340.1,432.6,1659.9,-0.94,0.04,213,213,-1,0.0,0.0,-0.8,1.3,0.03,-0.00,0.00,0.00,0.00,0.00,0.55,0.77,78,-1,1,0,-0.0,0.00,0.002,0.000,-0.015
2.00,climb,107.51,392.49,1.000,1,567.2,340.1,432.7,1659.9,-1.16,0.02,213,213,-1,0.0,0.0,-0.8,1.4,0.03,-0.00,0.00,0.00,0.00,0.00,0.60,0.84,78,-1,1,0,-0.0,0.00,0.006,0.000,-0.010
2.10,climb,115.03,384.97,1.000,1,567.0,340.1,432.8,1659.9,-1.27,0.02,213,213,-1,0.0,0.0,-0.8,1.4,0.03,-0.00,0.00,0.00,0.00,0.00,0.65,0.96,78,-1,1,0,-0.0,0.00,0.007,0.000,-0.007
2.20,climb,117.68,382.32,1.000,1,567.0,340.1,433.0,1659.9,-1.27,0.02,213,213,-1,0.0,0.0,-0.7,1.5,0.03,0.00,0.00,0.00,0.00,0.00,0.71,1.06,78,-1,1,0,-0.0,0.00,0.007,0.000,-0.007
2.30,climb,123.17,376.83,1.000,1,566.9,340.1,433.1,1659.9,-1.38,0.00,213,213,-1,0.0,0.0,-0.7,1.5,0.03,0.00,0.00,0.00,0.00,0.00,0.76,1.16,78,-1,1,0,-0.0,0.00,0.009,0.000,-0.006
2.40,climb,131.93,368.07,1.000,1,566.6,340.1,433.2,1659.9,-1.60,-0.05,213,213,-1,0.0,0.0,-0.6,1.5,0.03,0.00,0.00,0.00,0.00,0.00,0.80,1.26,78,-1,1,0,-0.0,0.00,0.004,0.000,-0.001
2.50,climb,134.98,365.02,1.000,1,566.4,340.1,433.4,1659.9,-1.71,-0.09,213,213,-1,0.0,0.0,-0.6,1.5,0.02,0.00,0.00,0.00,0.00,0.00,0.83,1.37,78,-1,1,0,-0.0,0.00,0.012,-0.000,-0.002
2.60,climb,144.55,355.45,0.997,1,566.3,340.1,433.6,1659.9,-1.82,-0.12,213,213,-1,0.0,0.0,-0.5,1.5,0.02,0.01,0.00,0.00,0.00,0.00,0.86,1.48,78,-1,1,0,0.0,0.00,0.015,-0.000,-0.001
2.70,climb,151.25,348.75,0.828,1,566.1,340.1,433.7,1659.9,-1.91,-0.15,213,213,-1,0.0,0.0,-0.4,1.5,0.02,0.01,0.00,0.00,0.00,0.00,0.89,1.59,78,-1,0,0,0.0,0.00,0.010,-0.000,0.000
2.80,climb,154.71,345.29,0.690,1,565.9,340.1,433.9,1659.9,-2.00,-0.20,213,213,-1,0.0,0.0,-0.4,1.5,0.02,0.01,0.00,0.00,0.00,0.00,0.91,1.69,78,-1,0,0,0.0,0.00,0.010,-0.000,0.001
2.90,climb,161.77,338.23,0.540,1,565.9,340.1,434.1,1659.9,-2.00,-0.20,213,213,-1,0.0,0.0,-0.3,1.5,0.02,0.01,0.00,0.00,0.00,0.00,0.93,1.78,78,-1,0,0,0.0,0.00,0.010,-0.000,0.001
3.00,climb,168.98,331.02,0.415,1,565.5,340.0,434.3,1659.9,-2.11,-0.27,213,213,-1,0.0,0.0,-0.2,1.5,0.02,0.01,0.00,0.00,0.00,0.00,0.92,1.86,78,-1,0,0,0.0,0.00,0.011,0.000,0.011
3.10,climb,179.96,320.04,0.299,1,565.2,340.0,434.5,1660.0,-2.13,-0.31,213,213,-1,0.0,0.0,-0.2,1.4,0.01,0.00,0.00,0.00,0.00,0.00,0.92,1.92,78,-1,0,0,-0.0,0.00,-0.002,0.000,0.022
3.20,climb,183.63,316.37,0.253,1,565.2,340.0,434.8,1660.0,-2.13,-0.31,213,213,-1,0.0,0.0,-0.2,1.3,0.00,-0.00,0.00,0.00,0.00,0.00,0.91,1.95,78,-1,0,0,-0.0,0.00,-0.002,0.000,0.022
3.30,climb,190.93,309.07,0.214,1,565.0,340.0,435.0,1660.0,-2.15,-0.33,213,213,-1,0.0,0.0,-0.2,1.2,0.00,-0.00,0.00,0.00,0.00,0.00,0.90,1.98,78,-1,0,0,-0.0,0.00,-0.002,0.000,0.019
3.40,climb,201.74,298.26,0.179,1,564.6,339.9,435.2,1660.1,-2.11,-0.33,213,213,-1,0.0,0.0,-0.2,1.1,0.00,-0.00,0.00,0.00,0.00,0.00,0.90,1.98,78,-1,0,0,-0.0,0.00,-0.003,0.000,0.019
3.50,climb,205.30,294.70,0.195,1,564.4,339.9,435.4,1660.1,-2.11,-0.35,213,213,-1,0.0,0.0,-0.2,1.0,0.00,-0.01,0.00,0.00,0.00,0.00,0.88,1.95,78,-1,0,0,-0.0,0.00,-0.003,0.000,0.019
3.60,climb,215.81,284.19,0.175,1,564.2,339.8,435.6,1660.1,-2.09,-0.35,213,213,-1,0.0,0.0,-0.2,0.9,0.00,-0.01,0.00,0.00,0.00,0.00,0.86,1.96,78,-1,0,0,-0.0,0.00,-0.003,0.000,0.013
3.70,climb,219.26,280.74,0.207,1,564.2,339.8,435.8,1660.2,-2.09,-0.35,213,213,-1,0.0,0.0,-0.3,0.8,0.00,-0.01,0.00,0.00,0.00,0.00,0.84,1.94,78,-1,0,0,-0.0,0.00,-0.003,0.000,0.013
3.80,climb,229.44,270.56,0.198,1,563.8,339.8,436.0,1660.2,-2.07,-0.33,213,213,-1,0.0,0.0,-0.3,0.7,0.00,-0.01,0.00,0.00,0.00,0.00,0.84,1.92,77,-1,0,0,-0.0,0.00,-0.003,0.000,0.011
