t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,79.7,1655.8,-79.7,-1655.8,0.00,0.00,73,73,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.10,climb,68.50,231.50,0.663,1,79.7,1655.8,-79.7,-1655.8,0.00,0.00,73,73,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.20,climb,68.50,231.50,0.938,1,79.7,1655.8,-79.7,-1655.8,-0.00,0.00,73,73,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,88,-1,0,0,0.2,-0.00
0.30,climb,68.50,231.50,1.000,1,79.7,1655.8,-79.7,-1655.8,-0.00,0.00,73,73,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,88,-1,1,0,0.2,-0.00
0.40,climb,68.55,231.45,1.000,1,79.7,1655.8,-79.7,-1655.8,0.00,0.00,73,73,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,88,-1,1,-0,0.0,-0.00
0.50,climb,68.75,231.25,1.000,1,79.7,1655.8,-79.7,-1655.8,0.00,0.00,73,73,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,88,-1,1,-0,0.0,-0.00
0.60,climb,69.34,230.66,1.000,1,79.7,1655.8,-79.7,-1655.8,0.00,0.00,73,73,-1,0.0,0.0,0.0,-0.0,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,88,-1,1,-0,0.0,-0.00
0.70,climb,70.42,229.58,1.000,1,79.7,1655.8,-79.7,-1655.8,-0.01,0.00,73,73,-1,0.0,0.0,0.1,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,88,-1,1,0,0.0,-0.00
0.80,climb,71.66,228.34,1.000,1,79.7,1655.8,-79.7,-1655.8,-0.02,0.00,73,73,-1,0.0,0.0,0.2,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,-0.01,-0.00,88,-1,1,0,0.0,0.00
0.90,climb,72.39,227.61,1.000,1,79.7,1655.8,-79.7,-1655.8,-0.02,0.00,73,73,-1,0.0,0.0,0.2,-0.1,-0.00,0.01,0.00,0.00,0.00,0.00,-0.02,-0.01,88,-1,1,0,0.0,-0.00
1.00,climb,74.57,225.43,1.000,1,79.7,1655.8,-79.7,-1655.8,-0.04,0.00,73,73,-1,0.0,0.0,0.2,-0.1,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.01,88,-1,1,0,0.0,0.00
1.10,climb,76.11,223.89,1.000,1,79.7,1655.8,-79.7,-1655.8,-0.06,0.00,73,73,-1,0.0,0.0,0.1,-0.0,0.01,-0.01,0.00,0.00,0.00,0.00,-0.05,-0.01,88,-1,1,0,0.0,-0.00
1.20,climb,79.72,220.28,1.000,1,79.7,1655.8,-79.7,-1655.8,-0.07,0.00,73,73,-1,0.0,0.0,0.0,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,-0.06,-0.02,88,-1,1,0,0.0,-0.00
1.30,climb,81.78,218.22,1.000,1,79.7,1655.8,-79.7,-1655.8,-0.07,0.00,73,73,-1,0.0,0.0,-0.2,0.1,0.01,-0.03,0.00,0.00,0.00,0.00,-0.06,-0.02,88,-1,1,-0,0.0,-0.00
1.40,climb,85.59,214.41,1.000,1,79.7,1655.8,-79.7,-1655.8,-0.05,0.00,73,73,-1,0.0,0.0,-0.4,0.2,0.02,-0.04,0.00,0.00,0.00,0.00,-0.05,-0.01,88,-1,1,0,0.0,-0.00
1.50,climb,88.97,211.03,1.000,1,79.7,1655.8,-79.7,-1655.8,-0.02,0.00,73,73,-1,0.0,0.0,-0.7,0.3,0.03,-0.05,0.00,0.00,0.00,0.00,-0.02,-0.00,88,-1,1,0,0.0,-0.00
1.60,climb,90.77,209.23,1.000,1,79.7,1655.8,-79.7,-1655.8,0.06,0.00,73,73,-1,0.0,0.0,-0.9,0.5,0.03,-0.05,0.00,0.00,0.00,0.00,0.06,0.02,88,-1,1,0,-0.0,0.00
1.70,climb,94.59,205.41,1.000,1,79.8,1655.8,-79.7,-1655.8,0.42,0.00,73,73,-1,0.0,0.0,-1.0,0.8,0.04,-0.03,0.00,0.00,0.00,0.00,0.20,0.06,88,-1,1,0,0.0,-0.00
1.80,climb,98.68,201.32,1.000,1,79.8,1655.8,-79.8,-1655.8,0.42,0.00,73,73,-1,0.0,0.0,-0.9,1.0,0.05,0.01,0.00,0.00,0.00,0.00,0.40,0.12,88,-1,1,0,0.0,-0.00
1.90,climb,105.35,194.65,0.984,1,79.9,1655.9,-79.8,-1655.8,0.82,0.26,73,73,-1,0.0,0.0,-0.6,1.1,0.03,0.04,0.00,0.00,0.00,0.00,0.58,0.31,88,-1,1,0,-0.0,-0.00
2.00,climb,110.15,189.85,0.826,1,80.0,1655.9,-79.9,-1655.9,0.92,0.48,73,73,-1,0.0,0.0,-0.2,1.0,-0.01,0.05,0.00,0.00,0.00,0.00,0.71,0.49,88,-1,0,0,-0.1,0.00
2.10,climb,115.22,184.78,0.658,1,80.0,1655.9,-80.0,-1655.9,0.92,0.48,73,73,-1,0.0,0.0,0.1,0.5,-0.06,0.05,0.00,0.00,0.00,0.00,0.75,0.73,88,-1,0,0,-0.1,0.00
2.20,climb,117.83,182.17,0.516,1,80.1,1656.0,-80.1,-1656.0,0.89,0.62,73,73,-1,0.0,0.0,0.3,-0.0,-0.09,0.03,0.00,0.00,0.00,0.00,0.68,0.84,88,-1,0,0,-0.1,0.00
