t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,780.5,1108.7,-780.5,-1108.7,0.00,0.00,30,30,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.10,climb,68.50,231.50,0.663,1,780.5,1108.7,-780.5,-1108.7,0.00,0.00,30,30,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.20,climb,68.50,231.50,0.937,1,780.5,1108.7,-780.5,-1108.7,0.00,0.00,30,30,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,0,-0,0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,780.5,1108.7,-780.5,-1108.7,0.00,0.00,30,30,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,-0,0.0,-0.00
0.40,climb,68.53,231.47,1.000,1,780.5,1108.7,-780.5,-1108.7,0.00,0.00,30,30,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,-0,0.0,-0.00
0.50,climb,68.69,231.31,1.000,1,780.5,1108.7,-780.5,-1108.7,0.00,0.00,30,30,-1,0.0,0.0,0.0,-0.0,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,-0,-0.0,0.00
0.60,climb,69.32,230.68,1.000,1,780.5,1108.7,-780.5,-1108.7,0.00,0.00,30,30,-1,0.0,0.0,-0.0,-0.1,-0.02,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,-0,-0.0,0.00
0.70,climb,69.86,230.14,1.000,1,780.5,1108.7,-780.5,-1108.7,0.00,0.00,30,30,-1,0.0,0.0,-0.0,-0.3,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,-0,-0.0,0.00
0.80,climb,71.11,228.89,1.000,1,780.5,1108.7,-780.5,-1108.7,-0.04,0.00,30,30,-1,0.0,0.0,-0.0,-0.5,-0.03,-0.00,0.00,0.00,0.00,0.00,-0.01,-0.02,81,-1,1,0,-0.0,0.00
0.90,climb,72.42,227.58,1.000,1,780.5,1108.7,-780.5,-1108.7,-0.09,-0.09,30,30,-1,0.0,0.0,-0.0,-0.7,-0.04,0.00,0.00,0.00,0.00,0.00,-0.02,-0.04,81,-1,1,0,-0.0,0.00
1.00,climb,74.01,225.99,1.000,1,780.5,1108.7,-780.5,-1108.7,-0.13,-0.09,30,30,-1,0.0,0.0,0.0,-0.9,-0.04,0.01,0.00,0.00,0.00,0.00,0.03,-0.12,81,-1,1,0,-0.0,0.00
1.10,climb,75.87,224.13,1.000,1,780.4,1108.6,-780.5,-1108.7,-0.24,-0.18,30,30,-1,0.0,0.0,0.0,-1.0,-0.03,0.00,0.00,0.00,0.00,0.00,0.01,-0.16,81,-1,1,0,0.0,0.00
1.20,climb,78.00,222.00,1.000,1,780.4,1108.6,-780.4,-1108.6,-0.37,-0.22,30,30,-1,0.0,0.0,0.0,-0.9,0.01,-0.00,0.00,0.00,0.00,0.00,0.03,-0.30,81,-1,1,0,0.1,0.00
1.30,climb,79.78,220.22,1.000,1,780.4,1108.6,-780.4,-1108.6,-0.37,-0.22,30,30,-1,0.0,0.0,-0.0,-0.5,0.05,-0.01,0.00,0.00,0.00,0.00,0.01,-0.43,81,-1,1,0,0.1,-0.00
1.40,climb,83.07,216.93,1.000,1,780.3,1108.6,-780.4,-1108.6,-0.48,-0.26,30,30,-1,0.0,0.0,-0.1,-0.1,0.06,-0.00,0.00,0.00,0.00,0.00,0.00,-0.53,81,-1,1,0,0.1,-0.00
1.50,climb,86.00,214.00,1.000,1,780.3,1108.5,-780.3,-1108.6,-0.42,-0.26,30,30,-1,0.0,0.0,-0.0,0.2,0.06,0.01,0.00,0.00,0.00,0.00,-0.01,-0.55,81,-1,1,0,0.1,-0.00
1.60,climb,87.57,212.43,1.000,1,780.3,1108.5,-780.3,-1108.5,-0.42,-0.26,30,30,-1,0.0,0.0,0.2,0.4,0.02,0.03,0.00,0.00,0.00,0.00,0.02,-0.49,81,-1,1,0,0.1,-0.00
1.70,climb,90.89,209.11,1.000,1,780.2,1108.5,-780.2,-1108.5,-0.33,-0.18,30,30,-1,0.0,0.0,0.3,0.2,-0.03,0.03,0.00,0.00,0.00,0.00,-0.01,-0.37,81,-1,1,-0,0.1,-0.00
1.80,climb,94.48,205.52,1.000,1,780.2,1108.5,-780.2,-1108.5,-0.22,-0.09,30,30,-1,0.0,0.0,0.5,-0.4,-0.08,0.02,0.00,0.00,0.00,0.00,-0.04,-0.25,81,-1,1,-0,-0.1,0.00
1.90,climb,100.33,199.67,1.000,1,780.2,1108.5,-780.2,-1108.5,-0.26,0.00,30,30,-1,0.0,0.0,0.5,-1.0,-0.11,0.02,0.00,0.00,0.00,0.00,-0.03,-0.23,81,-1,1,-0,-0.1,0.00
2.00,climb,104.54,195.46,1.000,1,780.2,1108.5,-780.2,-1108.5,-0.26,0.00,30,30,-1,0.0,0.0,0.5,-1.6,-0.11,0.00,0.00,0.00,0.00,0.00,-0.13,-0.23,81,-1,1,-0,-0.1,0.00
2.10,climb,106.74,193.26,0.992,1,780.1,1108.5,-780.1,-1108.5,-0.66,-0.18,30,30,-1,0.0,0.0,0.4,-1.9,-0.06,-0.01,0.00,0.00,0.00,0.00,-0.13,-0.41,81,-1,1,-0,0.1,0.00
2.20,climb,111.31,188.69,0.842,1,780.1,1108.5,-780.1,-1108.5,-0.66,-0.18,30,30,-1,0.0,0.0,0.3,-1.5,0.04,-0.02,0.00,0.00,0.00,0.00,-0.17,-0.66,81,-1,0,-0,0.1,-0.00
2.30,climb,118.60,181.40,0.682,1,779.9,1108.4,-780.0,-1108.5,-1.08,-0.44,30,30,-1,0.0,0.0,0.2,-0.6,0.13,-0.01,0.00,0.00,0.00,0.00,-0.19,-0.95,81,-1,0,-0,0.1,-0.00
2.40,climb,122.40,177.60,0.551,1,779.9,1108.4,-779.9,-1108.4,-1.08,-0.44,30,30,-1,0.0,0.0,0.1,0.7,0.19,-0.01,0.00,0.00,0.00,0.00,-0.15,-1.15,81,-1,0,-0,0.1,-0.00
2.50,climb,128.88,171.12,0.426,1,779.7,1108.3,-779.8,-1108.4,-0.94,-0.31,30,30,-1,0.0,0.0,0.1,1.7,0.18,0.00,0.00,0.00,0.00,0.00,-0.19,-1.13,81,-1,0,-0,0.1,-0.00
2.60,climb,131.50,168.50,0.358,1,779.6,1108.3,-779.7,-1108.3,-0.73,-0.18,30,30,-1,0.0,0.0,0.2,2.3,0.11,0.01,0.00,0.00,0.00,0.00,-0.20,-0.97,81,-1,0,-0,0.0,-0.00
