t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,-3.4,8.1,1113.4,1101.9,0.00,0.00,36,36,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.1,-0.00
0.10,climb,68.50,231.50,0.662,1,-3.4,8.1,1113.4,1101.9,-0.00,0.00,36,36,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-1,-1,0,-0,-0.0,-0.00
0.20,climb,68.50,231.50,0.938,1,-3.4,8.1,1113.4,1101.9,0.00,0.00,36,36,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,84,-1,0,-0,0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,-3.4,8.1,1113.4,1101.9,0.00,0.00,36,36,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.0,-0.00
0.40,climb,68.55,231.45,1.000,1,-3.4,8.1,1113.4,1101.9,0.00,0.00,36,36,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.0,-0.00
0.50,climb,68.75,231.25,1.000,1,-3.4,8.1,1113.4,1101.9,0.00,0.00,36,36,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.0,-0.00
0.60,climb,69.18,230.82,1.000,1,-3.4,8.1,1113.4,1101.9,0.00,0.00,36,36,-1,0.0,0.0,0.0,-0.0,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.0,-0.00
0.70,climb,70.42,229.58,1.000,1,-3.4,8.1,1113.4,1101.9,-0.00,0.00,36,36,-1,0.0,0.0,0.1,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,-0.0,0.00
0.80,climb,71.65,228.35,1.000,1,-3.4,8.1,1113.4,1101.9,-0.02,0.01,36,36,-1,0.0,0.0,0.2,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,-0.00,-0.00,84,-1,1,0,0.0,0.00
0.90,climb,72.39,227.61,1.000,1,-3.4,8.1,1113.4,1101.9,-0.02,0.01,36,36,-1,0.0,0.0,0.2,-0.1,-0.00,0.01,0.00,0.00,0.00,0.00,-0.02,-0.01,84,-1,1,0,0.0,0.00
1.00,climb,74.09,225.91,1.000,1,-3.4,8.1,1113.4,1101.9,-0.03,0.01,36,36,-1,0.0,0.0,0.2,-0.1,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.02,84,-1,1,0,0.0,0.00
1.10,climb,76.11,223.89,1.000,1,-3.4,8.1,1113.4,1101.9,-0.05,0.02,36,36,-1,0.0,0.0,0.1,-0.0,0.01,-0.01,0.00,0.00,0.00,0.00,-0.04,-0.03,84,-1,1,0,0.0,-0.00
1.20,climb,79.07,220.93,1.000,1,-3.4,8.1,1113.4,1101.9,-0.06,0.03,36,36,-1,0.0,0.0,0.0,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,-0.05,-0.04,84,-1,1,0,0.0,-0.00
1.30,climb,81.78,218.22,1.000,1,-3.4,8.1,1113.4,1101.9,-0.06,0.03,36,36,-1,0.0,0.0,-0.2,0.1,0.01,-0.03,0.00,0.00,0.00,0.00,-0.06,-0.03,84,-1,1,0,0.0,-0.00
1.40,climb,85.59,214.41,1.000,1,-3.5,8.1,1113.5,1101.9,-0.05,0.02,36,36,-1,0.0,0.0,-0.4,0.2,0.02,-0.04,0.00,0.00,0.00,0.00,-0.04,-0.03,84,-1,1,0,0.0,-0.00
1.50,climb,88.10,211.90,1.000,1,-3.5,8.1,1113.5,1101.9,0.05,-0.04,36,36,-1,0.0,0.0,-0.7,0.3,0.03,-0.05,0.00,0.00,0.00,0.00,-0.01,-0.01,84,-1,1,0,0.0,-0.00
1.60,climb,90.77,209.23,1.000,1,-3.4,8.1,1113.5,1101.9,0.17,-0.12,36,36,-1,0.0,0.0,-0.9,0.5,0.03,-0.05,0.00,0.00,0.00,0.00,0.06,0.02,84,-1,1,-0,0.0,-0.00
1.70,climb,95.58,204.42,1.000,1,-3.4,8.1,1113.4,1101.9,0.35,-0.23,36,36,-1,0.0,0.0,-1.0,0.8,0.04,-0.03,0.00,0.00,0.00,0.00,0.20,0.07,84,-1,1,-0,0.0,-0.00
1.80,climb,98.68,201.32,1.000,1,-3.4,8.0,1113.4,1101.9,0.59,-0.30,36,36,-1,0.0,0.0,-0.9,1.0,0.05,0.01,0.00,0.00,0.00,0.00,0.39,0.15,84,-1,1,-0,0.0,-0.00
1.90,climb,104.19,195.81,0.992,1,-3.4,8.0,1113.4,1102.0,0.59,-0.30,36,36,-1,0.0,0.0,-0.6,1.1,0.03,0.04,0.00,0.00,0.00,0.00,0.58,0.30,84,-1,1,-0,0.0,-0.00
2.00,climb,107.71,192.29,0.825,1,-3.3,8.0,1113.3,1102.0,0.83,-0.28,36,36,-1,0.0,0.0,-0.2,1.0,-0.01,0.05,0.00,0.00,0.00,0.00,0.71,0.51,84,-1,0,-0,-0.0,0.00
2.10,climb,115.22,184.78,0.639,1,-3.1,8.0,1113.2,1102.0,1.07,-0.07,36,36,-1,0.0,0.0,0.1,0.5,-0.06,0.05,0.00,0.00,0.00,0.00,0.75,0.71,84,-1,0,-0,-0.1,0.00
2.20,climb,119.15,180.85,0.487,1,-3.0,8.0,1113.1,1102.0,1.01,0.02,36,36,-1,0.0,0.0,0.3,-0.0,-0.09,0.03,0.00,0.00,0.00,0.00,0.69,0.83,84,-1,0,-0,-0.1,0.00
2.30,climb,123.16,176.84,0.371,1,-2.9,8.0,1113.0,1102.0,0.88,0.06,36,36,-1,0.0,0.0,0.3,-0.7,-0.10,0.01,0.00,0.00,0.00,0.00,0.57,0.84,84,-1,0,-0,-0.1,0.00
2.40,climb,129.92,170.08,0.273,1,-2.9,8.0,1112.9,1102.0,0.88,0.06,36,36,-1,0.0,0.0,0.3,-1.2,-0.09,-0.01,0.00,0.00,0.00,0.00,0.47,0.75,84,-1,0,0,-0.1,0.00
2.50,climb,133.98,166.02,0.226,1,-2.8,8.0,1112.8,1102.0,0.74,0.04,36,36,-1,0.0,0.0,0.1,-1.7,-0.09,-0.02,0.00,0.00,0.00,0.00,0.40,0.62,84,-1,0,0,-0.0,0.00
