t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,1.9,-8.2,1108.1,1118.2,0.00,0.00,45,45,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.662,1,1.9,-8.2,1108.1,1118.2,0.00,0.00,45,45,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.0,-0.00
0.20,climb,68.50,231.50,0.938,1,1.9,-8.2,1108.1,1118.2,0.00,0.00,45,45,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83,-1,0,-0,0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,1.9,-8.2,1108.1,1118.2,0.00,0.00,45,45,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,83,-1,1,0,0.0,0.00
0.40,climb,68.55,231.45,1.000,1,1.9,-8.2,1108.1,1118.2,0.00,0.00,45,45,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,83,-1,1,0,0.0,-0.00
0.50,climb,68.73,231.27,1.000,1,1.9,-8.2,1108.1,1118.2,0.00,0.00,45,45,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,83,-1,1,0,0.0,0.00
0.60,climb,69.13,230.87,1.000,1,1.9,-8.2,1108.1,1118.2,0.00,0.00,45,45,-1,0.0,0.0,-0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83,-1,1,0,0.0,0.00
0.70,climb,70.06,229.94,1.000,1,1.9,-8.2,1108.1,1118.2,0.01,0.00,45,45,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83,-1,1,0,0.0,0.00
0.80,climb,71.17,228.83,1.000,1,1.9,-8.2,1108.1,1118.2,0.00,0.00,45,45,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83,-1,1,0,0.0,0.00
0.90,climb,72.20,227.80,1.000,1,1.9,-8.2,1108.1,1118.2,0.00,0.00,45,45,-1,0.0,0.0,-0.1,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,83,-1,1,0,0.0,-0.00
1.00,climb,73.85,226.15,1.000,1,1.9,-8.2,1108.1,1118.2,0.01,0.00,45,45,-1,0.0,0.0,-0.3,0.2,0.02,-0.03,0.00,0.00,0.00,0.00,0.00,0.01,83,-1,1,0,0.0,-0.00
1.10,climb,76.33,223.67,1.000,1,1.9,-8.2,1108.1,1118.2,0.07,-0.01,45,45,-1,0.0,0.0,-0.5,0.4,0.03,-0.05,0.00,0.00,0.00,0.00,0.01,0.02,83,-1,1,0,0.0,-0.00
1.20,climb,79.26,220.74,1.000,1,1.9,-8.2,1108.1,1118.2,0.19,-0.06,45,45,-1,0.0,0.0,-0.8,0.6,0.04,-0.04,0.00,0.00,0.00,0.00,0.06,0.05,83,-1,1,0,0.0,-0.00
1.30,climb,81.24,218.76,1.000,1,1.9,-8.2,1108.1,1118.2,0.36,-0.12,45,45,-1,0.0,0.0,-0.9,0.9,0.05,-0.03,0.00,0.00,0.00,0.00,0.18,0.09,83,-1,1,0,0.0,-0.00
1.40,climb,83.37,216.63,1.000,1,1.9,-8.2,1108.1,1118.2,0.36,-0.12,45,45,-1,0.0,0.0,-0.8,1.1,0.05,0.00,0.00,0.00,0.00,0.00,0.34,0.17,83,-1,1,0,0.0,-0.00
1.50,climb,87.26,212.74,1.000,1,2.1,-8.2,1108.0,1118.2,0.80,-0.07,45,45,-1,0.0,0.0,-0.6,1.2,0.03,0.03,0.00,0.00,0.00,0.00,0.51,0.32,83,-1,1,0,-0.0,-0.00
1.60,climb,90.69,209.31,1.000,1,2.2,-8.2,1107.9,1118.2,0.98,0.04,45,45,-1,0.0,0.0,-0.3,1.1,-0.00,0.04,0.00,0.00,0.00,0.00,0.62,0.52,83,-1,1,0,-0.1,0.00
1.70,climb,94.40,205.60,1.000,1,2.3,-8.2,1107.8,1118.2,1.07,0.14,45,45,-1,0.0,0.0,0.1,0.8,-0.04,0.05,0.00,0.00,0.00,0.00,0.67,0.72,83,-1,1,0,-0.1,0.00
1.80,climb,97.37,202.63,1.000,1,2.4,-8.2,1107.7,1118.2,1.03,0.25,45,45,-1,0.0,0.0,0.3,0.4,-0.06,0.04,0.00,0.00,0.00,0.00,0.65,0.85,83,-1,1,0,-0.1,0.00
1.90,climb,102.66,197.34,1.000,1,2.4,-8.2,1107.6,1118.2,1.03,0.25,45,45,-1,0.0,0.0,0.3,-0.0,-0.06,0.01,0.00,0.00,0.00,0.00,0.55,0.90,83,-1,1,-0,-0.1,0.00
