t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,1121.4,1115.0,-1121.4,-1115.0,0.00,0.00,186,186,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.662,1,1121.4,1115.0,-1121.4,-1115.0,0.00,0.00,186,186,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.20,climb,68.50,231.50,0.937,1,1121.4,1115.0,-1121.4,-1115.0,0.00,0.00,186,186,-1,0.0,0.0,0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,0,0,0.0,0.00
0.30,climb,68.50,231.50,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.00,0.00,186,186,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,-0,0.0,-0.00
0.40,climb,68.54,231.46,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.00,0.00,186,186,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,-0,0.0,-0.00
0.50,climb,68.71,231.29,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.00,0.00,186,186,-1,0.0,0.0,0.1,0.0,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,-0,0.0,-0.00
0.60,climb,69.39,230.61,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.00,0.00,186,186,-1,0.0,0.0,0.1,0.1,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,-0,0.0,-0.00
0.70,climb,69.76,230.24,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.00,0.00,186,186,-1,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,-0,0.0,-0.00
0.80,climb,71.32,228.68,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.00,0.00,186,186,-1,0.0,0.0,0.1,-0.0,-0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,-0,-0.0,0.00
0.90,climb,72.73,227.27,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.00,0.00,186,186,-1,0.0,0.0,0.0,-0.2,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,-0,-0.0,0.00
1.00,climb,74.43,225.57,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.04,0.00,186,186,-1,0.0,0.0,-0.0,-0.4,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,-0,-0.0,0.00
1.10,climb,75.39,224.61,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.09,0.00,186,186,-1,0.0,0.0,0.0,-0.6,-0.03,0.01,0.00,0.00,0.00,0.00,-0.00,-0.04,79,-1,1,-0,0.0,0.00
1.20,climb,77.53,222.47,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.09,0.00,186,186,-1,0.0,0.0,0.2,-0.6,-0.01,0.03,0.00,0.00,0.00,0.00,-0.01,-0.09,79,-1,1,0,0.0,0.00
1.30,climb,79.95,220.05,1.000,1,1121.4,1115.0,-1121.4,-1115.0,0.18,0.00,186,186,-1,0.0,0.0,0.4,-0.4,0.02,0.03,0.00,0.00,0.00,0.00,-0.02,-0.17,79,-1,1,0,0.0,-0.00
1.40,climb,84.11,215.89,1.000,1,1121.5,1115.0,-1121.4,-1115.0,0.26,-0.09,186,186,-1,0.0,0.0,0.5,-0.1,0.05,0.02,0.00,0.00,0.00,0.00,-0.03,-0.26,79,-1,1,0,0.0,-0.00
1.50,climb,85.63,214.37,1.000,1,1121.5,1115.0,-1121.5,-1115.0,0.26,-0.09,186,186,-1,0.0,0.0,0.6,0.2,0.05,0.02,0.00,0.00,0.00,0.00,-0.12,-0.25,79,-1,1,0,0.0,-0.00
1.60,climb,90.63,209.37,1.000,1,1121.5,1115.0,-1121.5,-1115.0,0.26,-0.09,186,186,-1,0.0,0.0,0.6,0.4,0.03,0.01,0.00,0.00,0.00,0.00,-0.12,-0.25,79,-1,1,0,0.0,-0.00
