t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,-51.3,-43.7,1161.3,1153.7,0.00,0.00,69,69,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.663,1,-51.3,-43.7,1161.3,1153.7,0.00,0.00,69,69,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.20,climb,68.50,231.50,0.937,1,-51.3,-43.7,1161.3,1153.7,-0.00,-0.00,69,69,-1,0.0,0.0,0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,80,-1,0,0,0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,-51.3,-43.7,1161.3,1153.7,-0.00,-0.00,69,69,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,80,-1,1,0,0.0,-0.00
0.40,climb,68.53,231.47,1.000,1,-51.3,-43.7,1161.3,1153.7,0.00,0.00,69,69,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,80,-1,1,-0,0.0,-0.00
0.50,climb,68.69,231.31,1.000,1,-51.3,-43.7,1161.3,1153.7,0.00,0.01,69,69,-1,0.0,0.0,-0.0,0.0,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,80,-1,1,-0,0.0,-0.00
0.60,climb,69.30,230.70,1.000,1,-51.3,-43.7,1161.3,1153.7,0.01,0.01,69,69,-1,0.0,0.0,-0.1,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,80,-1,1,0,0.0,-0.00
0.70,climb,69.83,230.17,1.000,1,-51.3,-43.7,1161.3,1153.7,0.01,0.01,69,69,-1,0.0,0.0,-0.1,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.01,80,-1,1,0,0.0,-0.00
0.80,climb,70.52,229.48,1.000,1,-51.3,-43.7,1161.3,1153.7,0.02,0.02,69,69,-1,0.0,0.0,-0.1,0.2,0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.02,80,-1,1,0,0.0,-0.00
0.90,climb,72.00,228.00,1.000,1,-51.3,-43.7,1161.3,1153.7,0.05,0.03,69,69,-1,0.0,0.0,-0.2,0.2,0.01,-0.01,0.00,0.00,0.00,0.00,0.02,0.03,80,-1,1,0,0.0,-0.00
1.00,climb,73.09,226.91,1.000,1,-51.3,-43.7,1161.3,1153.7,0.05,0.03,69,69,-1,0.0,0.0,-0.2,0.3,0.01,-0.00,0.00,0.00,0.00,0.00,0.03,0.05,80,-1,1,0,0.0,0.00
1.10,climb,74.78,225.22,1.000,1,-51.3,-43.7,1161.3,1153.7,0.06,0.05,69,69,-1,0.0,0.0,-0.2,0.3,0.01,-0.00,0.00,0.00,0.00,0.00,0.04,0.07,80,-1,1,0,0.0,0.00
1.20,climb,77.26,222.74,1.000,1,-51.3,-43.7,1161.3,1153.7,0.09,0.06,69,69,-1,0.0,0.0,-0.2,0.4,0.01,-0.00,0.00,0.00,0.00,0.00,0.06,0.09,80,-1,1,0,0.0,0.00
1.30,climb,78.94,221.06,1.000,1,-51.3,-43.7,1161.3,1153.7,0.10,0.08,69,69,-1,0.0,0.0,-0.2,0.4,0.01,-0.00,0.00,0.00,0.00,0.00,0.07,0.11,80,-1,1,0,-0.0,0.00
1.40,climb,82.07,217.93,1.000,1,-51.2,-43.6,1161.2,1153.6,0.15,0.12,69,69,-1,0.0,0.0,-0.2,0.4,0.01,-0.00,0.00,0.00,0.00,0.00,0.08,0.14,80,-1,1,0,0.0,0.00
1.50,climb,84.14,215.86,1.000,1,-51.2,-43.6,1161.2,1153.6,0.15,0.12,69,69,-1,0.0,0.0,-0.2,0.5,0.01,-0.00,0.00,0.00,0.00,0.00,0.10,0.17,80,-1,1,0,0.0,0.00
1.60,climb,87.12,212.88,1.000,1,-51.2,-43.6,1161.2,1153.6,0.17,0.15,69,69,-1,0.0,0.0,-0.2,0.5,0.01,-0.00,0.00,0.00,0.00,0.00,0.11,0.20,80,-1,1,0,0.0,0.00
1.70,climb,90.36,209.64,1.000,1,-51.2,-43.6,1161.2,1153.6,0.22,0.20,69,69,-1,0.0,0.0,-0.2,0.5,0.01,-0.00,0.00,0.00,0.00,0.00,0.12,0.23,80,-1,1,0,-0.0,0.00
1.80,climb,93.84,206.16,1.000,1,-51.1,-43.6,1161.2,1153.6,0.24,0.23,69,69,-1,0.0,0.0,-0.2,0.6,0.01,0.00,0.00,0.00,0.00,0.00,0.13,0.27,80,-1,1,0,-0.0,0.00
1.90,climb,98.53,201.47,1.000,1,-51.1,-43.5,1161.1,1153.6,0.26,0.26,69,69,-1,0.0,0.0,-0.1,0.6,0.01,0.00,0.00,0.00,0.00,0.00,0.14,0.30,80,-1,1,0,-0.0,0.00
2.00,climb,101.53,198.47,1.000,1,-51.1,-43.5,1161.1,1153.5,0.26,0.26,69,69,-1,0.0,0.0,-0.1,0.6,0.01,0.00,0.00,0.00,0.00,0.00,0.15,0.34,80,-1,1,0,-0.0,0.00
2.10,climb,105.75,194.25,1.000,1,-51.1,-43.5,1161.1,1153.5,0.30,0.33,69,69,-1,0.0,0.0,-0.1,0.6,0.01,0.00,0.00,0.00,0.00,0.00,0.15,0.38,80,-1,1,0,-0.0,0.00
2.20,climb,110.20,189.80,0.907,1,-51.1,-43.5,1161.1,1153.5,0.30,0.33,69,69,-1,0.0,0.0,-0.1,0.6,0.01,0.00,0.00,0.00,0.00,0.00,0.16,0.41,80,-1,0,0,-0.0,0.00
2.30,climb,114.88,185.12,0.770,1,-51.0,-43.4,1161.0,1153.4,0.31,0.37,69,69,-1,0.0,0.0,-0.0,0.6,0.01,0.01,0.00,0.00,0.00,0.00,0.16,0.45,80,-1,0,0,-0.0,0.00
2.40,climb,122.31,177.69,0.612,1,-51.0,-43.4,1161.0,1153.4,0.33,0.44,69,69,-1,0.0,0.0,0.0,0.7,0.01,0.01,0.00,0.00,0.00,0.00,0.15,0.49,80,-1,0,0,0.0,0.00
2.50,climb,126.15,173.85,0.496,1,-50.9,-43.3,1161.0,1153.4,0.34,0.47,69,69,-1,0.0,0.0,0.1,0.7,0.01,0.01,0.00,0.00,0.00,0.00,0.15,0.53,80,-1,0,0,-0.0,0.00
2.60,climb,130.05,169.95,0.403,1,-50.9,-43.3,1160.9,1153.3,0.34,0.47,69,69,-1,0.0,0.0,0.1,0.7,0.01,0.01,0.00,0.00,0.00,0.00,0.14,0.56,80,-1,0,0,-0.0,0.00
2.70,climb,136.61,163.39,0.315,1,-50.9,-43.2,1160.9,1153.3,0.33,0.51,69,69,-1,0.0,0.0,0.2,0.7,0.01,0.01,0.00,0.00,0.00,0.00,0.13,0.58,80,-1,0,0,-0.0,0.00
2.80,climb,140.55,159.45,0.269,1,-50.9,-43.2,1160.9,1153.2,0.33,0.51,69,69,-1,0.0,0.0,0.2,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.60,80,-1,0,0,-0.0,0.00
2.90,climb,147.08,152.92,0.221,1,-50.8,-43.1,1160.8,1153.2,0.32,0.53,69,69,-1,0.0,0.0,0.1,0.6,-0.00,-0.00,0.00,0.00,0.00,0.00,0.12,0.61,80,-1,0,0,-0.0,-0.00
3.00,climb,152.24,147.76,0.197,1,-50.8,-43.1,1160.8,1153.1,0.32,0.53,69,69,-1,0.0,0.0,0.1,0.5,-0.00,-0.00,0.00,0.00,0.00,0.00,0.11,0.61,80,-1,0,0,0.0,0.00
3.10,climb,157.33,142.67,0.177,1,-50.7,-43.0,1160.8,1153.1,0.32,0.53,69,69,-1,0.0,0.0,0.1,0.5,-0.00,-0.00,0.00,0.00,0.00,0.00,0.11,0.61,80,-1,0,0,0.0,-0.00
3.20,climb,162.33,137.67,0.171,1,-50.7,-43.0,1160.7,1153.0,0.32,0.53,69,69,-1,0.0,0.0,0.1,0.4,-0.00,-0.00,0.00,0.00,0.00,0.00,0.10,0.61,80,-1,0,0,0.0,-0.00
3.30,climb,167.22,132.78,0.173,1,-50.7,-42.9,1160.7,1152.9,0.31,0.53,69,69,-1,0.0,0.0,0.0,0.3,-0.00,-0.00,0.00,0.00,0.00,0.00,0.10,0.61,80,-1,0,0,0.0,-0.00
