t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,-6.2,-6.7,1116.2,1116.7,0.00,0.00,20,20,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.663,1,-6.2,-6.7,1116.2,1116.7,-0.00,-0.00,20,20,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.0,-0.00
0.20,climb,68.50,231.50,0.938,1,-6.2,-6.7,1116.2,1116.7,-0.00,-0.00,20,20,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,82,-1,0,-0,0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,-6.2,-6.7,1116.2,1116.7,0.00,0.00,20,20,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,82,-1,1,-0,-0.0,-0.00
0.40,climb,68.56,231.44,1.000,1,-6.2,-6.7,1116.2,1116.7,0.00,0.00,20,20,-1,0.0,0.0,-0.0,0.0,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.50,climb,68.79,231.21,1.000,1,-6.2,-6.7,1116.2,1116.7,0.00,-0.00,20,20,-1,0.0,0.0,-0.1,0.0,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,0.0,0.00
0.60,climb,69.27,230.73,1.000,1,-6.2,-6.7,1116.2,1116.7,0.01,-0.01,20,20,-1,0.0,0.0,-0.1,0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,82,-1,1,0,0.0,-0.00
0.70,climb,70.08,229.92,1.000,1,-6.2,-6.7,1116.2,1116.7,0.01,-0.01,20,20,-1,0.0,0.0,-0.2,-0.1,-0.01,-0.01,0.00,0.00,0.00,0.00,0.02,0.00,82,-1,1,0,0.0,-0.00
0.80,climb,71.26,228.74,1.000,1,-6.2,-6.7,1116.2,1116.7,0.01,-0.03,20,20,-1,0.0,0.0,-0.2,-0.1,0.00,-0.01,0.00,0.00,0.00,0.00,0.03,-0.00,82,-1,1,-0,0.0,-0.00
0.90,climb,73.68,226.32,1.000,1,-6.2,-6.7,1116.2,1116.7,0.02,-0.06,20,20,-1,0.0,0.0,-0.2,0.1,0.03,-0.01,0.00,0.00,0.00,0.00,0.05,-0.01,82,-1,1,-0,-0.0,0.00
