t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,1111.8,1094.2,-1111.8,-1094.2,0.00,0.00,299,299,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.10,climb,68.50,231.50,0.662,1,1111.8,1094.2,-1111.8,-1094.2,0.00,0.00,299,299,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,0.00
0.20,climb,68.50,231.50,0.937,1,1111.8,1094.2,-1111.8,-1094.2,0.00,0.00,299,299,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,0,0,0.0,0.00
0.30,climb,68.50,231.50,1.000,1,1111.8,1094.2,-1111.8,-1094.2,0.00,0.00,299,299,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,-0,0.0,-0.00
0.40,climb,68.55,231.45,1.000,1,1111.8,1094.2,-1111.8,-1094.2,0.00,0.00,299,299,-1,0.0,0.0,0.0,0.1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,0,-0.0,0.00
0.50,climb,68.73,231.27,1.000,1,1111.8,1094.2,-1111.8,-1094.2,0.00,0.00,299,299,-1,0.0,0.0,0.1,0.1,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,0,-0.0,0.00
0.60,climb,69.42,230.58,1.000,1,1111.8,1094.2,-1111.8,-1094.2,0.00,-0.04,299,299,-1,0.0,0.0,0.1,0.2,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,0,-0.0,0.00
0.70,climb,69.79,230.21,1.000,1,1111.8,1094.2,-1111.8,-1094.2,0.00,-0.04,299,299,-1,0.0,0.0,0.1,0.1,-0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.04,79,-1,1,0,-0.0,0.00
0.80,climb,71.37,228.63,1.000,1,1111.8,1094.2,-1111.8,-1094.2,0.09,0.00,299,299,-1,0.0,0.0,0.1,-0.0,-0.02,-0.00,0.00,0.00,0.00,0.00,-0.03,0.12,79,-1,1,0,-0.0,0.00
0.90,climb,72.04,227.96,1.000,1,1111.8,1094.2,-1111.8,-1094.2,0.09,0.00,299,299,-1,0.0,0.0,0.0,-0.2,-0.02,-0.01,0.00,0.00,0.00,0.00,-0.08,0.04,79,-1,1,0,-0.0,0.00
