t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,98.2,212.1,1011.8,897.9,0.00,0.00,182,182,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.662,1,98.2,212.1,1011.8,897.9,0.00,0.00,182,182,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.20,climb,68.50,231.50,0.937,1,98.2,212.1,1011.8,897.9,0.00,0.00,182,182,-1,0.0,0.0,0.0,-0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,0,-0,0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,98.2,212.2,1011.8,897.8,-0.00,0.00,182,182,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79,-1,1,-0,0.4,-0.01
0.40,climb,68.55,231.45,1.000,1,98.2,212.2,1011.8,897.8,-0.01,0.03,182,182,-1,0.0,0.0,-0.0,-0.0,0.00,-0.01,0.00,0.00,0.00,0.00,0.03,0.00,79,-1,1,-0,0.0,0.00
0.50,climb,68.74,231.26,1.000,1,98.2,212.2,1011.8,897.8,-0.01,0.03,182,182,-1,0.0,0.0,-0.1,0.0,0.00,-0.01,0.00,0.00,0.00,0.00,0.03,0.00,79,-1,1,-0,0.0,-0.00
0.60,climb,69.27,230.73,1.000,1,98.2,212.2,1011.8,897.8,-0.01,0.04,182,182,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.04,0.00,79,-1,1,-0,-0.0,-0.00
0.70,climb,70.02,229.98,1.000,1,98.2,212.2,1011.8,897.8,0.00,0.05,182,182,-1,0.0,0.0,-0.1,-0.1,-0.02,0.01,0.00,0.00,0.00,0.00,0.04,0.00,79,-1,1,-0,0.0,0.00
0.80,climb,70.78,229.22,1.000,1,98.2,212.2,1011.8,897.8,0.00,0.05,182,182,-1,0.0,0.0,0.1,-0.2,-0.02,0.03,0.00,0.00,0.00,0.00,0.05,-0.00,79,-1,1,-0,0.0,-0.00
0.90,climb,72.42,227.58,1.000,1,98.2,212.2,1011.8,897.8,0.04,0.03,182,182,-1,0.0,0.0,0.3,-0.3,-0.01,0.03,0.00,0.00,0.00,0.00,0.04,-0.02,79,-1,1,-0,0.0,-0.00
