t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,wx,wyr,wz
0.00,climb,68.50,431.50,0.398,1,486.4,754.2,513.6,1245.8,0.00,0.00,93,93,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,0.00,0.000,0.000,-0.000
0.10,climb,68.50,431.50,0.662,1,486.4,754.2,513.6,1245.8,0.00,0.00,93,93,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.0,-0.00,-0.000,-0.000,0.000
0.20,climb,68.50,431.50,0.937,1,486.4,754.2,513.6,1245.8,0.00,0.00,93,93,-1,0.0,0.0,-0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77,-1,0,-0,-0.0,-0.00,0.000,0.000,-0.000
0.30,climb,68.50,431.50,1.000,1,486.4,754.2,513.6,1245.8,-0.00,0.00,93,93,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,77,-1,1,0,-0.6,0.01,0.006,0.010,0.007
0.40,climb,68.55,431.45,1.000,1,486.4,754.2,513.6,1245.8,0.00,0.00,93,93,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77,-1,1,0,0.0,0.00,0.000,0.000,0.000
0.50,climb,68.74,431.26,1.000,1,486.4,754.2,513.6,1245.8,0.00,0.00,93,93,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77,-1,1,0,0.0,0.00,0.000,0.000,0.000
0.60,climb,69.32,430.68,1.000,1,486.4,754.2,513.6,1245.8,0.00,0.00,93,93,-1,0.0,0.0,-0.0,0.0,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,77,-1,1,0,0.0,0.00,0.000,0.000,0.000
0.70,climb,70.38,429.62,1.000,1,486.4,754.2,513.6,1245.8,0.00,0.00,93,93,-1,0.0,0.0,-0.1,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,77,-1,1,0,0.0,0.00,-0.009,0.000,-0.013
0.80,climb,70.95,429.05,1.000,1,486.4,754.2,513.6,1245.8,0.00,0.00,93,93,-1,0.0,0.0,-0.1,0.1,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,77,-1,1,0,-0.0,0.00,-0.009,0.000,-0.013
0.90,climb,72.33,427.67,1.000,1,486.4,754.2,513.6,1245.8,0.02,0.00,93,93,-1,0.0,0.0,0.1,-0.0,-0.02,0.02,0.00,0.00,0.00,0.00,0.02,-0.00,77,-1,1,0,-0.0,0.00,0.020,0.000,0.016
1.00,climb,74.99,425.01,1.000,1,486.4,754.2,513.6,1245.8,-0.01,0.00,93,93,-1,0.0,0.0,0.3,-0.3,-0.04,0.05,0.00,0.00,0.00,0.00,0.01,-0.00,77,-1,1,0,-0.0,0.00,0.054,0.000,0.050
1.10,climb,76.03,423.97,1.000,1,486.4,754.2,513.6,1245.8,-0.01,0.00,93,93,-1,0.0,0.0,0.6,-0.5,-0.05,0.05,0.00,0.00,0.00,0.00,-0.01,0.00,77,-1,1,0,-0.0,0.00,0.054,0.000,0.050
1.20,climb,78.35,421.65,1.000,1,486.4,754.2,513.6,1245.8,-0.05,-0.04,93,93,-1,0.0,0.0,0.8,-0.6,-0.02,0.02,0.00,0.00,0.00,0.00,-0.06,-0.04,77,-1,1,0,-0.0,0.00,0.033,0.000,0.027
