t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,1212.0,1147.1,-1212.0,-1147.1,0.00,0.00,190,190,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.663,1,1212.0,1147.1,-1212.0,-1147.1,0.00,0.00,190,190,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1,-1,0,0,-0.0,0.00
0.20,climb,68.50,231.50,0.937,1,1212.0,1147.1,-1212.0,-1147.1,0.00,0.00,190,190,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,0,-0,0.1,0.00
0.30,climb,68.50,231.50,1.000,1,1212.0,1147.1,-1212.0,-1147.1,0.00,0.00,190,190,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,-0,-0.0,-0.00
0.40,climb,68.53,231.47,1.000,1,1212.0,1147.1,-1212.0,-1147.1,0.00,0.00,190,190,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,-0,-0.0,-0.00
0.50,climb,68.69,231.31,1.000,1,1212.0,1147.1,-1212.0,-1147.1,0.00,0.00,190,190,-1,0.0,0.0,0.0,-0.0,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,-0,-0.0,0.00
0.60,climb,69.32,230.68,1.000,1,1212.0,1147.1,-1212.0,-1147.1,0.00,0.00,190,190,-1,0.0,0.0,-0.0,-0.2,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,-0,-0.0,0.00
0.70,climb,69.66,230.34,1.000,1,1212.0,1147.1,-1212.0,-1147.1,0.00,0.00,190,190,-1,0.0,0.0,-0.0,-0.3,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,-0,-0.0,0.00
0.80,climb,71.11,228.89,1.000,1,1212.0,1147.1,-1212.0,-1147.1,0.09,0.00,190,190,-1,0.0,0.0,-0.1,-0.5,-0.03,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,81,-1,1,0,-0.0,0.00
0.90,climb,72.42,227.58,1.000,1,1212.0,1147.1,-1212.0,-1147.1,0.09,0.00,190,190,-1,0.0,0.0,-0.0,-0.7,-0.04,0.00,0.00,0.00,0.00,0.00,-0.02,-0.09,81,-1,1,0,-0.0,0.00
1.00,climb,74.01,225.99,1.000,1,1212.0,1147.1,-1212.0,-1147.1,0.18,0.00,190,190,-1,0.0,0.0,0.0,-0.9,-0.04,0.01,0.00,0.00,0.00,0.00,-0.02,-0.09,81,-1,1,0,-0.0,0.00
1.10,climb,74.90,225.10,1.000,1,1212.0,1147.1,-1212.0,-1147.1,0.18,0.00,190,190,-1,0.0,0.0,0.0,-1.0,-0.03,0.00,0.00,0.00,0.00,0.00,-0.03,-0.17,81,-1,1,0,-0.0,0.00
1.20,climb,76.90,223.10,1.000,1,1212.0,1147.1,-1212.0,-1147.1,0.31,0.09,190,190,-1,0.0,0.0,0.0,-0.9,0.01,-0.00,0.00,0.00,0.00,0.00,0.03,-0.32,81,-1,1,0,0.0,0.00
1.30,climb,80.40,219.60,1.000,1,1212.1,1147.1,-1212.0,-1147.1,0.53,0.09,190,190,-1,0.0,0.0,-0.1,-0.6,0.05,-0.01,0.00,0.00,0.00,0.00,0.01,-0.45,81,-1,1,0,0.1,-0.00
1.40,climb,83.07,216.93,1.000,1,1212.2,1147.1,-1212.1,-1147.1,0.53,0.09,190,190,-1,0.0,0.0,-0.1,-0.1,0.06,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.53,81,-1,1,0,0.1,-0.00
1.50,climb,86.00,214.00,1.000,1,1212.2,1147.1,-1212.2,-1147.1,0.53,0.09,190,190,-1,0.0,0.0,-0.0,0.2,0.05,0.01,0.00,0.00,0.00,0.00,-0.01,-0.53,81,-1,1,0,0.1,-0.00
1.60,climb,88.37,211.63,1.000,1,1212.2,1147.1,-1212.2,-1147.1,0.53,0.09,190,190,-1,0.0,0.0,0.1,0.3,0.02,0.03,0.00,0.00,0.00,0.00,-0.01,-0.53,81,-1,1,0,0.1,-0.00
1.70,climb,90.89,209.11,1.000,1,1212.2,1147.1,-1212.2,-1147.1,0.40,0.09,190,190,-1,0.0,0.0,0.3,0.1,-0.03,0.03,0.00,0.00,0.00,0.00,0.02,-0.40,81,-1,1,-0,0.1,-0.00
1.80,climb,94.48,205.52,1.000,1,1212.3,1147.1,-1212.3,-1147.1,0.26,0.00,190,190,-1,0.0,0.0,0.4,-0.4,-0.08,0.02,0.00,0.00,0.00,0.00,-0.05,-0.26,81,-1,1,-0,-0.0,0.00
1.90,climb,98.32,201.68,1.000,1,1212.3,1147.1,-1212.3,-1147.1,0.26,0.00,190,190,-1,0.0,0.0,0.5,-1.1,-0.11,0.02,0.00,0.00,0.00,0.00,-0.05,-0.26,81,-1,1,-0,-0.1,0.00
2.00,climb,104.54,195.46,1.000,1,1212.4,1147.1,-1212.3,-1147.1,0.44,0.00,190,190,-1,0.0,0.0,0.5,-1.7,-0.11,0.00,0.00,0.00,0.00,0.00,-0.05,-0.26,81,-1,1,-0,-0.0,0.00
2.10,climb,106.74,193.26,0.992,1,1212.4,1147.1,-1212.4,-1147.1,0.44,0.00,190,190,-1,0.0,0.0,0.4,-1.9,-0.06,-0.01,0.00,0.00,0.00,0.00,-0.08,-0.43,81,-1,1,-0,-0.0,0.00
2.20,climb,111.31,188.69,0.842,1,1212.4,1147.1,-1212.4,-1147.1,0.70,0.00,190,190,-1,0.0,0.0,0.2,-1.5,0.04,-0.02,0.00,0.00,0.00,0.00,-0.12,-0.69,81,-1,0,-0,0.1,-0.00
2.30,climb,118.59,181.41,0.682,1,1212.6,1147.2,-1212.5,-1147.1,1.19,0.09,190,190,-1,0.0,0.0,0.1,-0.6,0.13,-0.01,0.00,0.00,0.00,0.00,-0.18,-0.99,81,-1,0,-0,0.1,-0.00
2.40,climb,123.68,176.32,0.541,1,1212.8,1147.2,-1212.6,-1147.2,1.14,0.09,190,190,-1,0.0,0.0,0.1,0.6,0.19,-0.01,0.00,0.00,0.00,0.00,-0.12,-1.18,81,-1,0,-0,0.1,-0.00
2.50,climb,127.57,172.43,0.436,1,1212.8,1147.2,-1212.8,-1147.2,1.14,0.09,190,190,-1,0.0,0.0,0.1,1.7,0.18,0.00,0.00,0.00,0.00,0.00,-0.11,-1.14,81,-1,0,-0,0.1,-0.00
2.60,climb,131.49,168.51,0.359,1,1212.9,1147.2,-1212.9,-1147.2,1.01,0.00,190,190,-1,0.0,0.0,0.2,2.2,0.10,0.02,0.00,0.00,0.00,0.00,-0.18,-0.99,81,-1,0,-0,0.1,-0.00
2.70,climb,139.37,160.63,0.275,1,1213.0,1147.2,-1212.9,-1147.2,0.57,-0.09,190,190,-1,0.0,0.0,0.3,2.1,0.00,0.02,0.00,0.00,0.00,0.00,-0.14,-0.78,81,-1,0,-0,-0.0,-0.00
2.80,climb,143.28,156.72,0.243,1,1213.0,1147.2,-1213.0,-1147.2,0.57,-0.09,190,190,-1,0.0,0.0,0.4,1.5,-0.09,0.02,0.00,0.00,0.00,0.00,-0.19,-0.55,81,-1,0,-0,-0.0,-0.00
2.90,climb,147.17,152.83,0.225,1,1213.1,1147.1,-1213.1,-1147.1,0.44,-0.09,190,190,-1,0.0,0.0,0.5,0.5,-0.15,0.01,0.00,0.00,0.00,0.00,-0.16,-0.42,81,-1,0,-0,-0.2,0.00
3.00,climb,154.85,145.15,0.184,1,1213.1,1147.1,-1213.1,-1147.1,0.35,-0.18,190,190,-1,0.0,0.0,0.5,-0.6,-0.16,0.01,0.00,0.00,0.00,0.00,-0.24,-0.32,81,-1,0,-0,-0.2,0.00
3.10,climb,159.87,140.13,0.168,1,1213.1,1147.1,-1213.1,-1147.1,0.35,-0.18,190,190,-1,0.0,0.0,0.5,-1.4,-0.13,0.01,0.00,0.00,0.00,0.00,-0.24,-0.31,81,-1,0,-0,-0.2,0.00
3.20,climb,164.79,135.21,0.162,1,1213.2,1147.1,-1213.2,-1147.1,0.44,-0.18,190,190,-1,0.0,0.0,0.5,-1.8,-0.09,0.01,0.00,0.00,0.00,0.00,-0.25,-0.40,81,-1,0,-0,-0.1,0.00
3.30,climb,167.21,132.79,0.186,1,1213.2,1147.1,-1213.2,-1147.1,0.44,-0.18,190,190,-1,0.0,0.0,0.5,-1.9,-0.03,0.01,0.00,0.00,0.00,0.00,-0.25,-0.40,81,-1,0,-0,-0.1,0.00
3.40,climb,171.98,128.02,0.191,1,1213.3,1147.1,-1213.3,-1147.1,0.53,-0.18,190,190,-1,0.0,0.0,0.5,-1.7,0.02,0.00,0.00,0.00,0.00,0.00,-0.27,-0.49,81,-1,0,-0,-0.1,0.00
3.50,climb,178.95,121.05,0.173,1,1213.4,1147.0,-1213.3,-1147.0,0.62,-0.18,190,190,-1,0.0,0.0,0.4,-1.3,0.05,-0.01,0.00,0.00,0.00,0.00,-0.27,-0.49,81,-1,0,-0,0.1,-0.00
3.60,climb,183.48,116.52,0.173,1,1213.4,1147.0,-1213.4,-1147.0,0.62,-0.09,190,190,-1,0.0,0.0,0.3,-0.8,0.07,-0.01,0.00,0.00,0.00,0.00,-0.28,-0.57,81,-1,0,-0,0.1,-0.00
3.70,climb,185.70,114.30,0.197,1,1213.4,1147.0,-1213.4,-1147.0,0.62,-0.09,190,190,-1,0.0,0.0,0.2,-0.3,0.07,-0.01,0.00,0.00,0.00,0.00,-0.19,-0.59,81,-1,0,-0,0.1,-0.00
3.80,climb,192.25,107.75,0.177,1,1213.6,1147.0,-1213.5,-1147.0,0.62,-0.13,190,190,-1,0.0,0.0,0.1,0.2,0.07,-0.01,0.00,0.00,0.00,0.00,-0.19,-0.59,81,-1,0,-0,0.1,-0.00
