t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,479.7,503.5,630.3,606.5,0.00,0.00,341,341,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.10,climb,68.50,231.50,0.662,1,479.7,503.5,630.3,606.5,0.00,0.00,341,341,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,-0.0,-0.00
0.20,climb,68.50,231.50,0.938,1,479.7,503.5,630.3,606.5,0.00,0.00,341,341,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,0,-0,-0.0,0.00
0.30,climb,68.50,231.50,1.000,1,479.7,503.5,630.3,606.5,0.00,0.00,341,341,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.4,0.01
0.40,climb,68.56,231.44,1.000,1,479.7,503.5,630.3,606.5,0.00,0.00,341,341,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,0.0,0.00
0.50,climb,68.76,231.24,1.000,1,479.7,503.5,630.3,606.5,0.00,0.00,341,341,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.60,climb,69.20,230.80,1.000,1,479.7,503.5,630.3,606.5,0.00,0.00,341,341,-1,0.0,0.0,0.0,-0.0,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.70,climb,69.97,230.03,1.000,1,479.7,503.5,630.3,606.5,0.00,0.00,341,341,-1,0.0,0.0,0.1,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.80,climb,71.75,228.25,1.000,1,479.7,503.5,630.3,606.5,0.00,0.02,341,341,-1,0.0,0.0,0.1,-0.1,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,0.0,0.00
0.90,climb,72.52,227.48,1.000,1,479.7,503.5,630.3,606.5,0.00,0.02,341,341,-1,0.0,0.0,0.0,0.1,0.02,-0.02,0.00,0.00,0.00,0.00,-0.02,-0.01,82,-1,1,0,0.0,-0.00
