t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,1112.4,1108.0,-1112.4,-1108.0,0.00,0.00,347,347,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.662,1,1112.4,1108.0,-1112.4,-1108.0,0.00,0.00,347,347,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.20,climb,68.50,231.50,0.937,1,1112.4,1108.0,-1112.4,-1108.0,0.00,0.00,347,347,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,0,-0,-0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,1112.4,1108.0,-1112.4,-1108.0,0.00,0.00,347,347,-1,0.0,0.0,-0.0,-0.0,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.40,climb,68.56,231.44,1.000,1,1112.4,1108.0,-1112.4,-1108.0,0.00,0.00,347,347,-1,0.0,0.0,-0.1,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.50,climb,68.78,231.22,1.000,1,1112.4,1108.0,-1112.4,-1108.0,0.00,0.00,347,347,-1,0.0,0.0,-0.2,-0.0,0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.60,climb,69.26,230.74,1.000,1,1112.4,1108.0,-1112.4,-1108.0,0.00,0.00,347,347,-1,0.0,0.0,-0.3,0.2,0.03,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,0,-0.0,0.00
0.70,climb,70.34,229.66,1.000,1,1112.4,1108.0,-1112.4,-1108.0,0.00,-0.09,347,347,-1,0.0,0.0,-0.4,0.4,0.03,-0.02,0.00,0.00,0.00,0.00,0.09,0.02,82,-1,1,0,-0.1,0.00
0.80,climb,71.97,228.03,1.000,1,1112.4,1108.0,-1112.4,-1108.0,0.00,-0.18,347,347,-1,0.0,0.0,-0.5,0.5,0.03,-0.02,0.00,0.00,0.00,0.00,0.09,0.02,82,-1,1,0,0.2,0.00
0.90,climb,73.67,226.33,1.000,1,1112.4,1108.0,-1112.4,-1108.0,0.09,-0.18,347,347,-1,0.0,0.0,-0.6,0.6,0.01,-0.02,0.00,0.00,0.00,0.00,0.17,0.04,82,-1,1,0,0.8,-0.00
1.00,climb,75.18,224.82,1.000,1,1112.4,1108.0,-1112.4,-1108.0,0.09,-0.18,347,347,-1,0.0,0.0,-0.6,0.5,-0.01,-0.02,0.00,0.00,0.00,0.00,0.15,0.13,82,-1,1,0,0.8,-0.02
1.10,climb,78.12,221.88,1.000,1,1112.4,1107.9,-1112.4,-1108.0,0.18,-0.35,347,347,-1,0.0,0.0,-0.7,0.3,-0.03,-0.02,0.00,0.00,0.00,0.00,0.22,0.23,82,-1,1,0,1.7,-0.03
1.20,climb,80.13,219.87,1.000,1,1112.4,1107.9,-1112.4,-1107.9,0.18,-0.35,347,347,-1,0.0,0.0,-0.8,0.1,-0.02,-0.02,0.00,0.00,0.00,0.00,0.30,0.25,82,-1,1,-0,1.7,-0.03
1.30,climb,82.34,217.66,1.000,1,1112.4,1107.9,-1112.4,-1107.9,0.18,-0.35,347,347,-1,0.0,0.0,-0.8,0.2,0.01,-0.02,0.00,0.00,0.00,0.00,0.30,0.25,82,-1,1,-0,1.3,-0.03
1.40,climb,87.32,212.68,1.000,1,1112.5,1107.8,-1112.4,-1107.8,0.09,-0.53,347,347,-1,0.0,0.0,-0.9,0.5,0.05,-0.02,0.00,0.00,0.00,0.00,0.40,0.23,82,-1,1,-0,0.1,-0.02
1.50,climb,91.05,208.95,1.000,1,1112.5,1107.7,-1112.5,-1107.8,0.18,-0.62,347,347,-1,0.0,0.0,-0.9,0.8,0.06,-0.02,0.00,0.00,0.00,0.00,0.49,0.21,82,-1,1,-0,-0.2,-0.01
