t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.52,231.48,0.398,1,53.8,-129.7,1056.2,1239.7,0.00,0.00,230,230,-1,0.0,0.0,0.5,-0.4,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.10,climb,68.52,231.48,0.654,1,53.8,-129.8,1056.2,1239.8,0.02,-0.36,230,230,-1,0.0,0.0,0.7,0.1,0.07,0.04,0.00,0.00,0.00,0.00,-0.25,0.26,-1,-1,0,-0,-0.0,0.00
0.20,climb,68.51,231.49,0.942,1,53.7,-129.7,1056.2,1239.8,-0.29,0.30,230,230,-1,0.0,0.0,0.3,0.4,0.05,-0.07,0.00,0.00,0.00,0.00,0.17,0.21,78,-1,0,-0,0.1,-0.00
0.30,climb,68.53,231.47,1.000,1,53.7,-129.7,1056.3,1239.7,-0.29,0.30,230,230,-1,0.0,0.0,-0.4,0.1,-0.03,-0.10,0.00,0.00,0.00,0.00,0.41,-0.04,78,-1,1,-0,-0.1,0.00
0.40,climb,68.60,231.40,1.000,1,53.7,-129.7,1056.3,1239.7,-0.07,0.28,230,230,-1,0.0,0.0,-0.8,-0.3,-0.07,-0.06,0.00,0.00,0.00,0.00,0.23,-0.17,78,-1,1,0,-0.3,0.01
0.50,climb,68.79,231.21,1.000,1,53.7,-129.7,1056.3,1239.7,-0.23,0.36,230,230,-1,0.0,0.0,-0.9,-0.8,-0.09,-0.03,0.00,0.00,0.00,0.00,0.27,-0.13,78,-1,1,0,-0.2,0.00
0.60,climb,69.45,230.55,1.000,1,53.7,-129.6,1056.3,1239.7,-0.29,0.53,230,230,-1,0.0,0.0,-0.7,-1.3,-0.08,0.03,0.00,0.00,0.00,0.00,0.40,-0.13,78,-1,1,0,0.1,-0.00
0.70,climb,70.02,229.98,1.000,1,53.7,-129.6,1056.3,1239.6,-0.29,0.53,230,230,-1,0.0,0.0,-0.0,-1.4,-0.04,0.10,0.00,0.00,0.00,0.00,0.56,-0.22,78,-1,1,0,0.5,-0.01
0.80,climb,70.74,229.26,1.000,1,53.6,-129.5,1056.4,1239.5,-0.26,0.73,230,230,-1,0.0,0.0,0.9,-1.2,0.03,0.14,0.00,0.00,0.00,0.00,0.67,-0.38,78,-1,1,-0,1.2,-0.02
0.90,climb,72.30,227.70,1.000,1,53.6,-129.4,1056.4,1239.5,0.08,0.86,230,230,-1,0.0,0.0,1.6,-0.5,0.09,0.13,0.00,0.00,0.00,0.00,0.67,-0.57,78,-1,1,-0,1.5,-0.03
1.00,climb,74.30,225.70,1.000,1,53.6,-129.3,1056.4,1239.4,0.30,0.69,230,230,-1,0.0,0.0,1.9,0.4,0.13,0.06,0.00,0.00,0.00,0.00,0.50,-0.71,78,-1,1,-0,1.0,-0.02
1.10,climb,75.22,224.78,1.000,1,53.6,-129.3,1056.4,1239.3,0.30,0.69,230,230,-1,0.0,0.0,1.5,1.1,0.12,-0.05,0.00,0.00,0.00,0.00,0.21,-0.72,78,-1,1,-0,0.2,-0.01
1.20,climb,77.27,222.73,1.000,1,53.7,-129.2,1056.3,1239.2,0.43,0.06,230,230,-1,0.0,0.0,0.4,1.2,0.04,-0.16,0.00,0.00,0.00,0.00,-0.09,-0.57,78,-1,1,-0,-0.8,0.01
1.30,climb,79.59,220.41,1.000,1,53.7,-129.2,1056.3,1239.2,0.43,0.06,230,230,-1,0.0,0.0,-1.1,0.6,-0.08,-0.23,0.00,0.00,0.00,0.00,-0.29,-0.33,78,-1,1,-0,-1.8,0.03
1.40,climb,82.16,217.84,1.000,1,53.8,-129.2,1056.2,1239.2,0.26,-0.12,230,230,-1,0.0,0.0,-2.3,-0.6,-0.20,-0.21,0.00,0.00,0.00,0.00,-0.27,-0.07,78,-1,1,-0,-2.3,0.04
1.50,climb,86.45,213.55,1.000,1,53.8,-129.2,1056.2,1239.2,-0.01,-0.05,230,230,-1,0.0,0.0,-2.8,-2.1,-0.25,-0.09,0.00,0.00,0.00,0.00,-0.02,0.04,78,-1,1,-0,-1.0,0.02
1.60,climb,88.76,211.24,1.000,1,53.7,-129.2,1056.3,1239.2,-0.37,0.84,230,230,-1,0.0,0.0,-2.1,-3.2,-0.20,0.08,0.00,0.00,0.00,0.00,0.39,-0.06,78,-1,1,-0,1.5,-0.03
1.70,climb,91.18,208.82,1.000,1,53.7,-129.2,1056.3,1239.2,-0.37,0.84,230,230,-1,0.0,0.0,-0.3,-3.4,-0.05,0.26,0.00,0.00,0.00,0.00,0.82,-0.41,78,-1,1,-0,2.8,-0.06
1.80,climb,94.61,205.39,1.000,1,53.7,-129.0,1056.3,1239.0,-0.23,1.39,230,230,-1,0.0,0.0,2.0,-2.2,0.16,0.36,0.00,0.00,0.00,0.00,1.07,-0.91,78,-1,1,-0,2.5,-0.05
1.90,climb,99.21,200.79,1.000,1,53.7,-128.7,1056.3,1238.9,0.59,1.63,230,230,-1,0.0,0.0,3.8,0.1,0.34,0.31,0.00,0.00,0.00,0.00,1.02,-1.40,78,-1,1,-0,2.5,-0.05
2.00,climb,103.14,196.86,1.000,1,53.8,-128.6,1056.3,1238.7,0.96,1.12,230,231,-1,0.0,0.0,4.3,2.7,0.41,0.12,0.00,0.00,0.00,0.00,0.60,-1.63,78,-1,1,-0,4.4,-0.09
2.10,climb,106.21,193.79,1.000,1,53.8,-128.6,1056.2,1238.6,0.96,1.12,230,231,-1,0.0,0.0,3.1,4.5,0.31,-0.14,0.00,0.00,0.00,0.00,-0.02,-1.47,78,-1,1,-0,6.5,-0.14
2.20,climb,110.48,189.52,1.000,1,53.9,-128.5,1056.1,1238.5,1.10,0.34,230,231,-1,0.0,0.0,0.6,4.7,0.07,-0.38,0.00,0.00,0.00,0.00,-0.63,-0.97,78,-1,1,-1,6.3,-0.14
2.30,climb,116.08,183.92,0.883,1,54.1,-128.6,1056.0,1238.5,0.43,-0.99,230,231,-1,0.0,0.0,-2.6,2.8,-0.24,-0.49,0.00,0.00,0.00,0.00,-1.02,-0.21,78,-1,1,-1,2.4,-0.06
2.40,climb,121.93,178.07,0.761,1,54.1,-128.7,1055.9,1238.6,-0.16,-0.91,231,232,-1,0.0,0.0,-5.0,-0.5,-0.51,-0.41,0.00,0.00,0.00,0.00,-0.96,0.49,78,-1,1,-1,-1.1,0.00
2.50,climb,124.32,175.68,0.669,1,54.1,-128.7,1055.9,1238.7,-0.16,-0.91,231,232,-1,0.0,0.0,-5.8,-4.2,-0.59,-0.17,0.00,0.00,0.00,0.00,-0.45,0.81,78,-1,0,-1,-0.6,-0.01
2.60,climb,129.15,170.85,0.579,1,54.0,-128.8,1056.0,1238.8,-0.61,-0.30,231,232,-1,0.0,0.0,-4.6,-6.7,-0.44,0.13,0.00,0.00,0.00,0.00,0.28,0.62,78,-1,0,-1,3.1,-0.09
2.70,climb,136.54,163.46,0.478,1,53.9,-128.6,1056.1,1238.7,-0.60,1.58,231,232,-1,0.0,0.0,-1.7,-7.1,-0.13,0.41,0.00,0.00,0.00,0.00,0.98,-0.01,78,-1,0,-2,5.4,-0.14
2.80,climb,139.04,160.96,0.416,1,53.9,-128.4,1056.1,1238.6,-0.23,2.14,231,232,-1,0.0,0.0,1.9,-5.2,0.23,0.56,0.00,0.00,0.00,0.00,1.45,-0.86,78,-1,0,-2,4.0,-0.11
2.90,climb,144.06,155.94,0.350,1,53.9,-128.4,1056.1,1238.4,-0.23,2.14,232,232,-1,0.0,0.0,5.1,-1.7,0.51,0.53,0.00,0.00,0.00,0.00,1.51,-1.53,78,-1,1,-2,2.7,-0.09
3.00,climb,149.11,150.89,0.296,1,53.9,-128.2,1056.1,1238.2,0.19,2.21,232,232,-1,0.0,0.0,6.9,2.2,0.59,0.33,0.00,0.00,0.00,0.00,1.22,-1.86,78,-1,1,-2,4.8,-0.13
3.10,climb,154.20,145.80,0.245,1,54.0,-127.8,1056.1,1238.0,0.84,1.25,232,232,-1,0.0,0.0,6.8,5.3,0.51,0.06,0.00,0.00,0.00,0.00,0.70,-1.83,78,-1,0,-2,9.9,-0.24
3.20,climb,161.88,138.12,0.172,1,54.1,-127.8,1056.0,1237.8,0.91,0.64,232,235,-1,0.0,0.0,5.3,6.8,0.29,-0.18,0.00,0.00,0.00,0.00,0.09,-1.50,78,-1,1,-3,13.4,-0.32
3.30,climb,164.42,135.58,0.158,1,54.1,-127.8,1055.9,1237.8,0.91,0.64,233,235,-1,0.0,0.0,2.9,6.6,0.04,-0.32,0.00,0.00,0.00,0.00,-0.34,-1.06,78,-1,0,-3,14.1,-0.34
3.40,climb,169.43,130.57,0.144,1,54.2,-127.7,1055.8,1237.7,0.86,0.26,233,235,-1,0.0,0.0,0.5,5.4,-0.13,-0.35,0.00,0.00,0.00,0.00,-0.53,-0.72,78,-1,1,-3,13.0,-0.33
3.50,climb,176.76,123.24,0.119,1,54.3,-127.7,1055.8,1237.7,0.60,-0.04,234,235,-1,0.0,0.0,-1.5,3.6,-0.23,-0.32,0.00,0.00,0.00,0.00,-0.57,-0.50,78,-1,1,-4,11.5,-0.31
3.60,climb,180.35,119.65,0.117,1,54.3,-127.7,1055.7,1237.7,0.60,-0.04,234,240,-1,0.0,0.0,-3.0,1.5,-0.30,-0.24,0.00,0.00,0.00,0.00,-0.51,-0.31,78,-1,1,-5,9.1,-0.27
3.70,climb,183.90,116.10,0.111,1,54.4,-127.7,1055.6,1237.7,0.43,-0.02,235,240,-1,0.0,0.0,-3.6,-0.5,-0.30,-0.14,0.00,0.00,0.00,0.00,-0.37,-0.23,78,-1,1,-5,7.1,-0.25
3.80,climb,189.70,110.30,0.080,1,54.4,-127.7,1055.6,1237.7,0.21,0.26,236,240,-1,0.0,0.0,-3.7,-1.9,-0.23,-0.04,0.00,0.00,0.00,0.00,-0.19,-0.24,78,-1,1,-6,5.6,-0.24
3.90,climb,193.12,106.88,0.076,1,54.4,-127.7,1055.6,1237.7,0.21,0.26,237,240,-1,0.0,0.0,-3.3,-2.6,-0.13,0.02,0.00,0.00,0.00,0.00,-0.03,-0.33,78,-1,0,-7,4.4,-0.22
4.00,climb,197.58,102.42,0.073,1,54.4,-127.7,1055.6,1237.7,0.17,0.39,237,242,-1,0.0,0.0,-2.7,-2.7,-0.04,0.07,0.00,0.00,0.00,0.00,0.07,-0.42,78,-1,0,-7,3.5,-0.22
4.10,climb,201.92,98.08,0.080,1,54.5,-127.6,1055.6,1237.6,0.16,0.52,238,242,-1,0.0,0.0,-2.0,-2.4,0.01,0.08,0.00,0.00,0.00,0.00,0.12,-0.49,78,-1,0,-8,2.5,-0.21
4.20,dash,208.19,91.81,0.123,1,54.5,-127.5,1055.5,1237.6,0.16,0.54,238,242,-1,2.0,-2.0,-1.3,-2.0,0.06,0.07,0.00,0.00,0.00,0.00,0.14,-0.52,78,-1,0,-9,1.9,-0.21
4.30,dash,210.21,89.79,0.162,1,54.5,-127.5,1055.5,1237.5,0.16,0.54,239,242,-1,4.0,-4.0,-0.7,-1.4,0.11,0.05,0.00,0.00,0.00,0.00,0.14,-0.55,78,-1,0,-9,1.2,-0.20
4.40,dash,215.12,84.88,0.168,1,54.5,-127.4,1055.5,1237.5,0.17,0.55,239,242,-1,4.8,-6.0,-0.1,-0.8,0.14,0.04,0.00,0.00,0.00,0.00,0.14,-0.56,78,-1,0,-9,0.7,-0.19
4.50,dash,217.99,82.01,0.191,1,54.5,-127.4,1055.5,1237.4,0.17,0.55,240,242,-1,4.8,-8.0,0.4,-0.2,0.17,0.02,0.00,0.00,0.00,0.00,0.13,-0.56,78,-1,0,-9,-0.1,-0.17
4.60,dash,222.65,77.35,0.184,1,54.5,-127.3,1055.5,1237.3,0.17,0.48,240,242,-1,4.8,-10.0,0.7,0.2,0.17,0.01,0.00,0.00,0.00,0.00,0.11,-0.54,78,-1,0,-9,-1.2,-0.15
4.70,dash,225.38,74.62,0.194,1,54.5,-127.3,1055.5,1237.3,0.17,0.48,240,242,-1,4.6,-12.0,1.0,0.2,0.13,0.00,0.00,0.00,0.00,0.00,0.09,-0.50,78,-1,0,-9,-2.4,-0.12
4.80,dash,229.83,70.17,0.178,1,54.6,-127.3,1055.4,1237.3,0.16,0.43,241,241,-1,4.5,-14.0,1.2,-0.2,0.07,0.00,0.00,0.00,0.00,0.00,0.07,-0.45,78,-1,0,-8,-3.5,-0.10
4.90,dash,232.45,67.55,0.182,1,54.6,-127.2,1055.4,1237.2,0.15,0.38,241,241,-1,4.2,-16.0,1.5,-1.0,0.04,0.01,0.00,0.00,0.00,0.00,0.05,-0.40,78,-1,0,-8,-4.4,-0.07
5.00,dash,236.71,63.29,0.150,1,54.6,-127.1,1055.4,1237.2,0.17,0.29,241,241,-1,4.0,-18.0,1.7,-2.1,0.00,0.01,0.00,0.00,0.00,0.00,0.03,-0.36,78,-1,0,-7,-5.4,-0.04
5.10,dash,239.21,60.79,0.119,1,54.6,-127.1,1055.4,1237.1,0.17,0.29,241,241,-1,3.7,-20.0,1.9,-3.3,-0.01,0.01,0.00,0.00,0.00,0.00,-0.00,-0.34,78,-1,0,-7,-6.0,-0.02
5.20,dash,242.47,57.53,0.072,1,54.6,-127.1,1055.4,1237.1,0.20,0.29,240,239,-1,3.4,-22.0,2.0,-4.6,-0.01,0.01,0.00,0.00,0.00,0.00,-0.03,-0.35,78,-1,0,-6,-6.1,-0.00
