t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,131.50,1.000,1,-29.4,-36.2,1029.4,1036.2,0.00,0.00,286,286,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,0,0.0,0.00
0.10,climb,68.50,131.50,1.000,1,-29.4,-36.2,1029.4,1036.2,0.00,0.00,286,286,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-0,0.0,-0.00
0.15,climb,68.50,131.50,1.000,1,-29.4,-36.2,1029.4,1036.2,0.00,0.00,286,286,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-0,0.0,-0.00
0.20,climb,68.50,131.50,1.000,1,-29.4,-36.2,1029.4,1036.2,0.00,0.00,286,286,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,94,-1,1,0,0.0,0.00
0.30,climb,68.51,131.49,1.000,1,-29.4,-36.2,1029.4,1036.2,0.00,0.00,286,286,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,94,-1,1,0,0.0,0.00
0.40,climb,68.58,131.42,1.000,1,-29.4,-36.2,1029.4,1036.2,0.00,0.00,286,286,-1,0.0,0.0,-0.0,0.1,0.02,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,94,-1,1,0,0.0,0.00
0.50,climb,68.80,131.20,1.000,1,-29.4,-36.2,1029.4,1036.2,0.00,-0.01,286,286,-1,0.0,0.0,-0.1,0.3,0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,94,-1,1,0,0.0,0.00
0.60,climb,69.41,130.59,1.000,1,-29.4,-36.2,1029.4,1036.2,0.00,-0.01,286,286,-1,0.0,0.0,-0.1,0.5,0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,94,-1,1,0,0.0,-0.00
0.70,climb,70.00,130.00,1.000,1,-29.4,-36.2,1029.4,1036.2,0.00,-0.06,286,286,-1,0.0,0.0,-0.2,0.7,0.04,-0.02,0.00,0.00,0.00,0.00,0.00,0.01,94,-1,1,0,0.0,-0.00
0.80,climb,71.08,128.92,0.822,1,-29.4,-36.2,1029.4,1036.2,0.00,-0.06,286,286,-1,0.0,0.0,-0.3,0.9,0.04,-0.02,0.00,0.00,0.00,0.00,0.01,0.06,94,-1,0,0,-0.0,0.00
0.90,climb,72.48,127.52,0.504,1,-29.4,-36.2,1029.4,1036.2,0.00,-0.23,286,286,-1,0.0,0.0,-0.5,1.1,0.04,-0.03,0.00,0.00,0.00,0.00,0.01,0.06,94,-1,0,0,-0.0,0.00
1.00,climb,74.15,125.85,0.229,1,-29.4,-36.2,1029.4,1036.2,0.00,-0.23,286,286,-1,0.0,0.0,-0.7,1.1,0.02,-0.03,0.00,0.00,0.00,0.00,0.06,0.22,94,-1,0,0,-0.0,0.00
1.10,climb,75.97,124.03,0.079,1,-29.4,-36.2,1029.4,1036.2,0.01,-0.48,286,286,-1,0.0,0.0,-0.9,1.0,-0.01,-0.04,0.00,0.00,0.00,0.00,0.06,0.22,94,-1,0,0,-0.0,0.00
1.20,climb,77.80,122.20,0.069,1,-29.4,-36.2,1029.4,1036.2,0.01,-0.48,286,286,-1,0.0,0.0,-1.1,0.8,-0.02,-0.04,0.00,0.00,0.00,0.00,0.12,0.47,94,-1,0,0,-0.0,0.00
1.30,climb,79.55,120.45,0.149,1,-29.4,-36.4,1029.4,1036.2,-0.02,-0.53,286,286,-1,0.0,0.0,-1.2,0.6,-0.03,-0.03,0.00,0.00,0.00,0.00,0.12,0.47,94,-1,0,0,-0.0,0.00
1.40,climb,81.20,118.80,0.254,1,-29.4,-36.4,1029.4,1036.4,-0.02,-0.53,286,286,-1,0.0,0.0,-1.3,0.3,-0.03,-0.03,0.00,0.00,0.00,0.00,0.16,0.50,94,-1,0,0,0.0,-0.00
1.50,climb,83.15,116.85,0.000,1,-29.4,-36.5,1029.4,1036.4,-0.07,-0.52,286,286,-1,0.0,0.0,-1.3,0.1,-0.04,-0.02,0.00,0.00,0.00,0.00,0.16,0.50,94,-1,1,0,0.0,-0.00
1.60,climb,84.27,115.73,0.779,1,-29.4,-36.5,1029.4,1036.5,-0.07,-0.52,286,286,-1,0.0,0.0,-1.3,-0.2,-0.04,-0.01,0.00,0.00,0.00,0.00,0.21,0.48,94,-1,0,0,0.0,-0.00
1.70,climb,85.71,114.29,0.456,1,-29.4,-36.6,1029.4,1036.5,-0.15,-0.49,286,286,-1,0.0,0.0,-1.2,-0.4,-0.03,0.00,0.00,0.00,0.00,0.00,0.21,0.48,94,-1,0,0,0.0,-0.00
1.80,climb,87.26,112.74,0.347,1,-29.4,-36.6,1029.4,1036.6,-0.15,-0.49,286,286,-1,0.0,0.0,-1.0,-0.5,-0.02,0.01,0.00,0.00,0.00,0.00,0.28,0.43,94,-1,0,0,0.1,-0.00
1.90,climb,88.93,111.07,0.230,1,-29.5,-36.6,1029.4,1036.6,-0.32,-0.36,286,286,-1,0.0,0.0,-0.8,-0.4,0.00,0.02,0.00,0.00,0.00,0.00,0.28,0.43,94,-1,0,0,0.1,-0.00
2.00,climb,90.64,109.36,0.191,1,-29.5,-36.6,1029.5,1036.6,-0.32,-0.36,286,286,-1,0.0,0.0,-0.6,-0.4,0.01,0.02,0.00,0.00,0.00,0.00,0.41,0.26,94,-1,0,0,0.1,-0.00
2.10,climb,92.34,107.66,0.203,1,-29.5,-36.7,1029.5,1036.6,-0.36,-0.30,286,286,-1,0.0,0.0,-0.4,-0.3,0.01,0.02,0.00,0.00,0.00,0.00,0.41,0.26,94,-1,0,0,0.1,-0.00
2.20,climb,93.98,106.02,0.257,1,-29.5,-36.7,1029.5,1036.7,-0.36,-0.30,286,286,-1,0.0,0.0,-0.2,-0.3,0.00,0.03,0.00,0.00,0.00,0.00,0.43,0.19,94,-1,0,0,0.1,-0.00
2.30,climb,95.57,104.43,0.312,1,-29.6,-36.8,1029.5,1036.7,-0.35,-0.26,286,286,-1,0.0,0.0,-0.1,-0.2,0.00,0.02,0.00,0.00,0.00,0.00,0.43,0.19,94,-1,0,0,0.1,-0.00
2.40,climb,97.50,102.50,0.000,1,-29.6,-36.8,1029.6,1036.8,-0.35,-0.26,286,286,-1,0.0,0.0,-0.0,-0.2,0.00,0.01,0.00,0.00,0.00,0.00,0.41,0.15,94,-1,1,0,0.0,0.00
2.50,climb,98.63,101.37,0.772,1,-29.7,-36.8,1029.6,1036.8,-0.33,-0.22,286,286,-1,0.0,0.0,0.1,-0.2,0.00,0.01,0.00,0.00,0.00,0.00,0.41,0.15,94,-1,0,-0,0.0,-0.00
2.60,climb,100.48,99.52,0.054,1,-29.7,-36.8,1029.7,1036.8,-0.33,-0.22,286,286,-1,0.0,0.0,0.2,-0.2,-0.00,0.02,0.00,0.00,0.00,0.00,0.38,0.12,94,-1,0,-0,0.0,-0.00
2.70,climb,101.62,98.38,0.757,1,-29.7,-36.9,1029.7,1036.8,-0.29,-0.19,286,286,-1,0.0,0.0,0.3,-0.2,0.00,0.02,0.00,0.00,0.00,0.00,0.38,0.12,94,-1,0,-0,0.0,-0.00
2.80,climb,103.24,96.76,0.277,1,-29.7,-36.9,1029.7,1036.9,-0.29,-0.19,286,286,-1,0.0,0.0,0.5,-0.2,0.00,0.02,0.00,0.00,0.00,0.00,0.33,0.10,94,-1,0,-0,0.0,-0.00
2.90,climb,105.06,94.94,0.085,1,-29.8,-36.9,1029.7,1036.9,-0.23,-0.13,286,286,-1,0.0,0.0,0.6,-0.1,0.00,0.02,0.00,0.00,0.00,0.00,0.33,0.10,94,-1,0,-0,0.0,-0.00
3.00,climb,106.95,93.05,0.010,1,-29.8,-36.9,1029.8,1036.9,-0.23,-0.13,286,286,-1,0.0,0.0,0.7,-0.1,0.01,0.03,0.00,0.00,0.00,0.00,0.25,0.07,94,-1,0,-0,0.0,-0.00
3.10,climb,108.77,91.23,0.081,1,-29.8,-36.9,1029.8,1036.9,-0.18,-0.11,286,286,-1,0.0,0.0,0.9,-0.0,0.01,0.03,0.00,0.00,0.00,0.00,0.25,0.07,94,-1,0,-0,0.0,-0.00
3.20,climb,110.48,89.52,0.191,1,-29.8,-36.9,1029.8,1036.9,-0.18,-0.11,286,286,-1,0.0,0.0,1.1,-0.0,0.01,0.04,0.00,0.00,0.00,0.00,0.20,0.06,94,-1,0,-0,0.0,-0.00
3.30,climb,112.09,87.91,0.292,1,-29.9,-36.9,1029.8,1036.9,-0.14,-0.09,286,286,-1,0.0,0.0,1.3,0.0,0.00,0.04,0.00,0.00,0.00,0.00,0.20,0.06,94,-1,0,-0,0.0,-0.00
3.40,climb,114.00,86.00,0.000,1,-29.9,-36.9,1029.9,1036.9,-0.14,-0.09,286,286,-1,0.0,0.0,1.5,0.0,-0.00,0.04,0.00,0.00,0.00,0.00,0.16,0.05,94,-1,1,-0,-0.1,0.00
3.50,climb,115.11,84.89,0.787,1,-29.9,-37.0,1029.9,1036.9,-0.05,-0.06,286,286,-1,0.0,0.0,1.6,-0.1,-0.01,0.03,0.00,0.00,0.00,0.00,0.16,0.05,94,-1,0,-0,-0.1,0.00
3.60,climb,116.56,83.44,0.450,1,-29.9,-37.0,1029.9,1037.0,-0.05,-0.06,286,286,-1,0.0,0.0,1.7,-0.1,-0.01,0.03,0.00,0.00,0.00,0.00,0.06,0.04,94,-1,0,-0,-0.1,0.00
3.70,climb,118.14,81.86,0.329,1,-29.9,-37.0,1029.9,1037.0,0.18,0.02,286,286,-1,0.0,0.0,1.6,-0.1,-0.00,0.01,0.00,0.00,0.00,0.00,0.06,0.04,94,-1,0,-0,-0.1,0.00
3.80,climb,119.83,80.17,0.209,1,-29.9,-37.0,1029.9,1037.0,0.18,0.02,286,286,-1,0.0,0.0,1.4,-0.1,-0.00,-0.01,0.00,0.00,0.00,0.00,-0.18,0.03,94,-1,0,-0,-0.2,0.00
3.90,climb,121.54,78.46,0.188,1,-29.8,-37.0,1029.9,1037.0,0.31,0.07,286,286,-1,0.0,0.0,1.3,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,-0.18,0.03,94,-1,0,0,-0.2,0.00
4.00,climb,123.23,76.77,0.211,1,-29.8,-37.0,1029.8,1037.0,0.31,0.07,286,286,-1,0.0,0.0,1.0,-0.1,0.00,-0.02,0.00,0.00,0.00,0.00,-0.32,0.01,94,-1,0,0,-0.3,0.01
4.10,climb,124.86,75.14,0.265,1,-29.8,-36.9,1029.8,1037.0,0.35,0.09,286,286,-1,0.0,0.0,0.8,-0.1,0.00,-0.02,0.00,0.00,0.00,0.00,-0.32,0.01,94,-1,0,0,-0.3,0.01
4.20,climb,126.84,73.16,0.000,1,-29.8,-36.9,1029.8,1036.9,0.35,0.09,286,286,-1,0.0,0.0,0.6,-0.1,0.00,-0.03,0.00,0.00,0.00,0.00,-0.36,0.01,94,-1,1,0,-0.2,0.00
4.30,climb,128.00,72.00,0.749,1,-29.7,-36.9,1029.8,1036.9,0.35,0.10,286,286,-1,0.0,0.0,0.5,-0.1,0.00,-0.02,0.00,0.00,0.00,0.00,-0.36,0.01,94,-1,0,0,-0.2,0.00
4.40,climb,129.49,70.51,0.411,1,-29.7,-36.9,1029.7,1036.9,0.35,0.10,286,286,-1,0.0,0.0,0.4,-0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.37,0.00,94,-1,0,0,-0.2,0.00
4.50,climb,131.09,68.91,0.298,1,-29.6,-36.9,1029.7,1036.9,0.36,0.11,286,286,-1,0.0,0.0,0.4,-0.0,0.01,-0.00,0.00,0.00,0.00,0.00,-0.37,0.00,94,-1,0,0,-0.2,0.00
4.60,climb,133.24,66.76,0.000,1,-29.6,-36.9,1029.6,1036.9,0.36,0.11,286,286,-1,0.0,0.0,0.3,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,-0.38,-0.00,94,-1,1,0,-0.2,0.00
