t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.662,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.0,0.00
0.20,climb,68.50,231.50,0.937,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,86,-1,0,-0,-0.8,-0.00
0.30,climb,68.50,231.50,1.000,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,86,-1,1,0,-0.8,0.02
0.40,climb,68.59,231.41,1.000,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,86,-1,1,0,0.0,0.00
0.50,climb,68.75,231.25,1.000,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,86,-1,1,0,0.0,0.00
0.60,climb,69.34,230.66,1.000,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,0.0,-0.0,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,86,-1,1,0,0.0,0.00
0.70,climb,70.42,229.58,1.000,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,0.1,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,86,-1,1,0,-0.0,0.00
0.80,climb,71.00,229.00,1.000,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,0.2,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,86,-1,1,0,-0.0,0.00
0.90,climb,73.20,226.80,1.000,1,829.9,1411.5,-829.9,-1411.5,0.04,0.00,231,231,-1,0.0,0.0,0.2,-0.1,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,86,-1,1,0,0.0,0.00
1.00,climb,75.06,224.94,1.000,1,829.9,1411.5,-829.9,-1411.5,0.04,0.00,231,231,-1,0.0,0.0,0.2,-0.1,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.03,86,-1,1,0,0.0,-0.00
1.10,climb,77.24,222.76,1.000,1,829.9,1411.5,-829.9,-1411.5,0.04,0.00,231,231,-1,0.0,0.0,0.1,-0.0,0.01,-0.01,0.00,0.00,0.00,0.00,-0.03,-0.03,86,-1,1,0,0.0,-0.00
1.20,climb,79.72,220.28,1.000,1,829.9,1411.5,-829.9,-1411.5,0.07,0.00,231,231,-1,0.0,0.0,0.0,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,-0.03,-0.03,86,-1,1,0,0.0,-0.00
1.30,climb,82.51,217.49,1.000,1,829.9,1411.5,-829.9,-1411.5,0.04,0.00,231,231,-1,0.0,0.0,-0.2,0.1,0.01,-0.03,0.00,0.00,0.00,0.00,-0.05,-0.04,86,-1,1,0,0.0,-0.00
1.40,climb,85.59,214.41,1.000,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,-0.4,0.2,0.02,-0.04,0.00,0.00,0.00,0.00,-0.03,-0.03,86,-1,1,0,0.0,-0.00
1.50,climb,88.10,211.90,1.000,1,829.9,1411.5,-829.9,-1411.5,0.00,0.00,231,231,-1,0.0,0.0,-0.7,0.3,0.03,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,86,-1,1,0,0.0,-0.00
1.60,climb,90.77,209.23,1.000,1,829.9,1411.5,-829.9,-1411.5,-0.07,0.00,231,231,-1,0.0,0.0,-0.9,0.5,0.03,-0.05,0.00,0.00,0.00,0.00,0.05,0.04,86,-1,1,0,0.0,-0.00
1.70,climb,96.60,203.40,1.000,1,829.8,1411.5,-829.9,-1411.5,-0.40,0.13,231,231,-1,0.0,0.0,-1.0,0.8,0.04,-0.03,0.00,0.00,0.00,0.00,0.21,0.06,86,-1,1,0,0.0,-0.00
1.80,climb,98.68,201.32,1.000,1,829.8,1411.5,-829.8,-1411.5,-0.40,0.13,231,231,-1,0.0,0.0,-0.9,1.0,0.05,0.01,0.00,0.00,0.00,0.00,0.39,0.15,86,-1,1,0,0.0,-0.00
1.90,climb,103.05,196.95,1.000,1,829.8,1411.5,-829.8,-1411.5,-0.64,0.13,231,231,-1,0.0,0.0,-0.6,1.1,0.03,0.04,0.00,0.00,0.00,0.00,0.58,0.30,86,-1,1,0,0.0,-0.00
2.00,climb,110.15,189.85,0.807,1,829.6,1411.5,-829.7,-1411.5,-1.03,-0.09,231,231,-1,0.0,0.0,-0.2,1.0,-0.01,0.05,0.00,0.00,0.00,0.00,0.69,0.51,86,-1,0,0,-0.1,0.00
2.10,climb,113.93,186.07,0.649,1,829.6,1411.5,-829.6,-1411.5,-1.03,-0.09,231,231,-1,0.0,0.0,0.1,0.5,-0.06,0.05,0.00,0.00,0.00,0.00,0.74,0.72,86,-1,0,0,-0.1,0.00
2.20,climb,117.82,182.18,0.501,1,829.5,1411.5,-829.5,-1411.5,-1.05,-0.18,231,231,-1,0.0,0.0,0.2,-0.0,-0.09,0.02,0.00,0.00,0.00,0.00,0.71,0.80,86,-1,0,-0,-0.2,0.00
2.30,climb,123.15,176.85,0.378,1,829.3,1411.5,-829.4,-1411.5,-0.86,-0.26,231,231,-1,0.0,0.0,0.0,-0.6,-0.09,-0.02,0.00,0.00,0.00,0.00,0.60,0.83,86,-1,0,-0,-0.2,0.00
2.40,climb,131.26,168.74,0.266,1,829.3,1411.5,-829.3,-1411.5,-0.86,-0.26,231,231,-1,0.0,0.0,-0.3,-1.1,-0.09,-0.05,0.00,0.00,0.00,0.00,0.50,0.75,86,-1,0,0,-0.2,0.00
2.50,climb,133.97,166.03,0.226,1,829.2,1411.4,-829.2,-1411.4,-0.66,-0.09,231,231,-1,0.0,0.0,-0.5,-1.6,-0.08,-0.05,0.00,0.00,0.00,0.00,0.47,0.61,86,-1,0,0,-0.2,0.00
2.60,climb,139.35,160.65,0.191,1,829.1,1411.4,-829.2,-1411.4,-0.57,0.00,231,231,-1,0.0,0.0,-0.8,-1.9,-0.07,-0.05,0.00,0.00,0.00,0.00,0.45,0.49,86,-1,0,0,-0.1,0.00
2.70,climb,147.26,152.74,0.155,1,829.1,1411.4,-829.1,-1411.4,-0.57,0.00,231,231,-1,0.0,0.0,-1.0,-2.2,-0.06,-0.04,0.00,0.00,0.00,0.00,0.44,0.36,86,-1,0,0,-0.1,0.00
2.80,climb,152.42,147.58,0.150,1,829.0,1411.5,-829.0,-1411.4,-0.48,0.26,231,231,-1,0.0,0.0,-1.1,-2.4,-0.06,-0.02,0.00,0.00,0.00,0.00,0.49,0.23,86,-1,0,0,-0.1,0.00
2.90,climb,154.95,145.05,0.175,1,828.9,1411.5,-829.0,-1411.5,-0.44,0.35,231,231,-1,0.0,0.0,-1.1,-2.7,-0.07,-0.01,0.00,0.00,0.00,0.00,0.54,0.10,86,-1,0,0,-0.1,0.00
3.00,climb,162.38,137.62,0.162,1,828.9,1411.5,-828.9,-1411.5,-0.40,0.44,231,231,-1,0.0,0.0,-1.0,-3.0,-0.07,0.00,0.00,0.00,0.00,0.00,0.56,0.01,86,-1,0,0,-0.1,0.00
3.10,climb,164.81,135.19,0.190,1,828.9,1411.5,-828.9,-1411.5,-0.40,0.44,231,231,-1,0.0,0.0,-0.8,-3.3,-0.09,0.01,0.00,0.00,0.00,0.00,0.58,-0.09,86,-1,0,0,-0.1,0.00
3.20,climb,169.58,130.42,0.195,1,828.9,1411.6,-828.9,-1411.6,-0.33,0.57,231,231,-1,0.0,0.0,-0.7,-3.7,-0.10,0.01,0.00,0.00,0.00,0.00,0.62,-0.23,86,-1,0,0,-0.0,0.00
