t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,70.1,35.7,1039.9,1074.3,0.00,0.00,180,180,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.10,climb,68.50,231.50,0.662,1,70.1,35.7,1039.9,1074.3,0.00,0.00,180,180,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.20,climb,68.50,231.50,0.937,1,70.1,35.7,1039.9,1074.3,-0.00,0.00,180,180,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85,-1,0,0,0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,70.1,35.7,1039.9,1074.3,-0.00,0.00,180,180,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,85,-1,1,0,0.0,-0.00
0.40,climb,68.55,231.45,1.000,1,70.1,35.7,1039.9,1074.3,0.00,0.00,180,180,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,85,-1,1,-0,0.0,0.00
0.50,climb,68.75,231.25,1.000,1,70.1,35.7,1039.9,1074.3,0.00,0.00,180,180,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,85,-1,1,-0,-0.0,-0.00
0.60,climb,69.18,230.82,1.000,1,70.1,35.7,1039.9,1074.3,0.00,0.00,180,180,-1,0.0,0.0,0.0,-0.0,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,85,-1,1,-0,-0.0,0.00
0.70,climb,69.93,230.07,1.000,1,70.1,35.7,1039.9,1074.3,0.00,0.00,180,180,-1,0.0,0.0,0.1,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,85,-1,1,-0,-0.0,0.00
0.80,climb,71.65,228.35,1.000,1,70.1,35.7,1039.9,1074.3,0.01,-0.02,180,180,-1,0.0,0.0,0.2,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,85,-1,1,0,-0.0,0.00
0.90,climb,72.79,227.21,1.000,1,70.1,35.7,1039.9,1074.3,0.02,-0.03,180,180,-1,0.0,0.0,0.2,-0.1,-0.00,0.01,0.00,0.00,0.00,0.00,-0.02,-0.01,85,-1,1,0,0.0,0.00
1.00,climb,74.09,225.91,1.000,1,70.1,35.7,1039.9,1074.3,0.02,-0.03,180,180,-1,0.0,0.0,0.2,-0.1,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.02,85,-1,1,0,0.0,0.00
1.10,climb,76.11,223.89,1.000,1,70.1,35.7,1039.9,1074.3,0.03,-0.04,180,180,-1,0.0,0.0,0.1,-0.0,0.01,-0.01,0.00,0.00,0.00,0.00,-0.04,-0.03,85,-1,1,0,-0.0,0.00
1.20,climb,79.07,220.93,1.000,1,70.1,35.7,1039.9,1074.3,0.03,-0.06,180,180,-1,0.0,0.0,0.0,0.0,0.01,-0.02,0.00,0.00,0.00,0.00,-0.06,-0.03,85,-1,1,0,0.0,-0.00
1.30,climb,81.08,218.92,1.000,1,70.1,35.7,1039.9,1074.3,0.03,-0.06,180,180,-1,0.0,0.0,-0.2,0.1,0.01,-0.03,0.00,0.00,0.00,0.00,-0.06,-0.03,85,-1,1,0,0.0,-0.00
1.40,climb,84.01,215.99,1.000,1,70.1,35.7,1039.9,1074.3,0.02,-0.04,180,180,-1,0.0,0.0,-0.4,0.2,0.02,-0.04,0.00,0.00,0.00,0.00,-0.04,-0.02,85,-1,1,0,0.0,-0.00
1.50,climb,87.25,212.75,1.000,1,70.1,35.7,1039.9,1074.3,0.01,-0.01,180,180,-1,0.0,0.0,-0.7,0.3,0.03,-0.05,0.00,0.00,0.00,0.00,-0.01,-0.01,85,-1,1,0,0.0,-0.00
1.60,climb,90.77,209.23,1.000,1,70.1,35.7,1039.9,1074.3,-0.07,0.20,180,180,-1,0.0,0.0,-0.9,0.5,0.03,-0.05,0.00,0.00,0.00,0.00,0.06,0.02,85,-1,1,-0,0.0,-0.00
1.70,climb,96.60,203.40,1.000,1,70.1,35.7,1039.9,1074.3,-0.15,0.39,180,180,-1,0.0,0.0,-1.0,0.8,0.04,-0.03,0.00,0.00,0.00,0.00,0.20,0.07,85,-1,1,-0,0.0,-0.00
1.80,climb,98.68,201.32,1.000,1,70.1,35.7,1039.9,1074.3,-0.15,0.39,180,180,-1,0.0,0.0,-0.9,1.0,0.05,0.01,0.00,0.00,0.00,0.00,0.39,0.15,85,-1,1,-0,0.0,-0.00
1.90,climb,103.05,196.95,1.000,1,70.1,35.8,1039.9,1074.2,-0.31,0.58,180,180,-1,0.0,0.0,-0.6,1.1,0.03,0.04,0.00,0.00,0.00,0.00,0.59,0.30,85,-1,1,-0,0.0,-0.00
2.00,climb,108.92,191.08,0.816,1,70.0,35.9,1040.0,1074.2,-0.72,0.74,180,180,-1,0.0,0.0,-0.2,1.0,-0.01,0.05,0.00,0.00,0.00,0.00,0.71,0.51,85,-1,0,-0,-0.1,0.00
