t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,1095.7,3003.0,-1095.7,-3003.0,0.00,0.00,13,13,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.662,1,1095.7,3003.0,-1095.7,-3003.0,0.00,0.00,13,13,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.0,-0.00
0.20,climb,68.50,231.50,0.937,1,1095.7,3003.0,-1095.7,-3003.0,0.01,0.00,13,13,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,0,-0,-0.0,-0.00
0.30,climb,68.50,231.50,1.000,1,1095.7,3003.0,-1095.7,-3003.0,0.01,0.00,13,13,-1,0.0,0.0,-0.0,0.0,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,84,-1,1,0,-0.0,0.00
0.40,climb,68.56,231.44,1.000,1,1095.7,3003.0,-1095.7,-3003.0,0.00,0.00,13,13,-1,0.0,0.0,-0.0,0.1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.3,-0.00
0.50,climb,68.84,231.16,1.000,1,1095.7,3003.0,-1095.7,-3003.0,0.00,0.00,13,13,-1,0.0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.0,-0.01
0.60,climb,69.36,230.64,1.000,1,1095.7,3003.0,-1095.7,-3003.0,0.00,0.00,13,13,-1,0.0,0.0,0.0,0.0,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.0,-0.00
0.70,climb,70.20,229.80,1.000,1,1095.7,3003.0,-1095.7,-3003.0,0.00,0.00,13,13,-1,0.0,0.0,-0.1,-0.1,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.1,-0.00
0.80,climb,71.71,228.29,1.000,1,1095.7,3003.0,-1095.7,-3003.0,0.00,0.00,13,13,-1,0.0,0.0,-0.3,-0.2,-0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.1,-0.00
0.90,climb,72.46,227.54,1.000,1,1095.7,3003.0,-1095.7,-3003.0,0.00,0.00,13,13,-1,0.0,0.0,-0.5,-0.1,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.1,-0.00
1.00,climb,74.19,225.81,1.000,1,1095.7,3003.0,-1095.7,-3003.0,0.00,0.00,13,13,-1,0.0,0.0,-0.8,-0.1,0.01,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,84,-1,1,-0,0.1,-0.00
1.10,climb,77.36,222.64,1.000,1,1095.7,3002.9,-1095.7,-3003.0,0.04,-0.26,13,13,-1,0.0,0.0,-1.0,-0.1,0.00,-0.04,0.00,0.00,0.00,0.00,0.17,-0.04,84,-1,1,-0,0.3,-0.00
1.20,climb,79.87,220.13,1.000,1,1095.7,3002.9,-1095.7,-3002.9,0.09,-0.44,13,13,-1,0.0,0.0,-0.9,-0.1,-0.00,0.00,0.00,0.00,0.00,0.00,0.27,-0.02,84,-1,1,-0,-0.0,-0.01
1.30,climb,81.23,218.77,1.000,1,1095.7,3002.9,-1095.7,-3002.9,0.09,-0.44,13,13,-1,0.0,0.0,-0.5,-0.1,-0.01,0.05,0.00,0.00,0.00,0.00,0.45,-0.02,84,-1,1,-0,-0.0,-0.00
1.40,climb,85.78,214.22,1.000,1,1095.7,3002.8,-1095.7,-3002.8,0.09,-0.70,13,13,-1,0.0,0.0,0.1,-0.1,0.00,0.09,0.00,0.00,0.00,0.00,0.53,-0.04,84,-1,1,-0,0.0,-0.00
