t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,231.50,0.398,1,196.1,254.7,913.9,855.3,0.00,0.00,53,53,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,231.50,0.662,1,196.1,254.7,913.9,855.3,0.00,0.00,53,53,-1,0.0,0.0,-0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.20,climb,68.50,231.50,0.937,1,196.1,254.7,913.9,855.3,0.00,0.00,53,53,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,0,0,0.0,0.00
0.30,climb,68.50,231.50,1.000,1,196.1,254.7,913.9,855.3,0.00,0.01,53,53,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.01,82,-1,1,-0,0.2,-0.00
0.40,climb,68.56,231.44,1.000,1,196.1,254.7,913.9,855.3,0.00,0.00,53,53,-1,0.0,0.0,-0.0,0.0,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,-0,-0.0,-0.00
0.50,climb,68.79,231.21,1.000,1,196.1,254.7,913.9,855.3,0.00,0.00,53,53,-1,0.0,0.0,-0.1,0.0,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,82,-1,1,-0,-0.0,0.00
0.60,climb,69.44,230.56,1.000,1,196.1,254.7,913.9,855.3,0.01,-0.01,53,53,-1,0.0,0.0,-0.1,0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.01,82,-1,1,-0,0.0,-0.00
0.70,climb,70.08,229.92,1.000,1,196.1,254.7,913.9,855.3,0.02,-0.02,53,53,-1,0.0,0.0,-0.2,-0.1,-0.01,-0.01,0.00,0.00,0.00,0.00,0.02,-0.00,82,-1,1,-0,0.0,-0.00
0.80,climb,71.98,228.02,1.000,1,196.1,254.7,913.9,855.3,0.03,-0.03,53,53,-1,0.0,0.0,-0.2,-0.1,0.00,-0.01,0.00,0.00,0.00,0.00,0.03,-0.00,82,-1,1,-0,-0.0,-0.00
0.90,climb,73.22,226.78,1.000,1,196.1,254.7,913.9,855.3,0.05,-0.04,53,53,-1,0.0,0.0,-0.2,0.1,0.03,-0.01,0.00,0.00,0.00,0.00,0.05,-0.01,82,-1,1,-0,-0.0,0.00
1.00,climb,75.19,224.81,1.000,1,196.1,254.7,913.9,855.3,0.08,-0.03,53,53,-1,0.0,0.0,-0.2,0.4,0.05,0.01,0.00,0.00,0.00,0.00,0.07,-0.00,82,-1,1,-0,-0.1,0.00
1.10,climb,76.90,223.10,1.000,1,196.1,254.7,913.9,855.3,0.08,-0.03,53,53,-1,0.0,0.0,-0.1,0.7,0.05,0.01,0.00,0.00,0.00,0.00,0.08,0.03,82,-1,1,-0,-0.1,0.00
1.20,climb,80.88,219.12,1.000,1,196.1,254.7,913.9,855.3,0.21,0.13,53,53,-1,0.0,0.0,-0.1,0.8,0.03,-0.01,0.00,0.00,0.00,0.00,0.09,0.09,82,-1,1,0,-0.0,0.00
1.30,climb,82.38,217.62,1.000,1,196.1,254.7,913.9,855.3,0.21,0.13,53,53,-1,0.0,0.0,-0.4,0.6,-0.02,-0.04,0.00,0.00,0.00,0.00,0.09,0.23,82,-1,1,0,-0.0,0.00
1.40,climb,85.63,214.37,1.000,1,196.2,254.7,913.8,855.3,0.32,0.24,53,53,-1,0.0,0.0,-0.7,0.2,-0.07,-0.06,0.00,0.00,0.00,0.00,0.11,0.38,82,-1,1,0,0.0,-0.00
