t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,fly,68.50,31.50,0.398,1,917.8,121.9,0.0,0.0,0.00,0.00,9,9,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.10,fly,68.50,31.50,0.663,1,917.8,121.9,0.0,0.0,0.00,0.00,9,9,-1,0.0,0.0,0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.20,fly,68.50,31.50,0.938,1,917.8,121.9,0.0,0.0,0.00,-0.00,9,9,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,0,0,0.0,-0.00
0.30,fly,68.50,31.50,1.000,1,917.8,121.9,0.0,0.0,0.00,0.00,9,9,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,87,-1,1,0,0.0,0.00
0.40,fly,68.55,31.45,1.000,1,917.8,121.9,0.0,0.0,0.00,0.00,9,9,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,1,0,0.0,-0.00
0.50,fly,68.75,31.25,1.000,1,917.8,121.9,0.0,0.0,0.00,0.00,9,9,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,1,0,-0.0,0.00
0.60,fly,69.18,30.82,0.933,1,917.8,121.9,0.0,0.0,0.00,0.00,9,9,-1,0.0,0.0,0.0,-0.0,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,0,0,0.0,0.00
0.70,fly,70.16,29.84,0.774,1,917.8,121.9,0.0,0.0,0.00,0.00,9,9,-1,0.0,0.0,0.1,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,0,0,-0.0,0.00
0.80,fly,71.61,28.39,0.587,1,917.8,121.9,0.0,-0.0,0.00,0.00,9,9,-1,-0.0,-0.0,0.1,-0.1,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,87,-1,0,0,-0.0,0.00
0.90,fly,72.29,27.71,0.438,1,917.8,121.9,0.0,-0.0,0.00,0.01,9,9,-1,-0.0,-0.0,0.1,-0.0,0.01,-0.01,0.00,0.00,0.00,0.00,-0.01,0.00,87,-1,0,0,0.0,-0.00
