t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,fly,68.50,31.50,0.398,1,1099.4,113.3,-999.4,0.0,0.00,0.00,10,10,-1,1.4,-3.0,0.0,0.0,0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,0.00
0.10,fly,68.50,31.50,0.662,1,1099.4,113.3,-999.4,0.0,0.00,0.00,10,10,-1,1.4,-7.9,0.0,0.0,0.08,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.3,-0.01
0.20,fly,68.50,31.50,0.938,1,1099.4,113.3,-999.4,0.0,0.00,0.00,10,10,-1,1.4,-8.0,-0.0,-0.0,0.08,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,87,-1,0,0,0.2,-0.01
0.30,fly,68.50,31.50,1.000,1,1099.4,113.3,-999.4,-0.0,0.00,0.01,10,10,-1,1.4,-8.0,-0.0,-0.0,0.08,-0.01,0.00,0.00,0.00,0.00,-0.00,0.00,87,-1,1,0,-0.0,-0.00
0.40,fly,68.55,31.45,1.000,1,1099.4,113.3,-999.4,-0.0,0.00,0.01,10,10,-1,1.4,-8.1,-0.0,-0.1,0.06,-0.02,0.00,0.00,0.00,0.00,-0.01,0.00,87,-1,1,0,-0.0,0.00
0.50,fly,68.74,31.26,1.000,1,1099.4,113.4,-999.4,-0.0,0.13,0.02,10,10,-1,1.4,-8.2,-0.0,-0.5,0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.09,87,-1,1,0,0.0,-0.00
0.60,fly,69.17,30.83,0.935,1,1099.4,113.4,-999.4,-0.0,0.13,0.02,10,10,-1,1.4,-8.3,0.0,-1.1,-0.01,-0.01,0.00,0.00,0.00,0.00,-0.00,0.13,87,-1,0,0,0.0,-0.00
0.70,fly,69.91,30.09,0.783,1,1099.5,113.4,-999.5,-0.0,0.18,0.04,10,10,-1,1.4,-8.4,0.1,-2.0,-0.07,-0.00,0.00,0.00,0.00,0.00,-0.01,0.18,87,-1,0,0,0.1,-0.00
0.80,fly,70.97,29.03,0.604,1,1099.5,113.4,-999.5,-0.0,0.13,0.03,10,10,-1,1.4,-8.4,0.2,-3.0,-0.09,0.00,0.00,0.00,0.00,0.00,-0.01,0.14,87,-1,0,0,0.1,-0.00
0.90,fly,73.02,26.98,0.414,1,1099.5,113.4,-999.5,-0.0,-0.26,-0.01,10,10,-1,1.4,-8.3,0.4,-3.9,-0.09,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,87,-1,0,0,0.0,-0.00
1.00,fly,73.78,26.22,0.294,1,1099.5,113.4,-999.5,-0.0,-0.26,-0.01,10,10,-1,1.4,-8.0,0.5,-4.6,-0.06,0.01,0.00,0.00,0.00,0.00,-0.03,-0.26,87,-1,0,0,0.0,-0.00
1.10,fly,76.14,23.86,0.175,1,1099.3,113.3,-999.4,-0.0,-0.70,-0.05,10,10,-1,1.4,-7.9,0.7,-5.0,-0.02,0.01,0.00,0.00,0.00,0.00,-0.04,-0.48,87,-1,0,0,0.0,-0.00
1.20,fly,77.72,22.28,0.113,1,1099.3,113.3,-999.3,-0.0,-0.79,-0.07,10,10,-1,1.4,-7.7,0.8,-5.2,-0.01,0.01,0.00,0.00,0.00,0.00,-0.06,-0.70,87,-1,0,0,0.0,-0.00
1.30,fly,78.48,21.52,0.098,1,1099.3,113.3,-999.3,0.0,-0.79,-0.07,10,10,-1,1.4,-7.6,0.9,-5.5,-0.01,0.01,0.00,0.00,0.00,0.00,-0.07,-0.79,87,-1,0,0,0.0,-0.00
1.40,fly,79.94,20.06,0.091,1,1099.2,113.3,-999.2,0.0,-0.88,-0.07,10,10,-1,1.4,-7.6,1.1,-5.7,-0.01,0.01,0.00,0.00,0.00,0.00,-0.08,-0.88,87,-1,0,0,0.0,-0.00
1.50,fly,81.30,18.70,0.095,1,1099.1,113.3,-999.1,0.0,-0.97,-0.07,10,10,-1,1.4,-7.5,1.2,-6.0,-0.02,0.02,0.00,0.00,0.00,0.00,-0.10,-0.96,87,-1,0,0,0.0,-0.00
1.60,fly,83.17,16.83,0.087,1,1098.9,113.3,-999.0,0.0,-0.97,-0.06,10,10,-1,1.4,-7.5,1.3,-6.3,-0.02,0.02,0.00,0.00,0.00,0.00,-0.10,-0.96,87,-1,0,0,0.0,-0.00
1.70,fly,84.30,15.70,0.097,1,1098.8,113.3,-998.9,0.0,-1.05,-0.06,10,10,-1,1.4,-7.6,1.4,-6.6,-0.02,0.02,0.00,0.00,0.00,0.00,-0.10,-0.96,87,-1,0,0,0.0,-0.00
1.80,fly,84.83,15.17,0.123,1,1098.7,113.3,-998.8,0.0,-1.05,-0.05,10,10,-1,1.4,-7.5,1.6,-6.9,-0.03,0.02,0.00,0.00,0.00,0.00,-0.12,-1.05,87,-1,0,0,0.0,-0.00
