t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax
0.00,fly,68.50,9931.50,0.398,1,900.2,14.4,-880.2,285.6,0.00,0.00,164,164,-1,-3.0,3.0,0.0,0.0,-0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.397,0.422
0.10,fly,68.50,9931.50,0.663,1,900.2,14.4,-880.2,285.6,0.00,0.00,164,164,-1,-9.0,9.0,0.0,0.0,-0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,-0.1,0.00,0.663,0.734
0.20,fly,68.50,9931.50,0.938,1,900.2,14.4,-880.2,285.6,0.00,-0.00,164,164,-1,-15.0,15.0,0.0,-0.0,-0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-0,-0.1,-0.00,0.883,1.000
0.30,fly,68.50,9931.50,1.000,1,900.2,14.4,-880.2,285.6,0.04,-0.08,164,164,-1,-16.3,20.2,0.0,-0.0,-0.20,0.16,0.00,0.00,0.00,0.00,-0.00,-0.01,-1,-1,1,0,-0.2,0.00,0.857,1.000
0.40,fly,68.58,9931.42,1.000,1,900.2,14.4,-880.2,285.6,0.11,-0.19,164,163,-1,-16.5,20.2,-0.2,0.3,-0.15,0.12,0.00,0.00,0.00,0.00,-0.06,-0.06,-1,-1,1,0,-0.4,0.00,0.892,1.000
0.50,fly,68.84,9931.16,1.000,1,900.2,14.3,-880.2,285.6,0.22,-0.36,164,163,-1,-16.8,20.3,-1.1,1.6,0.00,0.02,0.00,0.00,0.00,0.00,-0.15,-0.16,-1,-1,1,0,-0.9,0.01,0.991,1.000
0.60,fly,69.39,9930.61,1.000,1,900.2,14.3,-880.2,285.7,0.22,-0.36,164,163,-1,-17.2,20.3,-3.0,4.2,0.23,-0.15,0.00,0.00,0.00,0.00,-0.28,-0.31,-1,-1,1,0,-0.9,0.02,0.850,1.000
0.70,fly,70.34,9929.66,1.000,1,900.3,14.3,-880.3,285.7,0.20,-0.39,163,163,-1,-17.3,20.4,-5.9,8.0,0.44,-0.32,0.00,0.00,0.00,0.00,-0.32,-0.30,74,-1,1,0,-1.8,0.04,0.699,1.000
0.80,fly,72.41,9927.59,1.000,1,900.2,14.3,-880.3,285.7,-0.94,1.02,164,164,-1,-16.4,20.4,-8.9,11.7,0.45,-0.35,0.15,0.00,0.00,0.00,0.01,0.19,74,-1,1,-0,-1.9,0.05,0.679,1.000
0.90,fly,73.24,9926.76,1.000,1,900.2,14.3,-880.2,285.7,-0.94,1.02,164,164,-1,-14.4,20.5,-10.6,13.8,0.21,-0.19,0.24,0.00,0.00,0.00,0.71,1.19,74,-1,1,-0,-1.9,0.04,0.838,1.000
1.00,fly,75.05,9924.95,1.000,1,899.7,14.9,-880.0,285.5,-3.10,3.86,164,164,-1,-11.5,20.5,-10.1,13.0,-0.20,0.10,0.21,0.00,0.00,0.00,1.67,2.51,74,-1,1,-0,1.7,0.00,0.880,1.000
1.10,fly,77.13,9922.87,1.000,1,899.7,14.9,-879.7,285.1,-3.10,3.86,164,164,-1,-8.1,18.2,-7.3,9.6,-0.61,0.43,0.06,0.00,0.00,0.00,2.82,4.06,74,-1,1,-0,1.7,-0.04,0.585,1.000
1.20,fly,79.50,9920.50,1.000,1,899.3,15.4,-879.3,284.6,-4.11,5.30,164,163,-1,-2.1,12.2,-3.2,5.1,-0.74,0.60,0.00,0.00,0.00,0.00,3.93,5.44,74,-1,1,-0,2.0,-0.04,0.500,1.000
1.30,fly,82.79,9917.21,1.000,1,898.9,16.0,-878.9,284.0,-4.48,5.87,164,163,-1,-0.3,6.2,-0.1,2.4,-0.46,0.48,0.00,0.00,0.00,0.00,4.35,5.96,74,-1,1,-0,1.2,-0.02,0.626,1.000
1.40,fly,85.64,9914.36,1.000,1,898.1,17.0,-878.5,283.5,-3.85,4.71,163,163,-1,-0.3,0.5,0.6,3.1,0.11,0.12,0.00,0.00,0.00,0.00,4.06,5.65,74,-1,1,0,-0.4,-0.01,0.907,1.000
1.50,fly,87.92,9912.08,1.000,1,898.1,17.0,-878.1,283.0,-3.85,4.71,163,163,-1,-0.3,0.5,-1.9,7.5,0.72,-0.38,0.00,0.00,0.00,0.00,3.42,5.02,74,-1,1,0,-0.4,0.01,0.561,1.000
1.60,fly,91.24,9908.76,1.000,1,897.7,17.4,-877.7,282.6,-3.65,3.89,164,164,-1,-6.3,6.5,-7.5,14.8,1.00,-0.81,0.22,0.00,0.00,0.00,2.70,4.60,74,-1,1,-0,-2.3,0.05,0.500,1.000
1.70,fly,96.50,9903.50,1.000,1,897.3,17.8,-877.3,282.2,-4.20,3.86,164,164,-1,-9.0,12.5,-13.8,21.4,1.00,-0.89,0.49,0.00,0.00,0.00,2.52,5.12,74,-1,1,-0,-4.9,0.10,0.500,1.000
1.80,fly,98.31,9901.69,1.000,1,896.2,18.9,-876.8,281.7,-6.59,6.61,164,164,-1,-3.0,6.5,-17.9,24.8,0.69,-0.70,0.65,0.00,0.00,0.00,3.21,6.41,74,-1,1,-0,-1.2,0.08,0.500,1.000
1.90,fly,103.86,9896.14,1.000,1,895.4,19.7,-876.2,281.1,-7.89,8.60,164,164,-1,-0.3,0.6,-18.3,23.7,0.13,-0.26,0.63,0.00,0.00,0.00,4.49,8.19,74,-1,1,-0,3.4,0.02,0.844,1.000
2.00,fly,105.75,9894.25,1.000,1,895.4,19.7,-875.4,280.3,-7.89,8.60,164,163,-1,-0.3,0.6,-14.4,17.7,-0.63,0.36,0.41,0.00,0.00,0.00,6.01,10.00,74,-1,1,-0,3.4,-0.07,0.605,1.000
2.10,fly,109.58,9890.42,1.000,1,894.5,20.7,-874.5,279.3,-9.18,10.74,163,163,-1,-0.3,0.6,-6.0,7.6,-1.00,1.00,0.00,0.00,0.00,0.00,7.68,11.87,74,-1,1,0,5.3,-0.10,0.500,1.000
2.20,fly,115.28,9884.72,1.000,1,892.6,23.1,-873.6,278.1,-9.71,12.06,163,163,-1,-0.3,0.6,4.0,-3.1,-1.00,1.00,0.00,0.00,0.00,0.00,8.96,13.11,74,-1,1,0,-6.4,-0.02,0.500,1.000
2.30,fly,118.19,9881.81,1.000,1,891.7,24.2,-872.6,276.9,-8.75,10.37,163,163,-1,-0.3,0.6,12.4,-11.7,-1.00,1.00,0.23,0.00,0.00,0.00,8.75,12.78,74,-1,1,0,-12.3,0.13,0.500,1.000
2.40,fly,121.20,9878.80,1.000,1,890.9,25.1,-871.7,275.8,-7.49,7.97,163,161,-1,-0.3,0.6,17.3,-17.0,-0.94,0.90,0.45,0.00,0.00,0.00,7.33,11.41,74,-1,1,1,-14.2,0.26,0.500,1.000
2.50,fly,125.40,9874.60,1.000,1,890.9,25.1,-870.9,274.9,-7.49,7.97,163,161,-1,-0.3,0.6,17.4,-17.5,-0.29,0.23,0.47,0.00,0.00,0.00,5.35,9.54,74,-1,1,1,-14.2,0.30,0.793,1.000
2.60,fly,132.07,9867.93,1.000,1,889.7,26.0,-870.2,274.3,-4.94,2.85,162,161,-1,-0.3,0.6,12.6,-12.8,0.50,-0.53,0.26,0.00,0.00,0.00,3.27,7.57,74,-1,1,1,-16.5,0.31,0.589,1.000
2.70,fly,136.69,9863.31,1.000,1,889.3,26.2,-869.7,274.0,-4.09,1.03,162,161,-1,-6.3,6.6,3.1,-2.9,1.00,-1.00,0.00,0.00,0.00,0.00,1.19,5.58,74,-1,1,1,-23.7,0.36,0.500,1.000
2.80,fly,138.95,9861.05,1.000,1,888.9,26.3,-869.3,273.8,-4.09,1.17,161,152,-1,-12.3,12.6,-7.6,9.5,1.00,-1.00,0.07,0.00,0.00,0.00,-0.38,4.20,74,-1,1,3,-28.9,0.53,0.500,1.000
2.90,fly,144.47,9855.53,1.000,1,888.4,26.5,-868.9,273.7,-4.66,2.78,159,152,-1,-15.4,18.6,-17.0,21.7,1.00,-1.00,0.55,0.00,0.00,0.00,-0.36,4.24,74,-1,1,4,-28.2,0.66,0.500,1.000
