t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc
0.00,climb,68.50,181.50,0.378,1,218.7,469.6,-218.7,-469.6,0.00,0.00,187,187,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.377,0.378,0.00,0
0.10,climb,68.50,181.50,0.642,1,218.7,469.6,-218.7,-469.6,0.00,0.00,187,187,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.642,0.643,0.00,0
0.20,climb,68.50,181.50,0.918,1,218.7,469.6,-218.7,-469.6,0.00,0.00,187,187,-1,0.0,0.0,-0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.918,0.918,0.00,0
0.30,climb,68.50,181.50,1.000,1,218.7,469.6,-218.7,-469.6,0.00,0.00,187,187,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-1,-1,1,0,0.0,0.00,1.000,1.000,0.00,0
0.40,climb,68.55,181.45,1.000,1,218.7,469.6,-218.7,-469.6,0.00,0.00,187,187,-1,0.0,0.0,-0.0,0.0,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,52,-1,1,-0,0.0,-0.00,1.000,1.000,0.25,0
0.50,climb,68.76,181.24,1.000,1,218.7,469.6,-218.7,-469.6,-0.01,0.00,187,187,-1,0.0,0.0,-0.0,0.1,0.02,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,52,-1,1,-0,0.0,-0.00,1.000,1.000,1.52,0
0.60,climb,69.23,180.77,1.000,1,218.7,469.6,-218.7,-469.6,-0.01,0.00,187,187,-1,0.0,0.0,-0.1,0.3,0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,52,-1,1,-0,0.0,-0.00,1.000,1.000,3.95,0
0.70,climb,70.06,179.94,1.000,1,218.7,469.6,-218.7,-469.6,-0.03,0.00,187,187,-1,0.0,0.0,-0.1,0.6,0.05,-0.01,0.00,0.00,0.00,0.00,0.00,0.03,52,-1,1,-0,0.0,-0.00,1.000,1.000,7.33,0
0.80,climb,71.61,178.39,1.000,1,218.7,469.6,-218.7,-469.6,-0.18,0.00,187,187,-1,0.0,0.0,-0.2,1.1,0.07,-0.01,0.00,0.00,0.00,0.00,0.01,0.08,52,-1,1,-0,0.0,-0.00,1.000,1.000,11.04,0
0.90,climb,73.27,176.73,1.000,1,218.6,469.6,-218.7,-469.6,-0.37,0.00,187,187,-1,0.0,0.0,-0.3,1.5,0.08,-0.02,0.00,0.00,0.00,0.00,0.02,0.18,52,-1,1,-0,-0.0,-0.00,1.000,1.000,14.71,0
1.00,climb,74.74,175.26,1.000,1,218.6,469.6,-218.6,-469.6,-0.37,0.00,187,187,-1,0.0,0.0,-0.4,1.9,0.07,-0.02,0.00,0.00,0.00,0.00,0.04,0.37,52,-1,1,-0,-0.0,0.00,1.000,1.000,18.33,0
1.10,climb,78.30,171.70,1.000,1,218.5,469.6,-218.6,-469.6,-0.95,-0.01,187,187,-1,0.0,0.0,-0.5,2.0,0.04,-0.02,0.00,0.00,0.00,0.00,0.08,0.64,52,-1,1,-0,-0.1,0.00,1.000,1.000,21.91,0
1.20,climb,79.66,170.34,1.000,1,218.5,469.6,-218.5,-469.6,-0.95,-0.01,187,187,-1,0.0,0.0,-0.6,1.8,-0.00,-0.03,0.00,0.00,0.00,0.00,0.10,0.94,52,-1,1,-0,-0.1,0.00,1.000,1.000,25.45,0
1.30,climb,82.65,167.35,1.000,1,218.4,469.6,-218.4,-469.6,-1.26,0.00,187,187,-1,0.0,0.0,-0.8,1.4,-0.05,-0.03,0.00,0.00,0.00,0.00,0.15,1.25,52,-1,1,0,-0.1,0.00,1.000,1.000,28.96,0
1.40,climb,87.77,162.23,1.000,1,218.1,469.7,-218.2,-469.6,-1.65,0.10,187,187,-1,0.0,0.0,-1.0,0.7,-0.10,-0.04,0.00,0.00,0.00,0.00,0.22,1.51,52,-1,1,0,0.1,0.00,1.000,1.000,32.42,0
1.50,climb,89.65,160.35,1.000,1,217.9,469.7,-218.1,-469.7,-1.63,0.26,187,187,-1,0.0,0.0,-1.1,-0.1,-0.11,-0.04,0.00,0.00,0.00,0.00,0.30,1.63,52,-1,1,0,1.0,-0.00,1.000,1.000,35.86,0
1.60,climb,93.66,156.34,0.866,1,217.9,469.7,-217.9,-469.7,-1.63,0.26,187,187,-1,0.0,0.0,-1.2,-0.6,-0.09,-0.02,0.00,0.00,0.00,0.00,0.46,1.58,52,-1,0,-0,1.0,-0.02,0.866,0.907,39.25,0
1.70,climb,99.13,150.87,0.666,1,217.6,469.8,-217.8,-469.7,-1.21,0.69,187,187,-1,0.0,0.0,-0.9,-0.7,-0.03,0.03,0.00,0.00,0.00,0.00,0.65,1.40,52,-1,0,-0,2.0,-0.03,0.666,0.687,42.61,0
1.80,climb,102.62,147.38,0.493,1,217.5,469.9,-217.6,-469.8,-1.02,0.79,187,187,-1,0.0,0.0,-0.5,-0.3,0.07,0.07,0.00,0.00,0.00,0.00,0.83,1.12,52,-1,0,-0,1.9,-0.04,0.493,0.547,45.63,0
