t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers
0.00,climb,68.50,181.50,0.378,1,-0.6,23.0,1.1,-22.5,0.00,0.00,179,179,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.378,0.378,0.00,0,0
0.10,climb,68.50,181.50,0.642,1,-0.6,23.0,1.1,-22.5,-0.00,-0.00,179,179,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-1,-1,0,0,-0.0,0.00,0.643,0.643,0.00,0,0
0.20,climb,68.50,181.50,0.917,1,-0.6,23.0,1.1,-22.5,0.00,-0.00,179,179,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.917,0.918,0.00,0,0
0.30,climb,68.50,181.50,1.000,1,-0.6,23.0,1.1,-22.5,-0.00,0.05,179,179,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-1,-1,1,0,-0.0,0.00,1.000,1.000,0.00,0,0
0.40,climb,68.54,181.46,1.000,1,-0.6,23.0,1.1,-22.5,-0.00,0.05,179,179,-1,0.0,0.0,-0.1,0.0,0.00,-0.01,0.00,0.00,0.00,0.00,0.05,0.01,73,-1,1,0,-0.0,0.00,1.000,1.000,0.21,0,32
0.50,climb,68.68,181.32,1.000,1,-0.6,23.0,1.1,-22.5,-0.00,0.05,179,179,-1,0.0,0.0,-0.1,0.0,0.01,-0.01,0.00,0.00,0.00,0.00,0.05,0.01,73,-1,1,0,-0.0,0.00,1.000,1.000,1.05,0,32
0.60,climb,69.03,180.97,1.000,1,-0.6,23.1,1.1,-22.6,-0.01,0.06,179,179,-1,0.0,0.0,-0.2,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.05,0.01,73,-1,1,0,-0.0,0.00,1.000,1.000,2.84,0,32
0.70,climb,69.64,180.36,1.000,1,-0.6,23.1,1.1,-22.6,-0.02,0.07,179,179,-1,0.0,0.0,-0.2,0.2,0.01,-0.01,0.00,0.00,0.00,0.00,0.06,0.01,73,-1,1,0,-0.0,0.00,1.000,1.000,5.40,0,32
0.80,climb,70.53,179.47,1.000,1,-0.6,23.1,1.1,-22.6,-0.02,0.07,179,179,-1,0.0,0.0,-0.3,0.3,0.02,-0.01,0.00,0.00,0.00,0.00,0.07,0.02,73,-1,1,0,-0.0,0.00,1.000,1.000,8.23,0,32
0.90,climb,72.04,177.96,1.000,1,-0.7,23.1,1.1,-22.6,-0.07,0.12,179,179,-1,0.0,0.0,-0.4,0.4,0.03,-0.01,0.00,0.00,0.00,0.00,0.09,0.04,73,-1,1,-0,-0.0,0.00,1.000,1.000,11.03,0,32
1.00,climb,73.16,176.84,1.000,1,-0.7,23.1,1.2,-22.6,-0.11,0.14,179,179,-1,0.0,0.0,-0.4,0.6,0.03,-0.01,0.00,0.00,0.00,0.00,0.11,0.07,73,-1,1,-0,-0.0,0.00,1.000,1.000,13.80,0,32
1.10,climb,75.35,174.65,1.000,1,-0.7,23.1,1.2,-22.6,-0.17,0.18,179,179,-1,0.0,0.0,-0.5,0.8,0.04,-0.01,0.00,0.00,0.00,0.00,0.14,0.12,73,-1,1,-0,-0.0,0.00,1.000,1.000,16.55,0,32
1.20,climb,77.42,172.58,1.000,1,-0.7,23.1,1.2,-22.6,-0.25,0.21,179,179,-1,0.0,0.0,-0.6,1.1,0.05,-0.02,0.00,0.00,0.00,0.00,0.17,0.17,73,-1,1,-0,-0.0,0.00,1.000,1.000,19.26,0,32
1.30,climb,79.74,170.26,1.000,1,-0.7,23.1,1.2,-22.6,-0.25,0.21,179,179,-1,0.0,0.0,-0.6,1.3,0.04,-0.02,0.00,0.00,0.00,0.00,0.21,0.26,73,-1,1,-0,-0.0,0.00,1.000,1.000,21.95,0,32
1.40,climb,81.66,168.34,1.000,1,-0.7,23.2,1.2,-22.7,-0.40,0.25,179,179,-1,0.0,0.0,-0.7,1.3,0.03,-0.02,0.00,0.00,0.00,0.00,0.24,0.40,73,-1,1,-0,-0.0,0.00,1.000,1.000,24.60,0,32
1.50,climb,85.19,164.81,1.000,1,-0.9,23.2,1.3,-22.7,-0.76,0.35,179,179,-1,0.0,0.0,-0.7,1.2,-0.00,-0.02,0.00,0.00,0.00,0.00,0.28,0.59,73,-1,1,-0,-0.0,0.00,1.000,1.000,27.23,0,32
1.60,climb,87.50,162.50,1.000,1,-0.9,23.2,1.4,-22.7,-0.76,0.35,179,179,-1,0.0,0.0,-0.8,0.9,-0.03,-0.02,0.00,0.00,0.00,0.00,0.33,0.77,73,-1,1,-0,-0.0,0.00,1.000,1.000,29.82,0,32
1.70,climb,91.67,158.33,1.000,1,-1.0,23.3,1.5,-22.8,-0.89,0.40,179,179,-1,0.0,0.0,-0.9,0.5,-0.05,-0.02,0.00,0.00,0.00,0.00,0.38,0.90,73,-1,1,-0,-0.0,0.00,1.000,1.000,32.40,0,32
1.80,climb,94.36,155.64,1.000,1,-1.0,23.3,1.5,-22.8,-0.94,0.46,179,179,-1,0.0,0.0,-0.9,0.1,-0.06,-0.02,0.00,0.00,0.00,0.00,0.44,0.95,73,-1,1,-0,-0.0,0.00,1.000,1.000,34.95,0,32
1.90,climb,99.17,150.83,0.910,1,-1.2,23.4,1.6,-22.9,-0.79,0.59,179,179,-1,0.0,0.0,-1.0,-0.1,-0.04,-0.02,0.00,0.00,0.00,0.00,0.50,0.91,73,-1,0,-0,0.0,0.00,0.910,0.933,37.47,0,32
2.00,climb,104.35,145.65,0.759,1,-1.3,23.5,1.7,-22.9,-0.66,0.65,179,179,-1,0.0,0.0,-1.0,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.56,0.81,73,-1,0,0,0.0,-0.00,0.759,0.768,39.97,0,32
2.10,climb,108.71,141.29,0.620,1,-1.3,23.5,1.8,-23.0,-0.56,0.71,179,179,-1,0.0,0.0,-1.1,0.1,0.04,-0.02,0.00,0.00,0.00,0.00,0.63,0.68,73,-1,0,0,0.0,-0.00,0.620,0.644,42.24,0,32
