t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv
0.00,climb,68.50,181.50,0.378,1,99.4,99.2,-99.4,-99.2,0.00,0.00,178,178,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.378,0.378,0.00
0.10,climb,68.50,181.50,0.642,1,99.4,99.2,-99.4,-99.2,0.00,0.00,178,178,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,-0.00,0.642,0.643,0.00
0.20,climb,68.50,181.50,0.917,1,99.4,99.2,-99.4,-99.2,0.00,0.00,178,178,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,0.00,0.918,0.918,0.00
0.30,climb,68.50,181.50,1.000,1,99.4,99.2,-99.4,-99.2,0.00,0.00,178,178,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1,-1,1,-0,0.0,-0.00,1.000,1.000,0.00
0.40,climb,68.55,181.45,1.000,1,99.4,99.2,-99.4,-99.2,-0.00,0.00,178,178,-1,0.0,0.0,-0.0,0.0,0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,57,-1,1,-0,0.0,-0.00,1.000,1.000,0.26
0.50,climb,68.77,181.23,1.000,1,99.4,99.2,-99.4,-99.2,-0.00,0.00,178,178,-1,0.0,0.0,-0.0,0.2,0.02,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,57,-1,1,-0,0.0,-0.00,1.000,1.000,1.57
0.60,climb,69.25,180.75,1.000,1,99.4,99.2,-99.4,-99.2,-0.04,0.01,178,178,-1,0.0,0.0,-0.1,0.4,0.03,-0.01,0.00,0.00,0.00,0.00,-0.00,0.01,57,-1,1,-0,0.0,-0.00,1.000,1.000,4.06
0.70,climb,70.37,179.63,1.000,1,99.3,99.2,-99.4,-99.2,-0.10,0.01,178,178,-1,0.0,0.0,-0.1,0.7,0.05,-0.01,0.00,0.00,0.00,0.00,0.00,0.04,57,-1,1,-0,0.0,-0.00,1.000,1.000,7.51
0.80,climb,71.32,178.68,1.000,1,99.3,99.2,-99.3,-99.2,-0.10,0.01,178,178,-1,0.0,0.0,-0.2,1.0,0.06,-0.01,0.00,0.00,0.00,0.00,0.01,0.10,57,-1,1,-0,0.0,-0.00,1.000,1.000,11.30
0.90,climb,73.38,176.62,1.000,1,99.3,99.2,-99.3,-99.2,-0.48,0.05,178,178,-1,0.0,0.0,-0.3,1.3,0.05,-0.02,0.00,0.00,0.00,0.00,0.02,0.26,57,-1,1,-0,-0.0,-0.00,1.000,1.000,15.04
1.00,climb,74.89,175.11,1.000,1,99.2,99.2,-99.3,-99.2,-0.73,0.09,178,178,-1,0.0,0.0,-0.4,1.3,0.02,-0.02,0.00,0.00,0.00,0.00,0.04,0.48,57,-1,1,-0,-0.1,0.00,1.000,1.000,18.74
1.10,climb,77.22,172.78,1.000,1,99.1,99.2,-99.2,-99.2,-0.96,0.13,178,178,-1,0.0,0.0,-0.5,1.1,-0.02,-0.02,0.00,0.00,0.00,0.00,0.07,0.73,57,-1,1,-0,-0.1,0.00,1.000,1.000,22.40
1.20,climb,79.92,170.08,1.000,1,99.1,99.2,-99.1,-99.2,-0.96,0.13,178,178,-1,0.0,0.0,-0.7,0.7,-0.06,-0.03,0.00,0.00,0.00,0.00,0.10,0.97,57,-1,1,-0,-0.1,0.00,1.000,1.000,26.03
1.30,climb,83.79,166.21,1.000,1,98.9,99.2,-99.0,-99.2,-1.14,0.26,178,178,-1,0.0,0.0,-0.8,0.1,-0.08,-0.03,0.00,0.00,0.00,0.00,0.16,1.11,57,-1,1,0,-0.1,0.00,1.000,1.000,29.62
1.40,climb,86.38,163.62,1.000,1,98.8,99.3,-98.9,-99.2,-1.04,0.35,178,178,-1,0.0,0.0,-1.0,-0.4,-0.08,-0.04,0.00,0.00,0.00,0.00,0.23,1.15,57,-1,1,0,0.2,0.00,1.000,1.000,33.17
1.50,climb,90.14,159.86,1.000,1,98.7,99.3,-98.8,-99.3,-0.87,0.49,178,178,-1,0.0,0.0,-1.2,-0.6,-0.04,-0.04,0.00,0.00,0.00,0.00,0.32,1.05,57,-1,1,0,1.2,-0.00,1.000,1.000,36.69
1.60,climb,95.32,154.68,0.807,1,98.6,99.4,-98.7,-99.3,-0.67,0.69,178,178,-1,0.0,0.0,-1.2,-0.4,0.02,-0.01,0.00,0.00,0.00,0.00,0.47,0.88,57,-1,0,-0,1.7,-0.02,0.807,0.823,40.16
1.70,climb,99.84,150.16,0.609,1,98.6,99.5,-98.6,-99.4,-0.54,0.87,178,178,-1,0.0,0.0,-0.9,0.3,0.10,0.03,0.00,0.00,0.00,0.00,0.67,0.69,57,-1,0,-0,1.9,-0.04,0.609,0.661,43.60
1.80,climb,104.60,145.40,0.423,1,98.5,99.6,-98.6,-99.5,-0.56,0.94,178,178,-1,0.0,0.0,-0.4,1.3,0.16,0.07,0.00,0.00,0.00,0.00,0.85,0.56,57,-1,0,-0,1.2,-0.04,0.423,0.516,46.60
1.90,climb,108.26,141.74,0.296,1,98.5,99.6,-98.5,-99.6,-0.56,0.94,178,178,-1,0.0,0.0,0.2,2.2,0.16,0.10,0.00,0.00,0.00,0.00,0.92,0.59,57,-1,0,-0,1.2,-0.02,0.296,0.400,48.50
2.00,climb,113.19,136.81,0.207,1,98.5,99.6,-98.5,-99.6,-0.70,0.91,178,179,-1,0.0,0.0,0.7,2.8,0.12,0.08,0.00,0.00,0.00,0.00,0.90,0.72,57,-1,0,-0,-0.1,-0.00,0.207,0.286,49.34
2.10,climb,118.11,131.89,0.158,1,98.4,99.7,-98.4,-99.7,-0.87,0.84,179,179,-1,0.0,0.0,0.9,2.9,0.05,0.04,0.00,0.00,0.00,0.00,0.82,0.89,57,-1,0,-0,-1.2,0.02,0.158,0.195,49.33
2.20,climb,122.97,127.03,0.135,1,98.2,99.9,-98.3,-99.8,-1.11,0.69,179,179,-1,0.0,0.0,0.9,2.6,-0.02,0.00,0.00,0.00,0.00,0.00,0.74,1.03,57,-1,0,-0,-2.3,0.04,0.135,0.143,48.80
2.30,climb,130.09,119.91,0.106,1,98.1,99.9,-98.2,-99.9,-1.15,0.64,179,179,-1,0.0,0.0,0.7,2.0,-0.06,-0.03,0.00,0.00,0.00,0.00,0.67,1.12,57,-1,0,-0,-2.4,0.04,0.106,0.143,47.93
2.40,climb,132.41,117.59,0.130,1,98.1,99.9,-98.1,-99.9,-1.15,0.64,179,178,-1,0.0,0.0,0.4,1.5,-0.07,-0.04,0.00,0.00,0.00,0.00,0.61,1.17,57,-1,0,-0,-2.4,0.04,0.130,0.174,46.88
2.50,climb,138.09,111.91,0.126,1,97.8,100.1,-97.9,-100.0,-1.17,0.59,178,178,-1,0.0,0.0,0.1,1.0,-0.06,-0.04,0.00,0.00,0.00,0.00,0.58,1.19,57,-1,0,-0,-2.1,0.04,0.126,0.166,45.77
2.60,climb,141.41,108.59,0.144,1,97.8,100.1,-97.8,-100.1,-1.17,0.59,178,178,-1,0.0,0.0,-0.2,0.7,-0.04,-0.04,0.00,0.00,0.00,0.00,0.56,1.18,57,-1,0,-0,-2.1,0.04,0.144,0.176,44.65
2.70,climb,146.81,103.19,0.140,1,97.6,100.2,-97.7,-100.1,-1.12,0.58,178,178,-1,0.0,0.0,-0.4,0.5,-0.02,-0.03,0.00,0.00,0.00,0.00,0.54,1.16,57,-1,0,-0,-1.5,0.04,0.140,0.162,43.57
2.80,climb,149.97,100.03,0.157,1,97.6,100.2,-97.6,-100.2,-1.12,0.58,178,177,-1,0.0,0.0,-0.5,0.4,-0.00,-0.02,0.00,0.00,0.00,0.00,0.54,1.14,57,-1,0,0,-1.5,0.03,0.157,0.166,42.51
2.90,climb,154.10,95.90,0.157,1,97.4,100.3,-97.5,-100.2,-1.06,0.58,178,177,-1,0.0,0.0,-0.5,0.5,0.02,-0.01,0.00,0.00,0.00,0.00,0.54,1.11,57,-1,0,0,-0.6,0.02,0.157,0.166,41.56
3.00,climb,158.14,91.86,0.156,1,97.3,100.4,-97.4,-100.3,-1.04,0.59,178,177,-1,0.0,0.0,-0.4,0.6,0.03,0.00,0.00,0.00,0.00,0.00,0.54,1.08,57,-1,0,0,-0.3,0.02,0.156,0.168,40.65
3.10,climb,162.10,87.90,0.152,1,97.3,100.4,-97.3,-100.4,-1.04,0.59,178,177,-1,0.0,0.0,-0.4,0.7,0.03,0.00,0.00,0.00,0.00,0.00,0.55,1.06,57,-1,0,0,-0.3,0.02,0.152,0.167,39.81
