t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,131.50,0.398,1,653.3,355.2,-633.3,-335.2,0.00,0.00,185,185,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,131.50,0.662,1,653.3,355.2,-633.3,-335.2,0.00,0.00,185,185,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.1,-0.00
0.20,climb,68.50,131.50,0.938,1,653.3,355.2,-633.3,-335.2,0.00,0.00,185,185,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.1,-0.00
0.30,climb,68.52,131.48,1.000,1,653.3,355.2,-633.3,-335.2,0.00,0.00,185,185,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-1,-1,1,0,0.0,0.00
0.40,climb,68.59,131.41,1.000,1,653.3,355.2,-633.3,-335.2,0.00,0.00,185,185,-1,0.0,0.0,-0.0,0.1,0.02,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-0,0.0,-0.00
0.50,climb,68.89,131.11,1.000,1,653.3,355.2,-633.3,-335.2,0.00,0.00,185,185,-1,0.0,0.0,-0.1,0.3,0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-0,0.0,-0.00
0.60,climb,69.51,130.49,1.000,1,653.3,355.2,-633.3,-335.2,-0.02,0.00,185,185,-1,0.0,0.0,-0.2,0.6,0.05,-0.03,0.00,0.00,0.00,0.00,0.00,0.02,-1,-1,1,-0,0.0,-0.00
0.70,climb,70.86,129.14,1.000,1,653.3,355.2,-633.3,-335.2,-0.20,0.04,185,185,-1,0.0,0.0,-0.4,1.1,0.09,-0.04,0.00,0.00,0.00,0.00,0.02,0.06,74,-1,1,-0,0.0,-0.00
0.80,climb,72.87,127.13,1.000,1,653.3,355.2,-633.3,-335.2,-0.42,0.08,185,185,-1,0.0,0.0,-0.6,1.8,0.12,-0.04,0.00,0.00,0.00,0.00,0.06,0.19,74,-1,1,-0,0.0,-0.00
0.90,climb,74.38,125.62,1.000,1,653.2,355.2,-633.3,-335.2,-0.77,0.20,185,185,-1,0.0,0.0,-0.7,2.3,0.10,-0.02,0.00,0.00,0.00,0.00,0.11,0.41,74,-1,1,-0,0.0,-0.00
1.00,climb,76.10,123.90,1.000,1,653.2,355.2,-633.2,-335.2,-0.77,0.20,185,185,-1,0.0,0.0,-0.6,2.3,0.03,0.02,0.00,0.00,0.00,0.00,0.26,0.75,74,-1,1,-0,0.0,-0.00
1.10,climb,78.74,121.26,1.000,1,653.1,355.2,-633.1,-335.2,-1.19,0.32,185,185,-1,0.0,0.0,-0.1,1.7,-0.07,0.06,0.00,0.00,0.00,0.00,0.41,1.16,74,-1,1,-0,0.0,-0.00
1.20,climb,83.46,116.54,1.000,1,652.8,355.3,-633.0,-335.3,-1.71,0.34,185,185,-1,0.0,0.0,0.4,0.6,-0.15,0.09,0.00,0.00,0.00,0.00,0.50,1.52,74,-1,1,-0,-0.3,0.00
1.30,climb,87.11,112.89,0.792,1,652.6,355.3,-632.8,-335.3,-1.65,0.22,185,185,-1,0.0,0.0,0.8,-0.3,-0.14,0.06,0.00,0.00,0.00,0.00,0.48,1.68,74,-1,0,-0,-0.4,0.01
1.40,climb,91.14,108.86,0.567,1,652.5,355.4,-632.6,-335.3,-1.41,0.08,185,185,-1,0.0,0.0,0.6,-0.5,-0.03,-0.02,0.00,0.00,0.00,0.00,0.35,1.62,74,-1,0,-0,-0.5,0.01
