t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,131.50,0.398,1,291.5,807.3,-291.5,-807.3,0.00,0.00,140,140,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,-0.00
0.10,climb,68.50,131.50,0.662,1,291.5,807.3,-291.5,-807.3,0.00,0.00,140,140,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,-0.0,-0.00
0.20,climb,68.50,131.50,0.938,1,291.5,807.3,-291.5,-807.3,0.00,0.00,140,140,-1,0.0,0.0,0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,76,-1,0,0,0.0,0.00
0.30,climb,68.50,131.50,1.000,1,291.5,807.3,-291.5,-807.3,0.00,0.00,140,140,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76,-1,1,0,-0.0,0.00
0.40,climb,68.55,131.45,1.000,1,291.5,807.3,-291.5,-807.3,0.00,0.00,140,140,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76,-1,1,0,-0.0,0.00
0.50,climb,68.74,131.26,1.000,1,291.5,807.3,-291.5,-807.3,0.00,0.00,140,140,-1,0.0,0.0,0.0,-0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76,-1,1,0,-0.0,0.00
0.60,climb,69.17,130.83,1.000,1,291.5,807.3,-291.5,-807.3,0.00,0.00,140,140,-1,0.0,0.0,0.0,-0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,76,-1,1,0,0.0,0.00
0.70,climb,70.39,129.61,1.000,1,291.5,807.3,-291.5,-807.3,0.00,0.00,140,140,-1,0.0,0.0,-0.0,0.1,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,76,-1,1,0,0.0,-0.00
0.80,climb,71.27,128.73,1.000,1,291.5,807.3,-291.5,-807.3,0.00,0.00,140,141,-1,0.0,0.0,-0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76,-1,1,-0,0.0,-0.00
0.90,climb,73.14,126.86,1.000,1,291.5,807.3,-291.5,-807.3,0.00,0.00,140,141,-1,0.0,0.0,0.1,-0.1,-0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,76,-1,1,-0,-0.0,0.00
1.00,climb,74.99,125.01,1.000,1,291.5,807.3,-291.5,-807.3,0.00,-0.04,140,141,-1,0.0,0.0,0.3,-0.3,-0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,76,-1,1,-0,-0.0,0.00
