t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax
0.00,climb,68.50,181.50,0.398,1,103.6,-337.2,-3.6,537.2,0.00,0.00,138,138,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.397,0.398
0.10,climb,68.50,181.50,0.663,1,103.6,-337.2,-3.6,537.2,0.00,0.00,138,138,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,-0.0,0.00,0.663,0.663
0.20,climb,68.50,181.50,0.938,1,103.6,-337.2,-3.6,537.2,0.00,0.00,138,138,-1,0.0,0.0,-0.0,0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.938,0.938
0.30,climb,68.50,181.50,1.000,1,103.6,-337.2,-3.6,537.2,0.00,0.00,138,138,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1,-1,1,-0,0.0,0.00,1.000,1.000
0.40,climb,68.57,181.43,1.000,1,103.6,-337.2,-3.6,537.2,0.00,0.00,138,138,-1,0.0,0.0,0.0,0.0,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61,-1,1,-0,0.0,-0.00,1.000,1.000
0.50,climb,68.82,181.18,1.000,1,103.6,-337.2,-3.6,537.2,-0.01,0.00,138,138,-1,0.0,0.0,0.1,0.2,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,61,-1,1,-0,0.0,-0.00,1.000,1.000
0.60,climb,69.35,180.65,1.000,1,103.6,-337.2,-3.6,537.2,-0.04,0.00,138,138,-1,0.0,0.0,0.2,0.4,0.03,0.02,0.00,0.00,0.00,0.00,-0.01,0.01,61,-1,1,-0,0.1,-0.00,1.000,1.000
0.70,climb,70.27,179.73,1.000,1,103.6,-337.2,-3.6,537.2,-0.04,0.00,138,138,-1,0.0,0.0,0.4,0.7,0.05,0.03,0.00,0.00,0.00,0.00,-0.03,0.03,61,-1,1,-0,0.1,-0.00,1.000,1.000
0.80,climb,71.97,178.03,1.000,1,103.5,-337.2,-3.6,537.2,-0.29,0.08,138,138,-1,0.0,0.0,0.7,1.0,0.06,0.05,0.00,0.00,0.00,0.00,-0.06,0.10,61,-1,1,-0,0.2,-0.00,1.000,1.000
0.90,climb,73.29,176.71,1.000,1,103.5,-337.2,-3.5,537.2,-0.29,0.08,138,138,-1,0.0,0.0,1.0,1.3,0.05,0.05,0.00,0.00,0.00,0.00,-0.14,0.27,61,-1,1,-0,0.2,-0.00,1.000,1.000
1.00,climb,75.39,174.61,1.000,1,103.4,-337.1,-3.5,537.2,-0.91,0.13,138,138,-1,0.0,0.0,1.1,1.3,0.02,0.03,0.00,0.00,0.00,0.00,-0.30,0.49,61,-1,1,-0,-0.0,-0.00,1.000,1.000
1.10,climb,77.88,172.12,1.000,1,103.3,-337.1,-3.4,537.1,-1.23,0.13,138,138,-1,0.0,0.0,0.9,1.1,-0.02,-0.01,0.00,0.00,0.00,0.00,-0.51,0.76,61,-1,1,-0,-0.2,0.00,1.000,1.000
1.20,climb,82.34,167.66,1.000,1,103.1,-337.1,-3.3,537.1,-1.43,0.13,138,138,-1,0.0,0.0,0.5,0.7,-0.06,-0.05,0.00,0.00,0.00,0.00,-0.73,1.00,61,-1,1,-0,-0.2,0.00,1.000,1.000
1.30,climb,84.90,165.10,1.000,1,103.0,-337.1,-3.1,537.1,-1.49,0.13,138,138,-1,0.0,0.0,0.0,0.1,-0.08,-0.08,0.00,0.00,0.00,0.00,-0.86,1.15,61,-1,1,-0,-0.2,0.00,1.000,1.000
1.40,climb,88.62,161.38,1.000,1,103.0,-337.1,-3.0,537.1,-1.49,0.13,138,138,-1,0.0,0.0,-0.5,-0.3,-0.07,-0.07,0.00,0.00,0.00,0.00,-0.90,1.19,61,-1,1,-0,-0.2,0.00,1.000,1.000
1.50,climb,92.72,157.28,0.903,1,102.7,-337.1,-2.9,537.1,-1.11,0.18,138,138,-1,0.0,0.0,-0.7,-0.5,-0.03,-0.04,0.00,0.00,0.00,0.00,-0.80,1.10,61,-1,0,-0,0.1,0.00,0.903,0.932
1.60,climb,96.02,153.98,0.705,1,102.7,-337.1,-2.7,537.1,-1.11,0.18,138,138,-1,0.0,0.0,-0.5,-0.3,0.03,0.02,0.00,0.00,0.00,0.00,-0.61,0.94,61,-1,0,-0,0.1,-0.00,0.705,0.724
