t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem
0.00,climb,68.50,131.50,0.398,1,137.7,-13.0,1862.3,113.0,0.00,0.00,354,354,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.10,climb,68.50,131.50,0.663,1,137.7,-13.0,1862.3,113.0,0.00,0.00,354,354,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-0,0.0,-0.00
0.20,climb,68.50,131.50,0.938,1,137.7,-13.0,1862.3,113.0,0.00,0.00,354,354,-1,0.0,0.0,0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00
0.30,climb,68.51,131.49,1.000,1,137.7,-13.0,1862.3,113.0,-0.00,0.00,354,354,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-1,-1,1,-0,0.0,-0.00
0.40,climb,68.60,131.40,1.000,1,137.7,-13.0,1862.3,113.0,-0.01,0.00,354,354,-1,0.0,0.0,0.0,0.1,0.01,0.00,0.00,0.00,0.00,0.00,-0.00,-0.01,-1,-1,1,-0,0.0,-0.00
0.50,climb,68.89,131.11,1.000,1,137.7,-13.0,1862.3,113.0,-0.01,0.00,354,354,-1,0.0,0.0,-0.0,0.3,0.03,-0.01,0.00,0.00,0.00,0.00,-0.00,-0.01,-1,-1,1,-0,0.0,-0.00
0.60,climb,69.51,130.49,1.000,1,137.7,-13.0,1862.3,113.0,0.01,-0.00,354,354,-1,0.0,0.0,-0.2,0.6,0.05,-0.03,0.00,0.00,0.00,0.00,0.00,0.01,-1,-1,1,-0,0.0,-0.00
0.70,climb,71.21,128.79,1.000,1,137.7,-13.0,1862.3,113.0,0.16,-0.07,354,354,-1,0.0,0.0,-0.4,1.1,0.09,-0.03,0.00,0.00,0.00,0.00,0.01,0.06,74,-1,1,-0,0.0,-0.00
0.80,climb,72.42,127.58,1.000,1,137.7,-13.1,1862.3,113.0,0.38,-0.16,354,354,-1,0.0,0.0,-0.6,1.7,0.12,-0.04,0.00,0.00,0.00,0.00,0.05,0.17,74,-1,1,-0,0.0,-0.00
0.90,climb,73.85,126.15,1.000,1,137.7,-13.1,1862.3,113.1,0.38,-0.16,354,354,-1,0.0,0.0,-0.7,2.2,0.10,-0.02,0.00,0.00,0.00,0.00,0.11,0.40,74,-1,1,-0,0.0,-0.00
