t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv
0.00,climb,68.50,181.50,0.398,1,-1.1,-0.7,1.1,1200.7,0.00,0.00,100,100,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,-0.0,0.00,0.398,0.398,0.00
0.10,climb,68.50,181.50,0.663,1,-1.1,-0.7,1.1,1200.7,-0.00,0.00,100,100,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-1,-1,0,0,-0.4,0.00,0.663,0.663,0.00
0.20,climb,68.50,181.50,0.938,1,-1.1,-0.7,1.1,1200.7,0.00,-0.00,100,100,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-1,-1,0,0,0.0,0.01,0.938,0.938,0.00
0.30,climb,68.50,181.50,1.000,1,-1.1,-0.7,1.1,1200.7,-0.00,0.00,100,100,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1,-1,1,-0,0.0,-0.00,1.000,1.000,0.00
0.40,climb,68.57,181.43,1.000,1,-1.1,-0.7,1.1,1200.7,-0.00,0.00,100,100,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,58,-1,1,-0,0.0,-0.00,1.000,1.000,0.35
0.50,climb,68.81,181.19,1.000,1,-1.1,-0.7,1.1,1200.7,-0.00,0.00,100,100,-1,0.0,0.0,0.1,0.1,0.01,0.01,0.00,0.00,0.00,0.00,-0.00,0.00,58,-1,1,-0,0.0,-0.00,1.000,1.000,1.84
0.60,climb,69.74,180.26,1.000,1,-1.1,-0.7,1.1,1200.7,-0.02,0.01,100,100,-1,0.0,0.0,0.2,0.2,0.01,0.02,0.00,0.00,0.00,0.00,-0.00,0.00,58,-1,1,-0,0.0,-0.00,1.000,1.000,4.44
0.70,climb,70.23,179.77,1.000,1,-1.1,-0.7,1.1,1200.7,-0.02,0.01,100,100,-1,0.0,0.0,0.3,0.3,0.02,0.02,0.00,0.00,0.00,0.00,-0.02,0.02,58,-1,1,-0,0.0,-0.00,1.000,1.000,8.03
0.80,climb,71.53,178.47,1.000,1,-1.1,-0.7,1.1,1200.7,-0.10,0.06,100,100,-1,0.0,0.0,0.5,0.5,0.03,0.03,0.00,0.00,0.00,0.00,-0.04,0.04,58,-1,1,-0,0.1,-0.00,1.000,1.000,11.97
0.90,climb,73.69,176.31,1.000,1,-1.1,-0.7,1.1,1200.7,-0.19,0.11,100,100,-1,0.0,0.0,0.8,0.7,0.04,0.05,0.00,0.00,0.00,0.00,-0.08,0.08,58,-1,1,-0,-0.1,-0.00,1.000,1.000,15.87
1.00,climb,75.27,174.73,1.000,1,-1.1,-0.7,1.1,1200.7,-0.19,0.11,100,100,-1,0.0,0.0,1.0,1.0,0.05,0.04,0.00,0.00,0.00,0.00,-0.16,0.14,58,-1,1,-0,-0.1,0.00,1.000,1.000,19.73
1.10,climb,77.72,172.28,1.000,1,-1.2,-0.6,1.2,1200.7,-0.61,0.36,100,100,-1,0.0,0.0,1.0,1.1,0.03,0.02,0.00,0.00,0.00,0.00,-0.33,0.27,58,-1,1,-0,-1.6,0.02,1.000,1.000,23.54
1.20,climb,80.54,169.46,1.000,1,-1.2,-0.6,1.2,1200.6,-0.61,0.36,100,100,-1,0.0,0.0,0.8,1.0,-0.00,-0.03,0.00,0.00,0.00,0.00,-0.54,0.46,58,-1,1,0,-1.6,0.03,1.000,1.000,27.30
1.30,climb,83.75,166.25,1.000,1,-1.4,-0.5,1.3,1200.6,-0.98,0.67,100,100,-1,0.0,0.0,0.3,0.7,-0.05,-0.07,0.00,0.00,0.00,0.00,-0.74,0.67,58,-1,1,0,-0.7,0.04,1.000,1.000,31.03
1.40,climb,89.25,160.75,1.000,1,-1.5,-0.5,1.4,1200.5,-0.96,0.74,100,100,-1,0.0,0.0,-0.3,0.1,-0.08,-0.09,0.00,0.00,0.00,0.00,-0.84,0.84,58,-1,1,0,0.7,0.02,1.000,1.000,34.73
1.50,climb,91.26,158.74,0.948,1,-1.5,-0.5,1.5,1200.5,-0.96,0.74,100,100,-1,0.0,0.0,-0.8,-0.5,-0.09,-0.08,0.00,0.00,0.00,0.00,-0.81,0.89,58,-1,1,0,0.7,-0.01,0.948,1.000,38.38
1.60,climb,96.68,153.32,0.739,1,-1.6,-0.3,1.6,1200.4,-0.53,0.53,100,100,-1,0.0,0.0,-1.0,-0.9,-0.07,-0.05,0.00,0.00,0.00,0.00,-0.66,0.80,58,-1,0,0,2.2,-0.03,0.739,0.784,42.00
1.70,climb,100.18,149.82,0.545,1,-1.6,-0.3,1.6,1200.3,-0.53,0.53,100,100,-1,0.0,0.0,-0.8,-0.8,-0.01,0.03,0.00,0.00,0.00,0.00,-0.42,0.62,58,-1,0,0,2.2,-0.04,0.545,0.558,45.45
1.80,climb,105.04,144.96,0.367,1,-1.7,-0.3,1.7,1200.3,-0.28,0.37,100,100,-1,0.0,0.0,-0.2,-0.4,0.07,0.09,0.00,0.00,0.00,0.00,-0.21,0.42,58,-1,0,0,2.5,-0.05,0.367,0.433,48.20
1.90,climb,110.03,139.97,0.239,1,-1.7,-0.3,1.7,1200.3,-0.13,0.26,100,100,-1,0.0,0.0,0.6,0.5,0.13,0.13,0.00,0.00,0.00,0.00,-0.08,0.28,58,-1,0,0,2.6,-0.05,0.239,0.341,49.83
2.00,climb,115.07,134.93,0.154,1,-1.7,-0.2,1.7,1200.2,-0.19,0.26,100,101,-1,0.0,0.0,1.3,1.3,0.14,0.12,0.00,0.00,0.00,0.00,-0.08,0.25,58,-1,0,0,1.6,-0.04,0.154,0.256,50.51
2.10,climb,121.33,128.67,0.097,1,-1.7,-0.2,1.7,1200.2,-0.28,0.32,100,101,-1,0.0,0.0,1.7,1.8,0.10,0.08,0.00,0.00,0.00,0.00,-0.14,0.29,58,-1,0,-0,1.3,-0.03,0.097,0.167,50.37
2.20,climb,126.25,123.75,0.079,1,-1.8,-0.2,1.7,1200.2,-0.37,0.37,100,101,-1,0.0,0.0,1.8,2.1,0.06,0.03,0.00,0.00,0.00,0.00,-0.22,0.36,58,-1,0,-0,0.9,-0.03,0.079,0.118,49.64
2.30,climb,129.86,120.14,0.085,1,-1.8,-0.2,1.8,1200.2,-0.37,0.37,100,101,-1,0.0,0.0,1.8,2.3,0.05,0.01,0.00,0.00,0.00,0.00,-0.29,0.43,58,-1,0,-0,0.9,-0.02,0.085,0.108,48.68
2.40,climb,134.59,115.41,0.091,1,-1.8,-0.1,1.8,1200.1,-0.43,0.42,101,101,-1,0.0,0.0,1.7,2.3,0.04,0.01,0.00,0.00,0.00,0.00,-0.34,0.49,58,-1,0,-0,0.6,-0.02,0.091,0.108,47.50
2.50,climb,139.18,110.82,0.102,1,-1.9,-0.0,1.9,1200.1,-0.51,0.49,101,101,-1,0.0,0.0,1.6,2.4,0.03,-0.00,0.00,0.00,0.00,0.00,-0.38,0.54,58,-1,0,-1,0.5,-0.02,0.102,0.114,46.25
2.60,climb,143.65,106.35,0.115,1,-2.0,0.0,1.9,1200.0,-0.53,0.53,101,101,-1,0.0,0.0,1.4,2.3,0.02,-0.01,0.00,0.00,0.00,0.00,-0.41,0.58,58,-1,0,-1,0.3,-0.02,0.115,0.126,44.98
2.70,climb,148.00,102.00,0.129,1,-2.0,0.0,2.0,1200.0,-0.53,0.53,101,101,-1,0.0,0.0,1.1,2.2,0.01,-0.02,0.00,0.00,0.00,0.00,-0.42,0.62,58,-1,0,-1,0.3,-0.02,0.129,0.140,43.72
2.80,climb,152.22,97.78,0.143,1,-2.0,0.1,2.0,1199.9,-0.55,0.55,101,101,-1,0.0,0.0,0.9,2.0,-0.00,-0.03,0.00,0.00,0.00,0.00,-0.44,0.65,58,-1,0,-1,0.1,-0.02,0.143,0.155,42.48
2.90,climb,157.34,92.66,0.141,1,-2.1,0.1,2.1,1199.9,-0.57,0.58,101,101,-1,0.0,0.0,0.7,1.8,-0.01,-0.02,0.00,0.00,0.00,0.00,-0.45,0.67,58,-1,0,-1,0.1,-0.02,0.141,0.152,41.34
