t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav0,nav2,trihdg,trires,aimq
0.00,fly,94.50,10.00,0.378,1,1893.9,354.1,0.0,0.0,0.00,0.00,107,107,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.378,0.378,0.00,0,0,0,162.7,0.0,180.0,107.3,0.00,0
0.10,fly,94.50,10.00,0.513,1,1893.9,354.1,0.0,0.0,0.00,0.00,107,107,-1,0.0,0.0,0.0,0.0,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.513,0.513,0.00,0,0,0,162.7,0.0,180.0,107.3,0.00,0
0.20,fly,94.50,10.00,0.522,1,1893.9,354.1,0.0,0.0,0.00,0.00,107,107,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.522,0.523,0.00,0,0,0,162.7,0.0,180.0,107.3,0.00,0
0.30,fly,94.50,10.00,0.531,1,1893.9,354.1,0.0,0.0,0.00,0.00,107,107,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,0,0.0,0.00,0.531,0.531,0.02,0,0,0,162.7,0.0,180.0,107.3,0.00,0
0.40,fly,94.50,10.00,0.542,1,1893.9,354.1,0.0,0.0,0.00,-0.01,107,107,-1,0.0,0.0,-0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.01,-1,-1,0,0,0.0,0.00,0.542,0.542,0.01,0,0,0,162.7,0.0,180.0,107.3,0.00,0
0.50,fly,94.53,9.97,0.543,1,1893.9,354.1,0.0,0.0,0.00,-0.04,107,107,-1,0.0,0.0,0.0,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,-0.01,-0.04,-1,-1,0,0,0.0,0.00,0.543,0.551,0.16,0,0,0,162.7,0.0,180.0,107.3,0.00,0
0.60,fly,94.62,9.87,0.522,1,1893.9,354.1,0.0,0.0,0.00,-0.04,107,107,-1,0.0,0.0,0.1,-0.1,-0.01,0.01,0.00,0.00,0.00,0.00,-0.01,-0.04,-1,-1,0,0,0.0,0.00,0.522,0.528,0.71,0,0,0,162.7,0.0,180.0,107.3,0.00,0
0.70,fly,94.85,9.65,0.464,1,1893.9,354.1,0.0,0.0,0.00,-0.04,107,107,-1,0.0,0.0,0.1,-0.2,-0.01,0.01,0.00,0.00,0.00,0.00,-0.01,-0.04,-1,-1,0,0,0.0,0.00,0.464,0.469,1.88,0,0,0,162.7,0.0,180.0,107.3,0.00,0
0.80,fly,95.18,9.31,0.397,1,1893.9,354.1,0.0,0.0,0.00,-0.07,107,107,-1,0.0,0.0,0.2,-0.2,-0.00,0.01,0.00,0.00,0.00,0.00,-0.01,-0.04,98,-1,0,0,0.0,0.00,0.397,0.402,3.11,0,25,0,162.8,359.8,180.7,107.2,0.00,0
0.90,fly,95.61,8.89,0.340,1,1893.9,354.1,0.0,0.0,0.00,-0.07,107,107,-1,0.0,0.0,0.2,-0.1,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,-0.06,98,-1,0,0,0.0,0.00,0.340,0.342,4.04,0,25,0,162.8,359.8,180.7,107.2,0.00,0
