t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav4,nav5,nav7,trihdg,trires,aimq
0.00,climb,68.50,281.50,1.000,1,1327.4,-6960.7,565.1,-2673.8,0.00,0.00,220,220,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,0,-0.0,0.00,1.000,1.000,0.00,0,0,0,49.6,360.0,180.0,220.4,0.00,0
1.00,climb,73.66,276.34,1.000,1,1327.4,-6960.7,565.1,-2673.8,0.00,0.00,220,220,-1,0.0,0.0,-0.1,0.1,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,-1,1,0,0.0,-0.00,1.000,1.000,12.85,0,30,0,49.6,0.0,180.0,220.4,0.00,0
2.20,climb,107.95,242.05,1.000,1,1327.3,-6960.7,565.2,-2673.8,-0.26,0.00,220,220,-1,0.0,0.0,-0.2,0.5,0.01,-0.01,0.00,0.00,0.00,0.00,0.17,0.20,99,-1,1,0,0.0,0.00,1.000,1.000,41.43,0,30,0,49.6,359.9,180.1,220.4,0.00,0
3.40,climb,171.06,178.94,0.275,1,1326.7,-6960.7,565.8,-2673.8,-0.62,0.00,220,220,-1,0.0,0.0,-0.4,1.0,0.01,-0.00,0.00,0.00,0.00,0.00,0.40,0.47,99,-1,0,0,-0.0,0.00,0.275,0.282,55.30,0,30,0,49.6,359.7,180.4,220.4,0.00,0
4.60,climb,231.19,118.81,0.203,1,1325.9,-6961.0,566.6,-2673.5,-0.79,-0.35,220,220,-1,0.0,0.0,-0.2,1.0,0.01,-0.00,0.00,0.00,0.00,0.00,0.25,0.83,99,-1,0,0,0.0,0.00,0.203,0.208,45.79,0,30,0,49.6,359.4,180.7,220.4,0.00,0
5.80,climb,279.00,71.00,0.183,1,1325.0,-6961.4,567.5,-2673.1,-0.70,-0.35,220,220,-1,0.0,0.0,-0.1,0.2,-0.00,-0.00,0.00,0.00,0.00,0.00,0.19,0.76,99,-1,0,0,0.0,0.00,0.183,0.185,35.41,0,30,0,49.6,359.8,180.2,220.4,0.00,0
7.00,climb,313.42,36.58,0.000,1,1324.2,-6961.8,568.3,-2672.7,-0.62,-0.35,220,220,-1,0.0,0.0,-0.0,-0.3,-0.00,-0.00,0.00,0.00,0.00,0.00,0.13,0.70,99,-1,1,0,0.0,0.00,0.000,0.000,22.71,0,30,0,49.6,0.2,179.8,220.4,0.00,0
8.20,climb,330.65,19.35,0.242,1,1323.6,-6962.0,568.9,-2672.5,-0.53,0.00,220,220,-1,0.0,0.0,-0.1,-0.5,-0.00,-0.00,0.00,0.00,0.00,0.00,0.34,0.40,99,-1,0,0,0.0,0.00,0.242,0.243,8.59,0,30,0,49.6,0.5,179.4,220.4,0.00,0
8.30,cruise,331.44,18.56,0.306,1,1323.5,-6962.0,569.0,-2672.5,-0.53,0.00,220,220,-1,4.0,4.0,-0.1,-0.5,-0.05,-0.06,0.00,0.00,0.00,0.00,0.34,0.40,99,-1,0,0,0.0,0.00,0.306,0.339,7.97,0,30,0,49.6,0.5,179.4,220.4,0.00,1
9.40,cruise,338.39,11.61,0.282,1,1323.0,-6961.9,569.5,-2672.6,-0.53,0.00,221,221,-1,34.8,21.3,10.5,7.9,0.08,0.07,0.10,0.00,0.00,0.00,0.34,0.40,99,-1,0,-1,0.6,-0.03,0.282,0.326,5.41,0,30,0,49.2,343.0,199.5,221.4,0.00,1
10.60,cruise,342.48,7.52,0.361,1,1322.8,-6965.0,569.7,-2670.1,0.62,-5.63,227,223,-1,40.6,24.7,30.8,18.1,-0.01,-0.01,0.81,0.00,0.00,0.00,-3.82,3.41,99,-1,0,-5,-4.4,-0.02,0.361,0.369,3.11,0,30,0,47.3,318.1,224.2,225.1,0.00,1
11.80,cruise,344.84,5.16,0.478,1,1324.6,-6977.4,568.1,-2658.6,2.20,-15.64,234,218,-1,47.3,25.0,45.6,27.4,0.03,0.03,1.00,0.00,0.00,0.00,-10.24,10.60,99,-1,0,-4,-3.6,0.00,0.478,0.507,1.84,0,30,0,53.1,305.4,242.0,224.3,0.00,1
