t,phase,height,err,pwr,gps,x,z,ex,ez,vxw,vzw,hdg,rawhdg,mothdg,tp,tr,p,r,vx,vy,sched,fwdRaw,latRaw,vrtRaw,fwdH,latH,energy,fuel,sat,yerr,yrate,ydem,athr,amax,vv,dockc,npers,chg,nav1,nav3,nav2,trihdg,trires,aimq,wx,wz
0.00,climb,94.50,255.50,0.378,1,1893.3,355.4,-2567.8,2470.1,0.00,0.00,205,205,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-2,0.0,-0.03,0.378,0.378,0.00,0,0,0,64.3,180.0,180.0,205.7,0.00,0,0.2,0.0
0.10,climb,94.50,255.50,0.643,1,1893.3,355.4,-2567.8,2470.1,0.00,0.00,205,205,-1,0.0,0.0,0.0,0.0,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-5,0.0,-0.09,0.643,0.643,0.00,0,0,0,64.3,180.0,180.0,205.7,0.00,0,0.0,0.0
0.20,climb,94.50,255.50,0.918,1,1893.3,355.4,-2567.8,2470.1,0.00,0.00,205,205,-1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,0,-8,-0.2,-0.15,0.919,0.919,0.00,0,0,0,64.3,180.0,180.0,205.7,0.00,0,0.2,0.0
0.30,climb,94.50,255.50,1.000,1,1893.3,355.4,-2567.8,2470.1,0.00,0.00,205,205,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-10,-0.2,-0.21,1.000,1.000,0.00,0,0,0,64.3,180.0,180.0,205.7,0.00,0,0.2,0.0
0.40,climb,94.53,255.47,1.000,1,1893.3,355.4,-2567.8,2470.1,0.00,0.00,205,205,-1,0.0,0.0,-0.0,-0.0,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-13,-2.0,-0.27,1.000,1.000,0.13,0,0,0,64.3,179.9,180.0,205.7,0.00,0,-0.5,0.2
0.50,climb,94.69,255.31,1.000,1,1893.3,355.4,-2567.8,2470.1,0.00,0.00,205,205,-1,0.0,0.0,-0.1,-0.0,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-16,-2.0,-0.29,1.000,1.000,1.14,0,0,0,64.3,179.9,180.0,205.7,0.00,0,-0.5,0.2
0.60,climb,95.08,254.92,1.000,1,1893.3,355.4,-2567.8,2470.1,0.00,0.03,205,205,-1,0.0,0.0,-0.2,-0.1,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,1,-19,-11.2,-0.28,1.000,1.000,3.19,0,0,0,64.3,179.9,180.0,205.7,0.00,0,-1.2,0.3
0.70,climb,95.77,254.23,1.000,1,1893.3,355.4,-2567.8,2470.1,0.00,0.10,205,205,-1,0.0,0.0,-0.3,-0.1,-0.00,-0.02,0.00,0.00,0.00,0.00,0.03,-0.01,-1,-1,1,-22,-18.9,-0.23,1.000,1.000,6.08,0,0,0,64.3,179.9,180.0,205.7,0.00,0,-0.9,-0.4
0.80,climb,96.77,253.23,1.000,1,1893.3,355.4,-2567.8,2470.1,0.00,0.10,204,200,-1,0.0,0.0,-0.4,-0.0,0.01,-0.02,0.00,0.00,0.00,0.00,0.09,-0.04,100,-1,1,-25,-18.9,-0.12,1.000,1.000,9.27,0,26,0,68.7,179.1,179.6,201.3,0.00,0,-0.9,-0.4
0.90,climb,98.09,251.91,1.000,1,1893.3,355.4,-2567.8,2470.1,0.00,0.16,203,200,-1,0.0,0.0,-0.4,0.2,0.03,-0.01,0.00,0.00,0.00,0.00,0.15,-0.07,100,-1,1,-27,-27.1,-0.00,1.000,1.000,12.42,0,26,0,68.7,179.1,179.6,201.3,0.00,0,-0.4,-1.4
1.00,climb,99.71,250.29,1.000,1,1893.3,355.4,-2567.8,2470.1,0.00,0.23,203,200,-1,0.0,0.0,-0.4,0.4,0.03,0.00,0.00,0.00,0.00,0.00,0.21,-0.09,100,-1,1,-30,-33.9,0.08,1.000,1.000,15.53,0,26,0,68.7,179.1,179.6,201.3,0.00,0,-0.0,-1.9
